Key,ID,Project,IssueType,IsSubtask,Status,Resolution,Created Date,Resolved Date
WHIRR-763,12781929,WHIRR,Bug,false,Open,,2015-03-13 21:41:38,
WHIRR-762,12757002,WHIRR,Wish,false,Open,,2014-11-21 15:54:52,
WHIRR-761,12742340,WHIRR,Improvement,false,Open,,2014-09-18 02:07:03,
WHIRR-760,12707337,WHIRR,Improvement,false,Open,,2014-04-09 02:50:10,
WHIRR-759,12695676,WHIRR,Bug,false,Open,,2014-02-18 11:38:33,
WHIRR-758,12693502,WHIRR,Bug,false,Patch Available,,2014-02-06 05:27:36,
WHIRR-757,12693378,WHIRR,Bug,false,Resolved,Fixed,2014-02-05 15:48:17,2014-02-12 17:53:52
WHIRR-756,12686254,WHIRR,Wish,false,Open,,2013-12-24 04:29:27,
WHIRR-755,12683920,WHIRR,Improvement,false,Open,,2013-12-10 21:24:58,
WHIRR-754,12682889,WHIRR,Bug,false,Open,,2013-12-05 12:29:45,
WHIRR-753,12680798,WHIRR,Improvement,false,Resolved,Fixed,2013-11-22 18:49:23,2014-01-07 22:30:37
WHIRR-752,12680563,WHIRR,New Feature,false,Open,,2013-11-21 18:05:11,
WHIRR-751,12672831,WHIRR,Improvement,false,Resolved,Fixed,2013-10-08 15:27:22,2013-11-12 15:24:15
WHIRR-750,12672542,WHIRR,New Feature,false,Patch Available,,2013-10-06 18:22:36,
WHIRR-749,12672518,WHIRR,Bug,false,Open,,2013-10-06 13:11:33,
WHIRR-748,12672370,WHIRR,Improvement,false,Resolved,Fixed,2013-10-04 17:23:29,2013-10-04 17:28:10
WHIRR-747,12670344,WHIRR,Bug,false,Resolved,Fixed,2013-09-24 19:49:27,2013-09-25 22:35:06
WHIRR-746,12668040,WHIRR,Wish,false,Open,,2013-09-11 12:42:37,
WHIRR-745,12668031,WHIRR,Bug,false,Patch Available,,2013-09-11 11:38:28,
WHIRR-744,12662768,WHIRR,Bug,false,Patch Available,,2013-08-09 01:31:55,
WHIRR-743,12662493,WHIRR,Improvement,false,Open,,2013-08-07 21:08:51,
WHIRR-742,12662252,WHIRR,Improvement,false,Resolved,Duplicate,2013-08-07 00:21:24,2013-08-08 20:16:01
WHIRR-741,12660860,WHIRR,Bug,false,Open,,2013-07-31 05:56:38,
WHIRR-740,12660830,WHIRR,Bug,false,Open,,2013-07-31 00:32:15,
WHIRR-739,12658333,WHIRR,Bug,false,Open,,2013-07-17 18:53:43,
WHIRR-738,12657918,WHIRR,Bug,false,Resolved,Fixed,2013-07-16 03:10:37,2013-10-04 17:22:44
WHIRR-737,12656356,WHIRR,New Feature,false,Open,,2013-07-05 10:47:38,
WHIRR-736,12656321,WHIRR,Improvement,false,Open,,2013-07-05 03:45:21,
WHIRR-735,12656173,WHIRR,Bug,false,Resolved,Fixed,2013-07-04 09:12:32,2013-07-05 15:48:21
WHIRR-734,12656145,WHIRR,Bug,false,Open,,2013-07-04 03:06:37,
WHIRR-733,12654926,WHIRR,New Feature,false,Open,,2013-06-26 13:37:23,
WHIRR-732,12654401,WHIRR,Bug,false,Resolved,Fixed,2013-06-23 19:11:28,2013-06-23 19:32:04
WHIRR-731,12654272,WHIRR,Task,false,Resolved,Fixed,2013-06-21 23:30:18,2013-08-04 21:22:14
WHIRR-730,12654135,WHIRR,Improvement,false,Open,,2013-06-21 12:32:24,
WHIRR-729,12654130,WHIRR,Bug,false,Open,,2013-06-21 11:58:37,
WHIRR-728,12651678,WHIRR,Bug,false,Open,,2013-06-07 12:19:48,
WHIRR-727,12651267,WHIRR,New Feature,false,Open,,2013-06-06 05:07:33,
WHIRR-726,12649401,WHIRR,Improvement,false,Resolved,Fixed,2013-05-24 21:37:36,2013-07-25 22:37:57
WHIRR-725,12648962,WHIRR,Bug,false,Patch Available,,2013-05-22 20:45:30,
WHIRR-724,12646451,WHIRR,Improvement,false,Resolved,Fixed,2013-05-07 17:01:30,2013-07-26 17:59:48
WHIRR-723,12645875,WHIRR,Improvement,false,Patch Available,,2013-05-02 21:13:49,
WHIRR-722,12645809,WHIRR,Improvement,false,Resolved,Fixed,2013-05-02 13:37:12,2013-05-03 07:47:19
WHIRR-721,12645712,WHIRR,Improvement,false,Resolved,Fixed,2013-05-01 22:08:33,2013-05-03 07:36:35
WHIRR-720,12644771,WHIRR,Improvement,false,Patch Available,,2013-04-26 03:29:22,
WHIRR-719,12644526,WHIRR,Improvement,false,Resolved,Duplicate,2013-04-25 04:12:22,2013-06-23 14:57:13
WHIRR-718,12642999,WHIRR,Bug,false,Resolved,Fixed,2013-04-17 18:49:19,2013-04-17 19:21:24
WHIRR-717,12642267,WHIRR,Improvement,false,Open,,2013-04-12 16:15:45,
WHIRR-716,12642156,WHIRR,Bug,false,Resolved,Fixed,2013-04-11 23:13:58,2013-04-12 19:20:17
WHIRR-715,12642138,WHIRR,Bug,false,Resolved,Fixed,2013-04-11 21:03:28,2013-04-11 21:57:08
WHIRR-714,12641014,WHIRR,Improvement,false,Open,,2013-04-05 10:51:23,
WHIRR-713,12640200,WHIRR,Improvement,false,Resolved,Fixed,2013-04-02 00:56:26,2013-04-08 02:14:26
WHIRR-712,12638903,WHIRR,Bug,false,Resolved,Fixed,2013-03-25 16:17:12,2013-03-27 22:15:28
WHIRR-711,12638530,WHIRR,Improvement,false,Resolved,Fixed,2013-03-22 16:03:49,2013-03-25 16:13:00
WHIRR-710,12637741,WHIRR,Bug,false,Open,,2013-03-19 10:53:35,
WHIRR-709,12637518,WHIRR,Bug,false,Resolved,Fixed,2013-03-18 11:02:23,2013-03-27 22:15:48
