Key,ID,Project,IssueType,IsSubtask,Status,Resolution,Created Date,Resolved Date
WINK-441,13019206,WINK,Question,false,Open,,2016-11-08 13:30:21,
WINK-440,13019202,WINK,Bug,false,Open,,2016-11-08 13:16:31,
WINK-439,12969612,WINK,Bug,false,Open,,2016-05-13 19:34:29,
WINK-438,12965732,WINK,Dependency upgrade,false,Open,,2016-05-06 21:18:43,
WINK-437,12907879,WINK,Bug,false,Resolved,Fixed,2015-10-26 10:43:45,2015-10-28 15:58:34
WINK-436,12856767,WINK,Bug,false,Open,,2015-08-17 22:37:09,
WINK-435,12830596,WINK,Bug,false,Open,,2015-05-18 07:08:43,
WINK-434,12830591,WINK,Bug,false,Open,,2015-05-18 06:59:37,
WINK-433,12827672,WINK,Bug,false,Open,,2015-05-06 14:20:30,
WINK-432,12776964,WINK,Bug,false,Open,,2015-02-23 22:15:43,
WINK-431,12764733,WINK,Bug,false,Resolved,Invalid,2015-01-03 22:58:25,2015-03-15 06:23:37
WINK-430,12764727,WINK,Bug,false,Resolved,Invalid,2015-01-03 20:36:11,2015-03-15 06:24:29
WINK-429,12763919,WINK,Bug,false,Resolved,Invalid,2014-12-28 12:22:44,2015-03-15 06:25:17
WINK-428,12763879,WINK,Story,false,Open,,2014-12-27 13:37:52,
WINK-427,12748809,WINK,Bug,false,Open,,2014-10-17 06:38:12,
WINK-426,12748808,WINK,Bug,false,Open,,2014-10-17 06:30:19,
WINK-425,12738319,WINK,Bug,false,Open,,2014-09-01 19:35:08,
WINK-424,12708406,WINK,Task,false,Closed,Fixed,2014-04-14 23:31:07,2014-10-10 20:18:38
WINK-423,12708405,WINK,Bug,false,Closed,Fixed,2014-04-14 23:30:00,2014-08-04 01:19:20
WINK-422,12697465,WINK,Improvement,false,Open,,2014-02-26 21:48:37,
WINK-421,12696075,WINK,Bug,false,Open,,2014-02-19 20:54:49,
WINK-420,12681382,WINK,Bug,false,Resolved,Fixed,2013-11-26 20:24:23,2013-12-15 12:20:11
WINK-419,12679760,WINK,Bug,false,Open,,2013-11-18 16:59:41,
WINK-418,12677263,WINK,Bug,false,Resolved,Fixed,2013-11-03 11:30:35,2013-11-03 11:32:04
WINK-417,12677206,WINK,Question,false,Open,,2013-11-02 07:19:06,
WINK-416,12677205,WINK,Bug,false,Resolved,Fixed,2013-11-02 07:04:37,2013-11-03 00:48:46
WINK-415,12675439,WINK,Bug,false,Open,,2013-10-24 07:52:48,
WINK-414,12675213,WINK,Bug,false,Open,,2013-10-23 08:29:42,
WINK-413,12673727,WINK,Bug,false,Open,,2013-10-14 17:00:20,
WINK-412,12665448,WINK,Bug,false,Resolved,Cannot Reproduce,2013-08-26 03:14:01,2013-09-05 19:06:36
WINK-411,12665446,WINK,Bug,false,Open,,2013-08-26 02:29:34,
WINK-410,12665295,WINK,Task,false,Resolved,Fixed,2013-08-23 19:04:16,2013-08-23 19:07:09
WINK-409,12665272,WINK,Improvement,false,Resolved,Fixed,2013-08-23 17:48:51,2013-08-23 18:39:28
WINK-408,12664249,WINK,Improvement,false,Resolved,Fixed,2013-08-18 15:16:07,2013-09-06 23:41:21
WINK-407,12662838,WINK,Improvement,false,Resolved,Fixed,2013-08-09 11:44:33,2013-08-09 11:47:18
WINK-406,12662657,WINK,Task,false,Resolved,Fixed,2013-08-08 17:16:22,2013-08-08 19:52:38
WINK-405,12662654,WINK,Test,false,Open,,2013-08-08 17:04:07,
WINK-404,12662601,WINK,Test,false,Open,,2013-08-08 12:08:20,
WINK-403,12662600,WINK,Test,false,Resolved,Fixed,2013-08-08 12:00:14,2013-08-08 22:27:45
WINK-402,12661119,WINK,Bug,false,Open,,2013-08-01 12:30:58,
WINK-401,12660218,WINK,New Feature,false,Resolved,Fixed,2013-07-27 20:19:57,2013-08-08 22:27:11
WINK-400,12659474,WINK,Improvement,false,Resolved,Fixed,2013-07-24 01:54:39,2013-07-24 03:05:48
WINK-399,12658587,WINK,Bug,false,Open,,2013-07-18 19:01:00,
WINK-398,12657604,WINK,Bug,false,Open,,2013-07-13 19:39:24,
WINK-397,12657602,WINK,Improvement,false,In Progress,,2013-07-13 19:24:49,
WINK-396,12656447,WINK,Improvement,false,Open,,2013-07-06 09:33:05,
WINK-395,12656446,WINK,Bug,false,Resolved,Fixed,2013-07-06 08:21:50,2013-07-15 03:10:09
WINK-394,12656436,WINK,Improvement,false,Resolved,Fixed,2013-07-06 00:13:49,2013-07-23 05:48:36
WINK-393,12656431,WINK,Improvement,false,Open,,2013-07-05 23:29:57,
WINK-392,12656429,WINK,Improvement,false,Resolved,Fixed,2013-07-05 23:13:53,2013-07-11 07:04:27
WINK-391,12656427,WINK,Improvement,false,Open,,2013-07-05 22:34:26,
WINK-390,12656404,WINK,Improvement,false,Open,,2013-07-05 17:37:03,
WINK-389,12656403,WINK,Improvement,false,Resolved,Fixed,2013-07-05 17:16:19,2013-07-11 06:33:27
WINK-388,12656399,WINK,Bug,false,Resolved,Fixed,2013-07-05 17:04:00,2013-07-24 02:44:06
WINK-387,12650528,WINK,New Feature,false,Open,,2013-06-02 20:10:25,
WINK-386,12641893,WINK,New Feature,false,Open,,2013-04-10 19:13:42,
WINK-385,12635536,WINK,Bug,false,Closed,Not A Problem,2013-03-06 10:03:09,2013-10-02 13:14:50
WINK-384,12635528,WINK,Bug,false,Open,,2013-03-06 09:33:52,
WINK-383,12635527,WINK,Bug,false,Open,,2013-03-06 09:29:01,
WINK-382,12633959,WINK,Bug,false,Open,,2013-02-25 18:23:05,
WINK-381,12633813,WINK,Improvement,false,Closed,Fixed,2013-02-24 20:59:16,2013-03-17 15:57:17
WINK-380,12633800,WINK,Improvement,false,Closed,Fixed,2013-02-24 15:10:50,2013-03-17 16:22:56
WINK-379,12630629,WINK,Bug,false,Open,,2013-02-04 12:29:10,
