Key,ID,Project,IssueType,IsSubtask,Status,Resolution,Created Date,Resolved Date
XBEAN-333,13407365,XBEAN,Task,false,Closed,Fixed,2021-10-19 19:09:55,2021-10-20 06:38:46
XBEAN-332,13400572,XBEAN,Task,false,Open,,2021-09-11 11:46:13,
XBEAN-331,13364044,XBEAN,Bug,false,Closed,Fixed,2021-03-12 07:59:59,2021-03-12 08:01:02
XBEAN-330,13361768,XBEAN,Bug,false,Closed,Fixed,2021-03-02 07:23:35,2021-03-28 06:27:26
XBEAN-329,13346604,XBEAN,Bug,false,Closed,Fixed,2020-12-17 14:24:52,2021-03-12 08:01:29
XBEAN-328,13328693,XBEAN,Bug,false,Closed,Fixed,2020-09-22 05:35:31,2020-09-22 05:35:50
XBEAN-327,13327810,XBEAN,Bug,false,Closed,Fixed,2020-09-16 08:17:36,2020-09-16 08:29:46
XBEAN-326,13316332,XBEAN,Bug,false,Closed,Fixed,2020-07-12 12:08:25,2021-03-28 11:50:57
XBEAN-325,13301290,XBEAN,Task,false,Closed,Fixed,2020-04-27 14:20:18,2020-04-27 14:33:47
XBEAN-324,13285783,XBEAN,Bug,false,Open,,2020-02-17 13:22:21,
XBEAN-323,13282128,XBEAN,Task,false,Closed,Fixed,2020-01-29 08:27:28,2020-01-29 08:31:49
XBEAN-322,13260573,XBEAN,Improvement,false,Closed,Fixed,2019-10-04 13:19:48,2019-10-04 13:20:04
XBEAN-321,13251402,XBEAN,Task,false,Closed,Fixed,2019-08-17 16:46:22,2019-08-17 16:46:44
XBEAN-320,13224119,XBEAN,Improvement,false,Closed,Fixed,2019-03-26 19:01:36,2019-03-26 19:04:42
XBEAN-319,13224118,XBEAN,Improvement,false,Closed,Fixed,2019-03-26 19:01:19,2019-03-26 19:04:43
XBEAN-318,13223014,XBEAN,Improvement,false,Closed,Fixed,2019-03-21 08:38:39,2019-05-24 05:08:59
XBEAN-317,13222934,XBEAN,Improvement,false,Open,,2019-03-20 20:17:12,
XBEAN-316,13222162,XBEAN,Task,false,Closed,Fixed,2019-03-17 15:56:09,2019-03-17 15:56:32
XBEAN-315,13207103,XBEAN,Test,false,Closed,Invalid,2019-01-01 05:24:40,2021-03-28 06:30:30
XBEAN-314,13194763,XBEAN,Task,false,Closed,Fixed,2018-10-29 08:03:31,2018-10-29 08:03:52
XBEAN-313,13188471,XBEAN,New Feature,false,Closed,Fixed,2018-10-01 09:22:20,2018-10-01 09:24:32
XBEAN-312,13188458,XBEAN,Improvement,false,Closed,Fixed,2018-10-01 08:16:26,2018-10-01 08:19:23
XBEAN-311,13187524,XBEAN,Task,false,Closed,Fixed,2018-09-26 07:53:41,2018-09-26 07:55:14
XBEAN-310,13177875,XBEAN,Improvement,false,Closed,Fixed,2018-08-09 07:22:58,2018-08-09 07:36:48
XBEAN-309,13177832,XBEAN,Improvement,false,Closed,Fixed,2018-08-09 01:32:15,2018-10-02 16:19:42
XBEAN-308,13168620,XBEAN,Task,false,Closed,Fixed,2018-06-27 12:58:24,2018-06-27 12:58:57
XBEAN-307,13168346,XBEAN,Bug,false,Closed,Invalid,2018-06-26 13:15:11,2021-03-28 06:30:21
