Key,ID,Project,IssueType,IsSubtask,Status,Resolution,Created Date,Resolved Date
JRTE-51,299305,JRTE,Feedback,false,To Do,,2020-05-27 21:51:49,
JRTE-50,283724,JRTE,Feedback,false,To Do,,2019-09-19 08:32:44,
JRTE-49,276100,JRTE,Bug,false,To Do,,2019-04-26 13:04:11,
JRTE-48,274531,JRTE,Feedback,false,Done,Done,2019-03-28 17:20:00,2019-06-14 23:44:38
JRTE-47,270188,JRTE,Feedback,false,Done,Done,2019-01-11 16:05:49,2019-06-15 01:12:08
JRTE-46,249444,JRTE,Feedback,false,Done,Done,2018-01-24 10:44:24,2019-06-14 23:44:57
JRTE-45,232627,JRTE,Feedback,false,Done,Done,2017-08-24 13:25:11,2019-06-15 00:04:59
JRTE-44,232501,JRTE,Bug,false,To Do,,2017-08-23 18:21:46,
JRTE-43,229377,JRTE,Bug,false,To Do,,2017-08-10 02:08:33,
JRTE-40,214642,JRTE,Feedback,false,To Do,,2017-06-12 10:30:47,
JRTE-39,204878,JRTE,Bug,false,Done,Done,2017-05-03 16:00:00,2017-05-16 03:21:32
JRTE-38,203623,JRTE,Bug,false,To Do,,2017-04-26 08:53:41,
JRTE-34,190447,JRTE,Bug,false,Done,Done,2017-02-05 14:09:31,2017-04-13 06:39:41
JRTE-33,190440,JRTE,Bug,false,To Do,,2017-02-05 03:59:35,
JRTE-32,189650,JRTE,Feedback,false,To Do,,2017-01-24 20:33:03,
JRTE-30,182401,JRTE,Bug,false,To Do,,2016-11-24 09:07:03,
JRTE-28,180087,JRTE,Bug,false,To Do,,2016-11-11 04:37:09,
JRTE-26,162015,JRTE,Bug,false,Done,Done,2016-08-31 00:06:17,2016-08-31 08:22:36
JRTE-25,162013,JRTE,Bug,false,Done,Done,2016-08-30 23:48:51,2017-02-07 22:04:48
JRTE-23,157834,JRTE,Bug,false,Done,Done,2016-08-12 00:24:21,2016-08-12 05:28:53
JRTE-22,157710,JRTE,New Feature,false,To Do,,2016-08-11 11:12:53,
JRTE-21,157610,JRTE,Bug,false,Done,Done,2016-08-11 02:10:19,2016-08-11 15:01:58
JRTE-20,156933,JRTE,Bug,false,To Do,,2016-08-04 04:25:21,
JRTE-19,156763,JRTE,Bug,false,To Do,,2016-08-02 04:15:27,
JRTE-18,156551,JRTE,Bug,false,To Do,,2016-07-29 12:23:05,
JRTE-17,156464,JRTE,Bug,false,To Do,,2016-07-28 15:28:02,
JRTE-16,156373,JRTE,Bug,false,To Do,,2016-07-27 12:56:50,
JRTE-15,149342,JRTE,Bug,false,In Progress,,2016-05-27 15:17:28,
JRTE-14,137824,JRTE,Bug,false,Done,Done,2016-04-30 04:32:35,2016-05-02 10:37:46
JRTE-13,137096,JRTE,New Feature,false,To Do,,2016-04-18 05:19:42,
JRTE-12,136905,JRTE,New Feature,false,To Do,,2016-04-12 11:45:45,
JRTE-11,136515,JRTE,Bug,false,Done,Done,2016-04-06 12:56:48,2016-04-07 15:04:53
JRTE-10,136512,JRTE,New Feature,false,Done,Done,2016-04-06 12:25:26,2016-04-13 05:15:41
JRTE-9,135548,JRTE,Bug,false,To Do,,2016-03-18 09:54:34,
JRTE-8,135123,JRTE,Bug,false,Done,Done,2016-03-10 14:31:20,2016-03-18 09:59:06
JRTE-7,134923,JRTE,Bug,false,Done,Done,2016-03-07 16:44:27,2016-03-10 06:24:38
JRTE-6,134828,JRTE,Bug,false,Done,Done,2016-03-07 00:31:29,2016-03-07 11:46:21
JRTE-5,134765,JRTE,Bug,false,Done,Done,2016-03-04 04:59:25,2016-03-04 10:49:44
JRTE-4,134764,JRTE,Improvement,false,Done,Done,2016-03-04 03:48:27,2016-08-12 00:07:28
JRTE-3,134763,JRTE,Improvement,false,Done,Done,2016-03-04 03:32:22,2016-03-04 12:07:56
JRTE-2,134229,JRTE,Bug,false,To Do,,2016-02-24 19:31:11,
JRTE-1,134008,JRTE,Bug,false,Done,Done,2016-02-18 08:29:42,2016-02-19 07:45:31
