Key,ID,Project,IssueType,IsSubtask,Status,Resolution,Created Date,Resolved Date
CMTOOL-319,14326347,CMTOOL,New Feature,false,To Do,,2021-11-03 15:44:27,
CMTOOL-316,14273266,CMTOOL,New Feature,false,To Do,,2021-09-30 13:27:51,
CMTOOL-315,14273260,CMTOOL,Task,false,Done,Done,2021-09-30 13:22:38,2021-09-30 13:30:44
CMTOOL-314,14273259,CMTOOL,Task,false,Done,Done,2021-09-30 13:22:20,2021-09-30 13:30:33
CMTOOL-313,14273258,CMTOOL,Task,false,Done,Done,2021-09-30 13:21:56,2021-09-30 13:30:23
CMTOOL-312,14273256,CMTOOL,Task,false,Done,Done,2021-09-30 13:21:41,2021-09-30 13:30:14
CMTOOL-311,14273254,CMTOOL,Task,false,Done,Done,2021-09-30 13:21:17,2021-09-30 13:30:03
CMTOOL-310,14260539,CMTOOL,Improvement,false,Done,Done,2021-09-22 12:34:04,2021-09-22 12:40:21
CMTOOL-309,14218971,CMTOOL,New Feature,false,To Do,,2021-08-25 13:26:46,
CMTOOL-308,14210611,CMTOOL,New Feature,false,Done,Done,2021-08-19 10:05:21,2021-09-21 12:40:54
CMTOOL-307,13410163,CMTOOL,New Feature,false,Done,Done,2021-07-12 07:48:32,2021-07-15 07:26:26
CMTOOL-305,13376697,CMTOOL,Bug,false,To Do,,2021-06-10 00:36:21,
CMTOOL-304,13374587,CMTOOL,Bug,false,Done,Done,2021-06-08 11:27:49,2021-06-10 12:47:15
CMTOOL-303,13353674,CMTOOL,Improvement,false,Done,Done,2021-05-17 08:44:47,2021-06-10 00:38:06
CMTOOL-302,13333041,CMTOOL,Improvement,false,Done,Done,2021-04-26 09:48:57,2021-04-26 09:54:15
CMTOOL-301,13321933,CMTOOL,New Feature,false,Done,Done,2021-04-14 15:23:25,2021-04-26 09:54:03
CMTOOL-300,13294330,CMTOOL,New Feature,false,Done,Won't Do,2021-03-19 04:21:13,2021-03-19 08:57:57
CMTOOL-299,13279532,CMTOOL,Task,false,Done,Done,2021-03-03 07:00:35,2021-04-26 09:54:32
CMTOOL-298,13250771,CMTOOL,Task,false,Done,Done,2021-02-01 10:50:37,2021-02-01 10:54:41
CMTOOL-297,13245714,CMTOOL,Improvement,false,Done,Done,2021-01-27 14:07:55,2021-01-27 16:01:02
CMTOOL-296,13245709,CMTOOL,Improvement,false,Done,Done,2021-01-27 14:05:20,2021-01-27 16:00:54
CMTOOL-295,13245651,CMTOOL,New Feature,false,Done,Done,2021-01-27 13:22:14,2021-01-27 14:03:36
CMTOOL-294,13240020,CMTOOL,Bug,false,Done,Incomplete Description,2021-01-23 14:31:53,2021-04-26 09:55:02
CMTOOL-293,13235824,CMTOOL,Bug,false,Done,Explained,2021-01-19 13:56:04,2021-02-01 17:34:57
CMTOOL-292,13212754,CMTOOL,Bug,false,Done,Done,2020-12-07 19:17:30,2020-12-07 19:21:23
CMTOOL-291,13186676,CMTOOL,Bug,false,Done,Explained,2020-10-29 05:50:44,2020-11-03 02:14:42
CMTOOL-290,13186506,CMTOOL,Task,false,Done,Done,2020-10-28 21:53:57,2020-10-28 22:05:17
CMTOOL-289,13181602,CMTOOL,New Feature,false,Done,Done,2020-10-22 03:41:47,2020-10-28 21:52:28
CMTOOL-288,12997040,CMTOOL,Bug,false,Done,Done,2020-08-19 20:12:21,2020-10-28 13:15:06
CMTOOL-287,12997020,CMTOOL,Bug,false,Done,Done,2020-08-19 19:24:28,2020-10-28 13:15:23
CMTOOL-286,12997008,CMTOOL,Bug,false,Done,Done,2020-08-19 18:34:49,2020-10-28 13:15:45
CMTOOL-285,12997007,CMTOOL,Bug,false,Done,Done,2020-08-19 18:29:58,2020-10-28 13:16:22
CMTOOL-284,12964727,CMTOOL,New Feature,false,Done,Done,2020-07-06 14:16:26,2021-09-22 12:31:17
CMTOOL-283,12958726,CMTOOL,Bug,false,Done,Duplicate Issue,2020-06-25 00:49:35,2020-06-25 01:17:12
CMTOOL-282,12955980,CMTOOL,Improvement,false,Done,Done,2020-06-18 13:51:20,2020-06-18 14:02:42
CMTOOL-281,12955976,CMTOOL,Task,false,Done,Done,2020-06-18 13:39:31,2020-06-18 13:49:12
CMTOOL-280,12955972,CMTOOL,New Feature,false,Done,Done,2020-06-18 13:34:10,2020-06-18 13:38:47
CMTOOL-279,12954761,CMTOOL,Bug,false,Done,Done,2020-06-16 14:40:47,2020-06-16 14:45:30
CMTOOL-277,12946418,CMTOOL,Bug,false,Done,Done,2020-05-26 01:21:57,2020-06-01 08:25:00
CMTOOL-276,12945323,CMTOOL,Bug,false,Done,Done,2020-05-21 08:53:44,2020-06-01 12:04:28
CMTOOL-275,12937973,CMTOOL,Improvement,false,Done,Done,2020-05-04 13:34:09,2020-05-04 14:35:27
CMTOOL-274,12937969,CMTOOL,Task,false,Done,Done,2020-05-04 13:29:49,2020-05-04 13:32:49
CMTOOL-273,12937956,CMTOOL,Improvement,false,Done,Done,2020-05-04 12:36:10,2020-05-04 13:17:55
CMTOOL-272,12921465,CMTOOL,Bug,false,Done,Done,2020-03-20 06:42:47,2020-03-20 10:01:04
CMTOOL-271,12916234,CMTOOL,Bug,false,Done,Done,2020-03-06 10:44:06,2021-07-13 09:03:37
CMTOOL-270,12916233,CMTOOL,Bug,false,Done,Done,2020-03-06 10:43:08,2020-06-16 14:58:23
CMTOOL-269,12916231,CMTOOL,Bug,false,Done,Explained,2020-03-06 10:41:53,2020-04-28 12:23:53
CMTOOL-268,12913134,CMTOOL,Bug,false,Done,Out of Date,2020-02-27 03:58:48,2020-04-24 10:26:18
CMTOOL-267,12905709,CMTOOL,Improvement,false,Done,Done,2020-02-05 19:16:23,2020-02-13 07:46:58
CMTOOL-266,12905700,CMTOOL,Improvement,false,Done,Done,2020-02-05 18:56:52,2020-02-05 18:59:00
CMTOOL-265,12903346,CMTOOL,Improvement,false,Done,Done,2020-01-29 12:25:55,2020-01-29 12:28:42
CMTOOL-264,12903284,CMTOOL,Improvement,false,Done,Done,2020-01-29 11:24:23,2020-01-29 11:27:54
CMTOOL-263,12903265,CMTOOL,New Feature,false,Done,Done,2020-01-29 10:43:42,2020-01-29 10:50:06
CMTOOL-262,12835565,CMTOOL,Task,false,Done,Done,2019-10-29 09:09:58,2019-10-29 09:14:12
CMTOOL-261,12834474,CMTOOL,Bug,false,Done,Rejected,2019-10-22 01:20:11,2019-10-27 20:58:26
CMTOOL-260,12832817,CMTOOL,Improvement,false,Done,Done,2019-10-10 11:41:13,2019-10-10 11:47:33
CMTOOL-259,12832812,CMTOOL,Task,false,Done,Done,2019-10-10 11:22:57,2019-10-10 11:40:42
CMTOOL-258,12832804,CMTOOL,Bug,false,Done,Done,2019-10-10 10:57:47,2019-10-10 11:10:09
CMTOOL-257,12832798,CMTOOL,New Feature,false,Done,Done,2019-10-10 10:49:31,2019-10-10 11:32:59
CMTOOL-256,12828749,CMTOOL,Bug,false,To Do,,2019-09-17 08:57:32,
CMTOOL-255,12827712,CMTOOL,Bug,false,Done,Explained,2019-09-11 08:54:07,2020-04-13 10:50:57
CMTOOL-254,12826017,CMTOOL,New Feature,false,Done,Won't Do,2019-09-03 10:50:23,2021-03-19 07:38:21
CMTOOL-253,12826009,CMTOOL,Improvement,false,Done,Done,2019-09-03 09:59:54,2019-10-10 12:17:22
CMTOOL-252,12813010,CMTOOL,Improvement,false,Done,Done,2019-06-12 17:34:14,2019-06-12 18:01:02
CMTOOL-251,12813008,CMTOOL,Bug,false,Done,Done,2019-06-12 16:59:56,2019-06-12 17:06:17
CMTOOL-250,12813006,CMTOOL,Bug,false,Done,Done,2019-06-12 16:50:15,2019-06-12 17:33:42
CMTOOL-249,12806309,CMTOOL,New Feature,false,To Do,,2019-05-09 13:43:09,
CMTOOL-248,12797975,CMTOOL,Improvement,false,Done,Cannot Reproduce,2019-03-19 02:44:28,2019-06-13 04:10:26
CMTOOL-247,12795486,CMTOOL,New Feature,false,Done,Done,2019-03-04 21:04:22,2019-06-12 16:46:42
CMTOOL-246,12795484,CMTOOL,Improvement,false,Done,Done,2019-03-04 19:33:59,2019-03-04 19:36:37
CMTOOL-245,12795461,CMTOOL,Bug,false,Done,Done,2019-03-04 17:01:00,2019-03-04 18:17:13
CMTOOL-244,12795460,CMTOOL,Bug,false,Done,Done,2019-03-04 16:54:58,2019-03-04 17:00:08
CMTOOL-243,12795211,CMTOOL,New Feature,false,Done,Done,2019-03-03 06:51:41,2019-03-03 12:07:13
CMTOOL-242,12795018,CMTOOL,Bug,false,Done,Done,2019-03-01 08:28:29,2019-03-04 12:57:47
CMTOOL-241,12788215,CMTOOL,Bug,false,Done,Done,2019-01-21 02:04:03,2019-01-21 02:17:32
CMTOOL-240,12788214,CMTOOL,Bug,false,Done,Done,2019-01-21 02:00:21,2019-01-21 02:15:32
CMTOOL-239,12788213,CMTOOL,New Feature,false,Done,Done,2019-01-21 01:56:09,2019-01-21 02:12:45
CMTOOL-238,12788212,CMTOOL,New Feature,false,Done,Done,2019-01-21 01:55:02,2019-01-21 02:10:23
CMTOOL-237,12788211,CMTOOL,New Feature,false,Done,Done,2019-01-21 01:53:01,2019-01-21 02:08:07
CMTOOL-236,12787201,CMTOOL,New Feature,false,Done,Done,2019-01-12 21:14:56,2020-07-06 14:16:05
CMTOOL-234,12785701,CMTOOL,Bug,false,Done,Rejected,2018-12-28 07:27:08,2019-06-12 17:10:10
CMTOOL-233,12782621,CMTOOL,Improvement,false,Done,Done,2018-12-05 12:16:57,2018-12-05 14:18:09
CMTOOL-232,12782166,CMTOOL,Improvement,false,Done,Done,2018-12-03 21:30:32,2018-12-05 12:13:10
CMTOOL-231,12782165,CMTOOL,Improvement,false,Done,Done,2018-12-03 21:21:56,2018-12-03 22:08:35
CMTOOL-230,12782164,CMTOOL,New Feature,false,Done,Done,2018-12-03 21:13:37,2018-12-03 21:18:14
CMTOOL-229,12701551,CMTOOL,Bug,false,Done,Done,2017-07-12 03:24:40,2018-10-11 16:49:11
CMTOOL-228,12772891,CMTOOL,Bug,false,Done,Done,2018-10-04 07:42:03,2018-10-11 02:21:24
CMTOOL-227,12772867,CMTOOL,Bug,false,Done,Done,2018-10-04 06:08:29,2018-10-05 03:17:56
CMTOOL-226,12772812,CMTOOL,Task,false,Done,Done,2018-10-03 22:22:24,2018-10-03 22:49:30
CMTOOL-225,12772811,CMTOOL,Task,false,Done,Done,2018-10-03 22:21:55,2018-10-03 22:49:09
CMTOOL-224,12772810,CMTOOL,Task,false,Done,Done,2018-10-03 22:21:23,2018-10-03 22:48:43
CMTOOL-223,12772809,CMTOOL,Task,false,Done,Done,2018-10-03 22:19:28,2018-10-03 22:48:19
CMTOOL-222,12770944,CMTOOL,Improvement,false,Done,Done,2018-09-23 10:34:07,2018-09-23 10:45:34
CMTOOL-221,12770597,CMTOOL,Bug,false,Done,Done,2018-09-20 06:42:07,2018-10-03 23:07:47
CMTOOL-220,12770124,CMTOOL,Bug,false,Done,Done,2018-09-17 16:17:04,2018-09-17 16:25:02
CMTOOL-219,12770123,CMTOOL,Bug,false,Done,Done,2018-09-17 16:13:39,2018-09-17 16:22:56
CMTOOL-218,12770119,CMTOOL,Bug,false,Done,Done,2018-09-17 16:12:01,2018-09-17 16:24:46
CMTOOL-217,12766976,CMTOOL,Improvement,false,Done,Done,2018-08-27 16:46:02,2018-08-28 06:30:40
CMTOOL-216,12766975,CMTOOL,Improvement,false,Done,Done,2018-08-27 16:42:55,2018-08-27 16:47:25
CMTOOL-215,12764400,CMTOOL,Task,false,Done,Out of Date,2018-08-13 06:25:51,2018-10-11 02:22:27
CMTOOL-214,12761403,CMTOOL,Bug,false,Done,Done,2018-07-24 04:31:35,2018-10-11 02:23:07
CMTOOL-213,12760045,CMTOOL,Bug,false,Done,Out of Date,2018-07-16 04:04:47,2018-09-21 18:58:11
CMTOOL-212,12758976,CMTOOL,Bug,false,Done,Done,2018-07-10 06:30:43,2018-08-27 16:41:01
CMTOOL-211,12758791,CMTOOL,Bug,false,Done,Out of Date,2018-07-09 09:24:02,2018-09-21 19:07:18
CMTOOL-210,12758777,CMTOOL,Bug,false,Done,Done,2018-07-09 08:42:05,2018-07-25 04:01:26
CMTOOL-209,12756898,CMTOOL,Bug,false,Done,Done,2018-06-26 02:57:59,2018-06-27 03:18:09
CMTOOL-208,12756742,CMTOOL,Bug,false,Done,Done,2018-06-25 07:30:52,2018-06-25 07:34:56
CMTOOL-207,12756740,CMTOOL,Improvement,false,Done,Done,2018-06-25 07:26:16,2018-06-27 03:28:19
