Key,ID,Project,IssueType,IsSubtask,Status,Resolution,Created Date,Resolved Date
CNRDOC-2121,14382821,CNRDOC,Requirement,false,New,,2021-12-09 13:29:45,
CNRDOC-2108,13432043,CNRDOC,Task,false,New,,2021-08-04 10:10:05,
CNRDOC-2103,13409342,CNRDOC,Requirement,false,New,,2021-07-09 13:39:13,
CNRDOC-2096,13389990,CNRDOC,Requirement,false,Resolved,Done,2021-06-22 10:21:35,2021-06-22 10:23:28
CNRDOC-2095,13389986,CNRDOC,Requirement,false,Resolved,Done,2021-06-22 10:06:41,2021-06-22 10:10:22
CNRDOC-2081,13341445,CNRDOC,Task,false,Closed,Done,2021-05-04 13:12:53,2021-05-04 14:15:29
CNRDOC-2080,13330754,CNRDOC,Requirement,false,New,,2021-04-22 15:24:49,
CNRDOC-2079,13330753,CNRDOC,Requirement,false,New,,2021-04-22 15:24:47,
CNRDOC-2078,13330752,CNRDOC,Requirement,false,New,,2021-04-22 15:24:45,
CNRDOC-2077,13330751,CNRDOC,Requirement,false,New,,2021-04-22 15:24:43,
CNRDOC-2076,13330750,CNRDOC,Requirement,false,New,,2021-04-22 15:24:41,
CNRDOC-2075,13330749,CNRDOC,Requirement,false,New,,2021-04-22 15:24:39,
CNRDOC-2074,13330845,CNRDOC,Requirement,false,New,,2021-04-22 15:02:10,
CNRDOC-2073,13330844,CNRDOC,Requirement,false,New,,2021-04-22 15:02:06,
CNRDOC-2072,13330843,CNRDOC,Requirement,false,New,,2021-04-22 15:02:04,
CNRDOC-2071,13330842,CNRDOC,Requirement,false,New,,2021-04-22 15:02:01,
CNRDOC-2070,13330841,CNRDOC,Requirement,false,New,,2021-04-22 15:01:58,
CNRDOC-2069,13330840,CNRDOC,Requirement,false,Resolved,Done,2021-04-22 15:01:55,2021-06-22 10:15:03
CNRDOC-2068,13330839,CNRDOC,Requirement,false,Resolved,Done,2021-04-22 15:01:52,2021-06-22 10:14:15
CNRDOC-2067,13330838,CNRDOC,Requirement,false,Resolved,Done,2021-04-22 15:01:50,2021-06-22 10:16:02
CNRDOC-2066,13330837,CNRDOC,Requirement,false,Resolved,Done,2021-04-22 15:01:47,2021-06-22 10:16:18
CNRDOC-2065,13330836,CNRDOC,Requirement,false,Resolved,Done,2021-04-22 15:01:43,2021-06-22 10:17:24
CNRDOC-2064,13330835,CNRDOC,Requirement,false,Resolved,Done,2021-04-22 15:01:41,2021-06-22 10:17:20
CNRDOC-2063,13330834,CNRDOC,Requirement,false,New,,2021-04-22 15:01:38,
CNRDOC-2062,13330833,CNRDOC,Requirement,false,New,,2021-04-22 15:01:35,
CNRDOC-2061,13330832,CNRDOC,Requirement,false,New,,2021-04-22 15:01:33,
CNRDOC-2060,13330831,CNRDOC,Requirement,false,New,,2021-04-22 15:01:30,
CNRDOC-2059,13330830,CNRDOC,Requirement,false,New,,2021-04-22 15:01:26,
CNRDOC-2058,13330829,CNRDOC,Requirement,false,New,,2021-04-22 15:01:24,
CNRDOC-2057,13330827,CNRDOC,Requirement,false,New,,2021-04-22 15:01:21,
CNRDOC-2056,13330826,CNRDOC,Requirement,false,New,,2021-04-22 15:01:18,
CNRDOC-2054,13306992,CNRDOC,Task,false,Pull Request Sent,,2021-03-31 10:36:07,
CNRDOC-2053,13301231,CNRDOC,Task,false,New,,2021-03-25 03:10:05,
CNRDOC-2052,13301220,CNRDOC,Task,false,New,,2021-03-25 02:29:59,
CNRDOC-2051,13301219,CNRDOC,Task,false,Closed,Done,2021-03-25 02:29:06,2021-05-24 10:53:54
CNRDOC-2050,13301218,CNRDOC,Task,false,Resolved,Done,2021-03-25 02:22:18,2021-03-30 07:20:56
CNRDOC-2048,13298473,CNRDOC,Task,false,Closed,Done,2021-03-23 12:20:08,2021-03-31 06:25:56
CNRDOC-2038,13279375,CNRDOC,Task,false,New,,2021-03-03 05:18:55,
CNRDOC-2017,13267026,CNRDOC,Bug,false,Closed,Done,2021-02-18 11:54:00,2021-03-12 07:00:49
CNRDOC-2016,13267020,CNRDOC,Bug,false,New,,2021-02-18 11:53:02,
CNRDOC-2015,13267015,CNRDOC,Bug,false,Closed,Done,2021-02-18 11:52:06,2021-03-03 01:03:26
CNRDOC-2002,13235038,CNRDOC,Task,false,Closed,Done,2021-01-19 05:59:41,2021-02-18 09:55:58
CNRDOC-1982,13208962,CNRDOC,Task,false,Closed,Done,2020-12-02 09:09:14,2021-02-23 06:50:32
CNRDOC-1974,13196894,CNRDOC,Bug,false,Closed,Done,2020-11-13 08:04:34,2021-03-05 03:59:20
CNRDOC-1969,13181031,CNRDOC,Requirement,false,Closed,Done,2020-10-21 11:00:41,2021-02-18 04:06:04
CNRDOC-1891,12962758,CNRDOC,Enhancement,false,New,,2020-07-02 17:58:19,
CNRDOC-1886,12961468,CNRDOC,Task,false,Resolved,Done,2020-07-01 09:25:57,2020-07-02 01:37:01
CNRDOC-1875,12950661,CNRDOC,Task,false,Resolved,Done,2020-06-04 05:40:55,2020-06-05 10:57:00
CNRDOC-1842,12937513,CNRDOC,Task,false,Closed,Done,2020-05-04 02:13:02,2020-05-04 02:15:48
