Key,ID,Project,IssueType,IsSubtask,Status,Resolution,Created Date,Resolved Date
WRKLDS-373,14228089,WRKLDS,Story,false,In Progress,,2021-08-31 17:26:08,
WRKLDS-372,14357887,WRKLDS,Story,false,In Progress,,2021-11-23 14:01:53,
WRKLDS-371,14357885,WRKLDS,Story,false,In Progress,,2021-11-23 13:59:33,
WRKLDS-370,14338911,WRKLDS,Story,false,In Progress,,2021-11-10 21:15:47,
WRKLDS-368,14323620,WRKLDS,Story,false,In Progress,,2021-11-02 13:40:41,
WRKLDS-363,14322604,WRKLDS,Story,false,To Do,,2021-11-01 20:55:59,
WRKLDS-362,14319349,WRKLDS,Story,false,Done,Done,2021-10-29 13:34:29,2021-12-14 13:51:05
WRKLDS-361,14303033,WRKLDS,Story,false,To Do,,2021-10-19 09:47:28,
WRKLDS-360,14297618,WRKLDS,Story,false,In Progress,,2021-10-14 14:21:31,
WRKLDS-359,14297544,WRKLDS,Story,false,In Progress,,2021-10-14 13:52:35,
WRKLDS-358,14257700,WRKLDS,Story,false,In Progress,,2021-09-21 12:17:00,
WRKLDS-357,14227349,WRKLDS,Story,false,In Progress,,2021-08-31 14:04:17,
WRKLDS-356,14226976,WRKLDS,Story,false,Done,Done,2021-08-31 12:25:56,2021-12-14 12:53:29
WRKLDS-347,13428102,WRKLDS,Story,false,In Progress,,2021-07-29 19:19:41,
WRKLDS-340,13419292,WRKLDS,Story,false,Done,Done,2021-07-21 11:22:01,2021-08-19 16:57:16
WRKLDS-339,13419291,WRKLDS,Story,false,Done,Done,2021-07-21 11:21:02,2021-08-19 13:29:52
WRKLDS-333,13417352,WRKLDS,Story,false,Obsolete,Done,2021-07-19 15:38:55,2021-08-06 14:54:37
WRKLDS-320,13417158,WRKLDS,Story,false,In Progress,,2021-07-19 15:18:44,
WRKLDS-319,13417157,WRKLDS,Story,false,In Progress,,2021-07-19 15:18:15,
WRKLDS-318,13417156,WRKLDS,Story,false,Obsolete,Done,2021-07-19 15:17:46,2021-08-09 15:03:59
WRKLDS-316,13398897,WRKLDS,Story,false,Done,Done,2021-06-29 13:35:46,2021-08-06 09:47:29
WRKLDS-315,13398864,WRKLDS,Story,false,Done,Done,2021-06-29 12:48:52,2021-10-12 13:29:35
WRKLDS-314,13398956,WRKLDS,Story,false,In Progress,,2021-06-29 12:31:46,
WRKLDS-311,13374776,WRKLDS,Story,false,Done,Done,2021-06-08 13:14:52,2021-07-20 10:48:16
WRKLDS-310,13374566,WRKLDS,Story,false,Obsolete,Done,2021-06-08 10:16:59,2021-06-08 10:20:12
WRKLDS-309,13374564,WRKLDS,Story,false,Done,Done,2021-06-08 10:13:17,2021-06-29 11:57:42
WRKLDS-308,13374550,WRKLDS,Story,false,In Progress,,2021-06-08 09:49:54,
WRKLDS-306,13367658,WRKLDS,Story,false,In Progress,,2021-05-31 13:18:57,
WRKLDS-303,13365271,WRKLDS,Story,false,To Do,,2021-05-26 17:33:37,
WRKLDS-300,13365265,WRKLDS,Story,false,To Do,,2021-05-26 17:26:53,
WRKLDS-299,13365262,WRKLDS,Story,false,To Do,,2021-05-26 17:23:51,
WRKLDS-298,13365196,WRKLDS,Story,false,In Progress,,2021-05-26 17:14:08,
WRKLDS-297,13363839,WRKLDS,Story,false,In Progress,,2021-05-25 15:28:28,
WRKLDS-296,13363336,WRKLDS,Story,false,In Progress,,2021-05-25 10:42:14,
WRKLDS-295,13354937,WRKLDS,Story,false,Done,Done,2021-05-18 12:22:02,2021-07-20 10:47:37
WRKLDS-294,13354934,WRKLDS,Story,false,Done,Done,2021-05-18 12:18:49,2021-08-31 13:38:39
WRKLDS-293,13354042,WRKLDS,Story,false,In Progress,,2021-05-17 14:13:09,
WRKLDS-291,13348667,WRKLDS,Story,false,Done,Done,2021-05-11 13:58:42,2021-06-29 11:59:05
WRKLDS-289,13334368,WRKLDS,Story,false,In Progress,,2021-04-27 13:33:44,
WRKLDS-288,13334365,WRKLDS,Story,false,Done,Done,2021-04-27 13:29:32,2021-11-17 15:41:42
WRKLDS-287,13334354,WRKLDS,Story,false,Done,Done,2021-04-27 13:11:22,2021-04-27 13:11:54
WRKLDS-286,13334426,WRKLDS,Story,false,Done,Done,2021-04-27 12:38:43,2021-05-05 14:41:29
WRKLDS-285,13334306,WRKLDS,Story,false,Done,Done,2021-04-27 12:18:49,2021-07-20 10:46:57
WRKLDS-283,13322387,WRKLDS,Story,false,In Progress,,2021-04-15 06:52:56,
WRKLDS-282,13321638,WRKLDS,Story,false,Done,Done,2021-04-14 12:31:00,2021-05-18 12:13:30
