Issue key,Issue Type,Status,Project key,Project name,Project type,Resolution,Created,Resolved
APPAI-2115,Task,Closed,APPAI,OpenShift App Analytics,software,Done,02/12/2023 00:06,06/02/2024 17:29
APPAI-2114,Task,Closed,APPAI,OpenShift App Analytics,software,Done,28/11/2023 12:24,02/12/2023 00:01
APPAI-2113,Epic,New,APPAI,OpenShift App Analytics,software,,16/08/2023 15:17,
APPAI-2112,Epic,New,APPAI,OpenShift App Analytics,software,,02/08/2023 17:28,
APPAI-2111,Story,Closed,APPAI,OpenShift App Analytics,software,Done,02/02/2023 13:49,31/03/2023 12:55
APPAI-2110,Story,To Do,APPAI,OpenShift App Analytics,software,,02/02/2023 08:56,
APPAI-2107,Task,Closed,APPAI,OpenShift App Analytics,software,Done,11/12/2022 19:06,12/12/2022 03:58
APPAI-2106,Task,Closed,APPAI,OpenShift App Analytics,software,Done,11/12/2022 19:06,12/12/2022 03:58
APPAI-2072,Story,To Do,APPAI,OpenShift App Analytics,software,,28/04/2022 17:21,
APPAI-2071,Task,Closed,APPAI,OpenShift App Analytics,software,Done,25/04/2022 16:08,12/12/2022 03:58
APPAI-2070,Task,Closed,APPAI,OpenShift App Analytics,software,Done,25/04/2022 16:07,07/12/2022 04:28
APPAI-2069,Task,Closed,APPAI,OpenShift App Analytics,software,Done,25/04/2022 16:07,07/12/2022 04:27
APPAI-2068,Task,Closed,APPAI,OpenShift App Analytics,software,Done,25/04/2022 16:07,07/12/2022 04:28
APPAI-2067,Task,Closed,APPAI,OpenShift App Analytics,software,Done,18/04/2022 15:21,21/03/2023 06:36
APPAI-2063,Bug,Closed,APPAI,OpenShift App Analytics,software,Done,31/01/2022 12:12,22/02/2022 10:47
APPAI-2062,Bug,Closed,APPAI,OpenShift App Analytics,software,Done,31/01/2022 12:11,22/02/2022 11:09
APPAI-2061,Bug,Closed,APPAI,OpenShift App Analytics,software,Done,31/01/2022 12:11,22/02/2022 10:42
APPAI-2060,Bug,Closed,APPAI,OpenShift App Analytics,software,Done,31/01/2022 12:10,22/02/2022 09:18
APPAI-2059,Bug,Closed,APPAI,OpenShift App Analytics,software,Done,31/01/2022 12:10,22/02/2022 10:27
APPAI-2058,Bug,Closed,APPAI,OpenShift App Analytics,software,Done,31/01/2022 12:09,22/02/2022 10:13
APPAI-2057,Bug,To Do,APPAI,OpenShift App Analytics,software,,31/01/2022 12:08,
APPAI-2056,Bug,Closed,APPAI,OpenShift App Analytics,software,Done,31/01/2022 12:07,12/02/2022 16:08
APPAI-2055,Bug,Closed,APPAI,OpenShift App Analytics,software,Done,31/01/2022 12:06,22/02/2022 09:50
APPAI-2054,Bug,To Do,APPAI,OpenShift App Analytics,software,,31/01/2022 12:06,
APPAI-2053,Bug,Closed,APPAI,OpenShift App Analytics,software,Done,31/01/2022 12:05,22/02/2022 09:18
APPAI-2052,Story,To Do,APPAI,OpenShift App Analytics,software,,31/01/2022 11:58,
APPAI-2051,Story,To Do,APPAI,OpenShift App Analytics,software,,21/01/2022 08:02,
APPAI-2050,Bug,Closed,APPAI,OpenShift App Analytics,software,Done,21/12/2021 06:50,21/12/2021 06:50
APPAI-2049,Task,Closed,APPAI,OpenShift App Analytics,software,Done,07/12/2021 20:55,22/12/2021 02:45
APPAI-2048,Task,Closed,APPAI,OpenShift App Analytics,software,Done,02/12/2021 06:28,22/12/2021 06:09
APPAI-2047,Task,Closed,APPAI,OpenShift App Analytics,software,Done,02/12/2021 06:27,14/12/2021 06:29
APPAI-2046,Story,Closed,APPAI,OpenShift App Analytics,software,Done,23/11/2021 05:11,29/11/2021 17:10
APPAI-2044,Story,Closed,APPAI,OpenShift App Analytics,software,Done,10/11/2021 06:10,08/12/2021 06:57
APPAI-2043,Story,In Progress,APPAI,OpenShift App Analytics,software,,10/11/2021 05:54,
APPAI-2042,Story,Closed,APPAI,OpenShift App Analytics,software,Done,09/11/2021 12:28,09/11/2021 12:28
APPAI-2041,Story,Closed,APPAI,OpenShift App Analytics,software,Done,09/11/2021 06:30,01/12/2021 05:45
APPAI-2040,Task,Closed,APPAI,OpenShift App Analytics,software,Done,27/10/2021 04:26,09/11/2021 07:34
APPAI-2039,Task,Closed,APPAI,OpenShift App Analytics,software,Done,27/10/2021 04:24,29/11/2021 06:14
APPAI-2038,Task,Closed,APPAI,OpenShift App Analytics,software,Done,27/10/2021 04:02,28/10/2021 06:28
APPAI-2037,Task,Closed,APPAI,OpenShift App Analytics,software,Done,27/10/2021 03:59,09/11/2021 06:28
APPAI-2036,Story,Closed,APPAI,OpenShift App Analytics,software,Done,25/10/2021 05:36,28/10/2021 06:30
APPAI-2035,Story,Closed,APPAI,OpenShift App Analytics,software,Done,20/10/2021 05:57,15/11/2021 06:18
APPAI-2034,Task,Closed,APPAI,OpenShift App Analytics,software,Done,20/10/2021 05:53,09/11/2021 12:26
APPAI-2033,Story,Closed,APPAI,OpenShift App Analytics,software,Done,18/10/2021 05:03,19/10/2021 05:09
APPAI-2032,Story,Closed,APPAI,OpenShift App Analytics,software,Done,12/10/2021 05:20,22/12/2021 05:41
APPAI-2031,Bug,Closed,APPAI,OpenShift App Analytics,software,Done,11/10/2021 06:52,11/10/2021 06:52
APPAI-2030,Bug,Closed,APPAI,OpenShift App Analytics,software,Done,05/10/2021 05:17,13/10/2021 08:24
APPAI-2029,Bug,Closed,APPAI,OpenShift App Analytics,software,Done,30/09/2021 11:57,13/10/2021 08:23
APPAI-2028,Bug,Closed,APPAI,OpenShift App Analytics,software,Done,30/09/2021 11:54,07/10/2021 06:46
APPAI-2027,Story,Closed,APPAI,OpenShift App Analytics,software,Done,30/09/2021 11:23,01/12/2021 15:08
APPAI-2026,Story,Closed,APPAI,OpenShift App Analytics,software,Done,30/09/2021 10:14,01/12/2021 15:07
APPAI-2025,Task,Closed,APPAI,OpenShift App Analytics,software,Done,30/09/2021 06:26,19/10/2021 14:32
APPAI-2024,Story,Closed,APPAI,OpenShift App Analytics,software,Done,30/09/2021 05:08,08/11/2021 05:07
APPAI-2023,Story,Closed,APPAI,OpenShift App Analytics,software,Done,30/09/2021 04:50,29/11/2021 06:15
APPAI-2022,Story,Closed,APPAI,OpenShift App Analytics,software,Done,30/09/2021 04:41,09/11/2021 06:28
APPAI-2021,Bug,Closed,APPAI,OpenShift App Analytics,software,Done,28/09/2021 11:12,29/09/2021 13:44
APPAI-2020,Story,Closed,APPAI,OpenShift App Analytics,software,Done,24/09/2021 12:49,21/12/2021 06:32
APPAI-2019,Bug,Closed,APPAI,OpenShift App Analytics,software,Done,15/09/2021 16:29,28/09/2021 14:59
APPAI-2018,Story,Closed,APPAI,OpenShift App Analytics,software,Done,15/09/2021 16:28,17/09/2021 07:51
APPAI-2017,Story,Closed,APPAI,OpenShift App Analytics,software,Done,14/09/2021 16:15,24/09/2021 05:57
APPAI-2016,Story,Closed,APPAI,OpenShift App Analytics,software,Done,14/09/2021 16:15,19/10/2021 14:30
APPAI-2015,Story,Closed,APPAI,OpenShift App Analytics,software,Done,14/09/2021 04:56,28/09/2021 15:02
APPAI-2014,Story,In Progress,APPAI,OpenShift App Analytics,software,,09/09/2021 05:06,
APPAI-2013,Story,Closed,APPAI,OpenShift App Analytics,software,Done,08/09/2021 12:45,19/10/2021 14:29
APPAI-2012,Story,Closed,APPAI,OpenShift App Analytics,software,Done,02/09/2021 07:28,02/09/2021 14:49
APPAI-2011,Story,Closed,APPAI,OpenShift App Analytics,software,Done,01/09/2021 13:33,07/09/2021 05:49
APPAI-2010,Task,Closed,APPAI,OpenShift App Analytics,software,Won't Do,31/08/2021 15:43,13/04/2022 09:35
APPAI-2009,Task,Closed,APPAI,OpenShift App Analytics,software,Done,31/08/2021 15:42,13/04/2022 09:35
APPAI-2006,Task,Closed,APPAI,OpenShift App Analytics,software,Won't Do,31/08/2021 15:57,13/04/2022 09:34
APPAI-2005,Task,Closed,APPAI,OpenShift App Analytics,software,Won't Do,31/08/2021 15:57,13/04/2022 09:34
APPAI-2004,Task,Closed,APPAI,OpenShift App Analytics,software,Won't Do,31/08/2021 15:56,13/04/2022 09:34
