Issue key,Issue Type,Status,Project key,Project name,Project type,Resolution,Created,Resolved
GRPA-4593,Task,To Do,GRPA,Use OCPBUGS now,software,,23/09/2024 23:00,
GRPA-4585,Story,Closed,GRPA,Use OCPBUGS now,software,Done,15/02/2022 19:26,01/06/2023 21:27
GRPA-4584,Story,Closed,GRPA,Use OCPBUGS now,software,Done,15/02/2022 19:24,01/06/2023 21:27
GRPA-4583,Story,Closed,GRPA,Use OCPBUGS now,software,Done,15/02/2022 19:23,01/06/2023 21:27
GRPA-4581,Epic,Closed,GRPA,Use OCPBUGS now,software,Won't Do,14/01/2022 20:23,14/01/2022 20:25
GRPA-4527,Task,Closed,GRPA,Use OCPBUGS now,software,Done,16/12/2021 18:34,08/12/2022 13:13
GRPA-4520,Task,Closed,GRPA,Use OCPBUGS now,software,Done,14/12/2021 20:05,10/01/2022 13:24
GRPA-4487,Bug,Closed,GRPA,Use OCPBUGS now,software,Obsolete,29/11/2021 15:57,29/11/2021 16:04
GRPA-4482,Story,Closed,GRPA,Use OCPBUGS now,software,Obsolete,29/11/2021 15:11,16/12/2021 16:37
GRPA-4481,Story,Closed,GRPA,Use OCPBUGS now,software,Obsolete,29/11/2021 15:11,16/12/2021 16:36
GRPA-4479,Story,Closed,GRPA,Use OCPBUGS now,software,Obsolete,29/11/2021 15:09,16/12/2021 16:36
GRPA-4466,Task,Closed,GRPA,Use OCPBUGS now,software,Done,23/11/2021 02:19,29/11/2021 16:52
GRPA-4446,Story,Closed,GRPA,Use OCPBUGS now,software,Done,10/11/2021 06:53,23/11/2021 18:54
GRPA-4445,Story,Closed,GRPA,Use OCPBUGS now,software,Done,10/11/2021 06:49,23/11/2021 18:54
GRPA-4444,Story,Closed,GRPA,Use OCPBUGS now,software,Done,10/11/2021 06:47,23/11/2021 18:53
GRPA-4443,Story,Closed,GRPA,Use OCPBUGS now,software,Done,09/11/2021 20:31,17/11/2021 14:43
GRPA-4436,Story,Closed,GRPA,Use OCPBUGS now,software,Done,08/11/2021 14:35,17/11/2021 20:37
GRPA-4383,Task,Closed,GRPA,Use OCPBUGS now,software,Done,05/11/2021 17:28,16/11/2021 21:38
GRPA-4381,Story,Closed,GRPA,Use OCPBUGS now,software,Done,04/11/2021 15:45,16/11/2021 19:38
GRPA-4373,Story,Closed,GRPA,Use OCPBUGS now,software,Done,02/11/2021 15:54,10/11/2021 15:27
GRPA-4372,Story,Closed,GRPA,Use OCPBUGS now,software,Done,02/11/2021 14:20,04/11/2021 20:01
GRPA-4371,Story,Closed,GRPA,Use OCPBUGS now,software,Done,02/11/2021 02:25,10/11/2021 06:48
GRPA-4370,Story,Closed,GRPA,Use OCPBUGS now,software,Done,02/11/2021 02:23,10/11/2021 06:51
