Issue key,Issue Type,Status,Project key,Project name,Project type,Resolution,Created,Resolved
HELM-539,Story,In Progress,HELM,Helm,software,,04/09/2024 14:57,
HELM-538,Story,Backlog,HELM,Helm,software,,28/08/2024 10:34,
HELM-537,Story,New,HELM,Helm,software,,25/06/2024 15:38,
HELM-536,Story,New,HELM,Helm,software,,04/06/2024 19:24,
HELM-535,Story,Closed,HELM,Helm,software,Done-Errata,30/05/2024 05:24,25/06/2024 00:12
HELM-534,Story,Closed,HELM,Helm,software,Done,15/05/2024 10:28,24/06/2024 07:22
HELM-533,Story,Closed,HELM,Helm,software,Duplicate,15/05/2024 10:23,28/08/2024 14:33
HELM-532,Story,Closed,HELM,Helm,software,Done,07/05/2024 23:56,27/05/2024 08:50
HELM-528,Bug,Closed,HELM,Helm,software,Not a Bug,22/03/2024 10:20,22/03/2024 14:18
HELM-527,Story,Closed,HELM,Helm,software,Done-Errata,15/02/2024 09:00,18/04/2024 00:07
HELM-526,Bug,Closed,HELM,Helm,software,Done,09/02/2024 07:00,16/02/2024 14:06
HELM-525,Task,Closed,HELM,Helm,software,Done,16/01/2024 17:33,12/02/2024 05:27
HELM-524,Story,Closed,HELM,Helm,software,Done-Errata,22/12/2023 06:13,15/02/2024 00:10
HELM-523,Story,Closed,HELM,Helm,software,Done,21/12/2023 06:55,10/01/2024 04:54
HELM-522,Story,Closed,HELM,Helm,software,Done,05/12/2023 06:44,21/12/2023 06:56
HELM-519,Bug,Closed,HELM,Helm,software,Done,20/11/2023 07:45,17/01/2024 16:56
HELM-518,Story,Closed,HELM,Helm,software,Done,12/10/2023 12:02,22/02/2024 07:15
HELM-517,Bug,Closed,HELM,Helm,software,Done,22/08/2023 07:34,22/08/2023 14:27
HELM-506,Story,New,HELM,Helm,software,,20/07/2023 19:03,
HELM-505,Story,Closed,HELM,Helm,software,Done,20/07/2023 10:41,20/07/2023 12:40
HELM-504,Story,To Do,HELM,Helm,software,,20/07/2023 10:14,
HELM-503,Story,Closed,HELM,Helm,software,Done-Errata,18/07/2023 01:36,09/11/2023 00:10
HELM-502,Story,Closed,HELM,Helm,software,Done,13/07/2023 07:57,18/07/2023 01:35
HELM-501,Task,Closed,HELM,Helm,software,Done,13/07/2023 06:04,19/07/2023 13:27
HELM-500,Task,Closed,HELM,Helm,software,Done,13/07/2023 06:03,13/07/2023 06:05
HELM-499,Task,Closed,HELM,Helm,software,Done,13/07/2023 06:02,20/07/2023 19:42
HELM-498,Task,Closed,HELM,Helm,software,Done,13/07/2023 06:02,20/07/2023 00:09
HELM-497,Story,Closed,HELM,Helm,software,Done,13/07/2023 05:59,06/09/2023 12:18
HELM-496,Story,Backlog,HELM,Helm,software,,13/07/2023 05:57,
