Issue key,Issue Type,Status,Project key,Project name,Project type,Resolution,Created,Resolved
KFLUXUI-205,Story,New,KFLUXUI,Konflux UI,software,,12/11/2024 10:29,
KFLUXUI-204,Story,New,KFLUXUI,Konflux UI,software,,12/11/2024 10:29,
KFLUXUI-203,Story,New,KFLUXUI,Konflux UI,software,,12/11/2024 10:29,
KFLUXUI-202,Story,New,KFLUXUI,Konflux UI,software,,12/11/2024 10:29,
KFLUXUI-201,Story,New,KFLUXUI,Konflux UI,software,,12/11/2024 10:29,
KFLUXUI-200,Story,New,KFLUXUI,Konflux UI,software,,12/11/2024 10:29,
KFLUXUI-199,Story,New,KFLUXUI,Konflux UI,software,,12/11/2024 10:29,
KFLUXUI-198,Story,New,KFLUXUI,Konflux UI,software,,12/11/2024 10:29,
KFLUXUI-197,Story,New,KFLUXUI,Konflux UI,software,,12/11/2024 10:29,
KFLUXUI-196,Story,New,KFLUXUI,Konflux UI,software,,12/11/2024 10:29,
KFLUXUI-195,Story,New,KFLUXUI,Konflux UI,software,,12/11/2024 10:29,
KFLUXUI-194,Story,New,KFLUXUI,Konflux UI,software,,12/11/2024 10:29,
KFLUXUI-193,Story,New,KFLUXUI,Konflux UI,software,,12/11/2024 10:28,
KFLUXUI-192,Story,New,KFLUXUI,Konflux UI,software,,12/11/2024 10:28,
KFLUXUI-191,Story,New,KFLUXUI,Konflux UI,software,,12/11/2024 10:28,
KFLUXUI-190,Story,New,KFLUXUI,Konflux UI,software,,12/11/2024 10:28,
KFLUXUI-189,Story,New,KFLUXUI,Konflux UI,software,,12/11/2024 10:28,
KFLUXUI-188,Story,New,KFLUXUI,Konflux UI,software,,12/11/2024 10:28,
KFLUXUI-187,Story,New,KFLUXUI,Konflux UI,software,,12/11/2024 10:28,
KFLUXUI-186,Story,New,KFLUXUI,Konflux UI,software,,12/11/2024 10:28,
KFLUXUI-185,Story,New,KFLUXUI,Konflux UI,software,,12/11/2024 10:28,
KFLUXUI-184,Story,New,KFLUXUI,Konflux UI,software,,12/11/2024 10:28,
KFLUXUI-183,Story,New,KFLUXUI,Konflux UI,software,,12/11/2024 10:28,
