Issue key,Issue Type,Status,Project key,Project name,Project type,Resolution,Created,Resolved
NP-1105,Story,To Do,NP,OpenShift Network Plumbing,software,,08/11/2024 23:11,
NP-1104,Story,To Do,NP,OpenShift Network Plumbing,software,,08/11/2024 23:11,
NP-1103,Story,To Do,NP,OpenShift Network Plumbing,software,,08/11/2024 23:11,
NP-1102,Epic,New,NP,OpenShift Network Plumbing,software,,08/11/2024 11:58,
NP-1101,Story,To Do,NP,OpenShift Network Plumbing,software,,06/11/2024 20:30,
NP-1100,Story,To Do,NP,OpenShift Network Plumbing,software,,06/11/2024 20:26,
NP-1099,Story,To Do,NP,OpenShift Network Plumbing,software,,16/10/2024 13:23,
NP-1098,Story,Code Review,NP,OpenShift Network Plumbing,software,,15/10/2024 19:11,
NP-1097,Bug,To Do,NP,OpenShift Network Plumbing,software,,14/10/2024 18:11,
NP-1096,Bug,To Do,NP,OpenShift Network Plumbing,software,,09/10/2024 13:22,
NP-1095,Story,Closed,NP,OpenShift Network Plumbing,software,Done,09/10/2024 04:12,06/11/2024 01:23
NP-1094,Story,Code Review,NP,OpenShift Network Plumbing,software,,09/10/2024 04:12,
NP-1093,Story,Closed,NP,OpenShift Network Plumbing,software,Done,09/10/2024 04:11,01/11/2024 03:58
NP-1092,Story,Closed,NP,OpenShift Network Plumbing,software,Done,09/10/2024 04:10,01/11/2024 03:56
NP-1091,Story,Code Review,NP,OpenShift Network Plumbing,software,,09/10/2024 04:04,
NP-1090,Story,Closed,NP,OpenShift Network Plumbing,software,Done,09/10/2024 04:02,01/11/2024 03:57
NP-1089,Bug,To Do,NP,OpenShift Network Plumbing,software,,08/10/2024 20:30,
NP-1088,Story,To Do,NP,OpenShift Network Plumbing,software,,15/09/2024 23:09,
NP-1087,Story,To Do,NP,OpenShift Network Plumbing,software,,15/09/2024 23:09,
NP-1086,Story,To Do,NP,OpenShift Network Plumbing,software,,15/09/2024 23:09,
NP-1085,Story,To Do,NP,OpenShift Network Plumbing,software,,15/09/2024 23:09,
NP-1084,Story,To Do,NP,OpenShift Network Plumbing,software,,15/09/2024 23:09,
NP-1083,Story,To Do,NP,OpenShift Network Plumbing,software,,15/09/2024 23:09,
NP-1082,Epic,Closed,NP,OpenShift Network Plumbing,software,Duplicate,11/09/2024 07:47,12/09/2024 06:37
NP-1081,Epic,Closed,NP,OpenShift Network Plumbing,software,Done,05/09/2024 13:10,06/11/2024 00:57
NP-1080,Epic,New,NP,OpenShift Network Plumbing,software,,05/09/2024 13:09,
NP-1079,Story,To Do,NP,OpenShift Network Plumbing,software,,05/09/2024 07:04,
NP-1078,Story,In Progress,NP,OpenShift Network Plumbing,software,,05/09/2024 07:04,
NP-1077,Story,Closed,NP,OpenShift Network Plumbing,software,Done,05/09/2024 07:04,21/10/2024 02:22
NP-1076,Epic,In Progress,NP,OpenShift Network Plumbing,software,,05/09/2024 07:04,
NP-1075,Story,Closed,NP,OpenShift Network Plumbing,software,Done,04/09/2024 09:40,09/10/2024 03:58
NP-1073,Story,To Do,NP,OpenShift Network Plumbing,software,,02/09/2024 07:21,
NP-1072,Story,To Do,NP,OpenShift Network Plumbing,software,,02/09/2024 07:21,
NP-1071,Story,To Do,NP,OpenShift Network Plumbing,software,,02/09/2024 07:21,
NP-1069,Story,Closed,NP,OpenShift Network Plumbing,software,Done,29/08/2024 23:12,03/09/2024 09:39
NP-1068,Story,Closed,NP,OpenShift Network Plumbing,software,Done,29/08/2024 23:12,28/10/2024 07:00
NP-1067,Story,Closed,NP,OpenShift Network Plumbing,software,Done,29/08/2024 23:12,12/09/2024 08:39
NP-1066,Story,To Do,NP,OpenShift Network Plumbing,software,,29/08/2024 19:38,
NP-1064,Story,Closed,NP,OpenShift Network Plumbing,software,Done,29/08/2024 03:36,09/10/2024 03:59
NP-1063,Epic,Closed,NP,OpenShift Network Plumbing,software,Done,29/08/2024 03:31,06/11/2024 00:58
NP-1062,Story,To Do,NP,OpenShift Network Plumbing,software,,28/08/2024 23:17,
NP-1061,Story,To Do,NP,OpenShift Network Plumbing,software,,28/08/2024 23:17,
NP-1060,Story,To Do,NP,OpenShift Network Plumbing,software,,28/08/2024 23:17,
NP-1059,Epic,New,NP,OpenShift Network Plumbing,software,,28/08/2024 00:41,
NP-1058,Story,Closed,NP,OpenShift Network Plumbing,software,Done,09/08/2024 17:42,22/08/2024 07:17
NP-1057,Story,Closed,NP,OpenShift Network Plumbing,software,Done,05/08/2024 23:46,29/08/2024 18:46
NP-1056,Story,Closed,NP,OpenShift Network Plumbing,software,Duplicate,05/08/2024 23:38,13/08/2024 13:07
NP-1055,Task,Closed,NP,OpenShift Network Plumbing,software,Done,17/07/2024 13:43,11/09/2024 12:57
NP-1054,Story,To Do,NP,OpenShift Network Plumbing,software,,10/07/2024 23:13,
NP-1053,Story,To Do,NP,OpenShift Network Plumbing,software,,10/07/2024 23:13,
NP-1052,Story,To Do,NP,OpenShift Network Plumbing,software,,10/07/2024 23:13,
NP-1049,Story,In Progress,NP,OpenShift Network Plumbing,software,,27/06/2024 22:25,
NP-1048,Story,To Do,NP,OpenShift Network Plumbing,software,,27/06/2024 22:23,
NP-1047,Spike,Closed,NP,OpenShift Network Plumbing,software,Done,25/06/2024 04:21,05/08/2024 08:51
NP-1046,Story,Closed,NP,OpenShift Network Plumbing,software,Done,24/06/2024 21:15,27/06/2024 22:16
NP-1045,Story,Closed,NP,OpenShift Network Plumbing,software,Done,24/06/2024 21:14,27/06/2024 22:17
NP-1044,Story,Closed,NP,OpenShift Network Plumbing,software,Done,24/06/2024 16:14,27/06/2024 22:17
NP-1043,Story,Closed,NP,OpenShift Network Plumbing,software,Done,24/06/2024 16:13,27/06/2024 22:17
NP-1042,Story,Closed,NP,OpenShift Network Plumbing,software,Done,24/06/2024 16:12,27/06/2024 22:17
NP-1041,Story,Closed,NP,OpenShift Network Plumbing,software,Done,24/06/2024 16:10,27/06/2024 22:17
NP-1040,Story,To Do,NP,OpenShift Network Plumbing,software,,12/06/2024 14:03,
NP-1039,Story,To Do,NP,OpenShift Network Plumbing,software,,12/06/2024 13:46,
NP-1038,Story,To Do,NP,OpenShift Network Plumbing,software,,12/06/2024 13:21,
NP-1036,Story,Closed,NP,OpenShift Network Plumbing,software,Done,10/06/2024 12:13,11/07/2024 03:50
NP-1035,Story,Closed,NP,OpenShift Network Plumbing,software,Done,06/06/2024 18:55,22/06/2024 02:35
NP-1033,Story,Closed,NP,OpenShift Network Plumbing,software,Obsolete,03/06/2024 11:58,07/08/2024 09:20
NP-1032,Story,Closed,NP,OpenShift Network Plumbing,software,Obsolete,03/06/2024 11:58,07/08/2024 09:19
NP-1031,Story,Closed,NP,OpenShift Network Plumbing,software,Obsolete,03/06/2024 11:58,07/08/2024 09:19
NP-1029,Story,Closed,NP,OpenShift Network Plumbing,software,Done,23/05/2024 10:34,01/08/2024 06:29
NP-1028,Story,Closed,NP,OpenShift Network Plumbing,software,Obsolete,23/05/2024 10:34,01/08/2024 06:29
NP-1027,Story,Closed,NP,OpenShift Network Plumbing,software,Done,23/05/2024 10:34,23/07/2024 06:33
NP-1026,Epic,Closed,NP,OpenShift Network Plumbing,software,Done,23/05/2024 10:34,07/08/2024 08:35
NP-1025,Epic,New,NP,OpenShift Network Plumbing,software,,21/05/2024 08:18,
NP-1024,Story,To Do,NP,OpenShift Network Plumbing,software,,08/02/2024 21:52,
NP-1023,Story,Closed,NP,OpenShift Network Plumbing,software,Obsolete,13/05/2024 23:11,26/08/2024 14:44
NP-1022,Story,Closed,NP,OpenShift Network Plumbing,software,Obsolete,13/05/2024 23:11,13/08/2024 13:23
NP-1021,Story,Closed,NP,OpenShift Network Plumbing,software,Done,13/05/2024 23:11,26/08/2024 17:32
NP-1020,Story,To Do,NP,OpenShift Network Plumbing,software,,13/05/2024 23:11,
NP-1019,Story,To Do,NP,OpenShift Network Plumbing,software,,13/05/2024 23:11,
NP-1018,Story,To Do,NP,OpenShift Network Plumbing,software,,13/05/2024 23:11,
NP-1017,Story,To Do,NP,OpenShift Network Plumbing,software,,13/05/2024 23:11,
NP-1016,Story,To Do,NP,OpenShift Network Plumbing,software,,13/05/2024 23:11,
NP-1015,Story,To Do,NP,OpenShift Network Plumbing,software,,13/05/2024 23:11,
NP-1014,Story,To Do,NP,OpenShift Network Plumbing,software,,01/05/2024 19:43,
NP-1013,Story,To Do,NP,OpenShift Network Plumbing,software,,01/05/2024 19:37,
NP-1012,Story,To Do,NP,OpenShift Network Plumbing,software,,01/05/2024 19:37,
NP-1011,Story,To Do,NP,OpenShift Network Plumbing,software,,01/05/2024 19:36,
NP-1010,Story,To Do,NP,OpenShift Network Plumbing,software,,01/05/2024 19:36,
NP-1009,Story,In Progress,NP,OpenShift Network Plumbing,software,,01/05/2024 19:35,
NP-1008,Story,To Do,NP,OpenShift Network Plumbing,software,,01/05/2024 19:35,
NP-1007,Story,Closed,NP,OpenShift Network Plumbing,software,Done,01/05/2024 19:34,12/06/2024 13:35
NP-1006,Story,Closed,NP,OpenShift Network Plumbing,software,Done,01/05/2024 19:32,12/06/2024 13:33
NP-1005,Story,Closed,NP,OpenShift Network Plumbing,software,Done,01/05/2024 19:31,12/06/2024 13:31
NP-1004,Story,To Do,NP,OpenShift Network Plumbing,software,,01/05/2024 19:29,
NP-1003,Story,To Do,NP,OpenShift Network Plumbing,software,,01/05/2024 19:28,
NP-1002,Story,To Do,NP,OpenShift Network Plumbing,software,,01/05/2024 19:28,
NP-1001,Story,To Do,NP,OpenShift Network Plumbing,software,,01/05/2024 19:27,
NP-1000,Story,To Do,NP,OpenShift Network Plumbing,software,,01/05/2024 19:27,
NP-999,Story,To Do,NP,OpenShift Network Plumbing,software,,01/05/2024 19:26,
NP-998,Story,To Do,NP,OpenShift Network Plumbing,software,,01/05/2024 19:25,
NP-997,Epic,New,NP,OpenShift Network Plumbing,software,,01/05/2024 19:23,
NP-996,Epic,New,NP,OpenShift Network Plumbing,software,,01/05/2024 19:21,
NP-995,Epic,Release Pending,NP,OpenShift Network Plumbing,software,Done,01/05/2024 19:17,28/08/2024 00:44
NP-994,Story,To Do,NP,OpenShift Network Plumbing,software,,30/04/2024 23:14,
NP-993,Story,To Do,NP,OpenShift Network Plumbing,software,,30/04/2024 23:14,
NP-992,Story,To Do,NP,OpenShift Network Plumbing,software,,30/04/2024 23:14,
NP-991,Story,Closed,NP,OpenShift Network Plumbing,software,Done,30/04/2024 23:13,11/06/2024 08:26
NP-990,Story,Closed,NP,OpenShift Network Plumbing,software,Duplicate,30/04/2024 23:13,12/06/2024 02:28
NP-989,Story,Closed,NP,OpenShift Network Plumbing,software,Done,30/04/2024 23:13,28/10/2024 07:01
NP-986,Task,Closed,NP,OpenShift Network Plumbing,software,Done,24/04/2024 14:51,05/06/2024 14:35
NP-985,Story,To Do,NP,OpenShift Network Plumbing,software,,23/04/2024 20:14,
NP-984,Story,In Progress,NP,OpenShift Network Plumbing,software,,23/04/2024 20:14,
NP-983,Story,In Progress,NP,OpenShift Network Plumbing,software,,23/04/2024 20:13,
NP-982,Story,Closed,NP,OpenShift Network Plumbing,software,Done,23/04/2024 20:13,23/04/2024 20:16
NP-981,Story,Closed,NP,OpenShift Network Plumbing,software,Done,23/04/2024 20:13,23/04/2024 20:14
NP-980,Story,Closed,NP,OpenShift Network Plumbing,software,Obsolete,18/04/2024 23:11,02/08/2024 02:31
NP-979,Story,Closed,NP,OpenShift Network Plumbing,software,Obsolete,18/04/2024 23:11,02/08/2024 02:30
NP-978,Story,Closed,NP,OpenShift Network Plumbing,software,Obsolete,18/04/2024 23:11,02/08/2024 02:30
NP-976,Story,Closed,NP,OpenShift Network Plumbing,software,Done,18/04/2024 07:52,01/08/2024 02:30
NP-975,Story,Closed,NP,OpenShift Network Plumbing,software,Done,18/04/2024 07:34,28/05/2024 02:39
NP-974,Story,Closed,NP,OpenShift Network Plumbing,software,Done,17/04/2024 07:46,28/05/2024 02:39
NP-973,Epic,Closed,NP,OpenShift Network Plumbing,software,Done,15/04/2024 06:38,10/06/2024 14:16
NP-972,Story,Closed,NP,OpenShift Network Plumbing,software,Done,08/04/2024 08:29,28/05/2024 02:36
NP-971,Story,To Do,NP,OpenShift Network Plumbing,software,,04/04/2024 16:39,
NP-970,Story,To Do,NP,OpenShift Network Plumbing,software,,04/04/2024 16:38,
NP-969,Story,To Do,NP,OpenShift Network Plumbing,software,,04/04/2024 16:37,
NP-968,Story,To Do,NP,OpenShift Network Plumbing,software,,04/04/2024 16:37,
NP-967,Story,To Do,NP,OpenShift Network Plumbing,software,,04/04/2024 16:36,
NP-966,Story,Closed,NP,OpenShift Network Plumbing,software,Done,03/04/2024 11:43,21/06/2024 03:41
NP-965,Epic,Closed,NP,OpenShift Network Plumbing,software,Duplicate,27/03/2024 20:19,30/05/2024 03:26
NP-961,Task,Closed,NP,OpenShift Network Plumbing,software,Obsolete,26/03/2024 15:25,26/03/2024 15:28
NP-960,Story,Closed,NP,OpenShift Network Plumbing,software,Done,26/03/2024 12:46,02/04/2024 02:43
NP-959,Story,Closed,NP,OpenShift Network Plumbing,software,Done,26/03/2024 12:46,02/04/2024 02:43
NP-958,Story,Closed,NP,OpenShift Network Plumbing,software,Done,26/03/2024 12:46,02/04/2024 02:42
NP-956,Story,Closed,NP,OpenShift Network Plumbing,software,Done,26/03/2024 03:17,23/04/2024 06:36
NP-955,Story,Closed,NP,OpenShift Network Plumbing,software,Done,15/03/2024 23:15,29/04/2024 14:27
NP-952,Story,Closed,NP,OpenShift Network Plumbing,software,Done,15/03/2024 07:19,23/05/2024 04:59
NP-951,Story,Closed,NP,OpenShift Network Plumbing,software,Won't Do,13/03/2024 00:09,30/07/2024 06:23
NP-950,Story,Closed,NP,OpenShift Network Plumbing,software,Won't Do,13/03/2024 00:09,30/07/2024 06:23
NP-949,Story,Closed,NP,OpenShift Network Plumbing,software,Won't Do,13/03/2024 00:09,30/07/2024 06:23
NP-948,Story,To Do,NP,OpenShift Network Plumbing,software,,12/03/2024 23:43,
NP-947,Story,To Do,NP,OpenShift Network Plumbing,software,,12/03/2024 23:43,
NP-946,Story,To Do,NP,OpenShift Network Plumbing,software,,12/03/2024 23:43,
NP-945,Story,To Do,NP,OpenShift Network Plumbing,software,,12/03/2024 23:33,
NP-944,Story,To Do,NP,OpenShift Network Plumbing,software,,12/03/2024 23:33,
NP-943,Story,To Do,NP,OpenShift Network Plumbing,software,,12/03/2024 23:33,
NP-942,Story,To Do,NP,OpenShift Network Plumbing,software,,12/03/2024 23:32,
NP-941,Story,To Do,NP,OpenShift Network Plumbing,software,,12/03/2024 23:32,
NP-940,Story,To Do,NP,OpenShift Network Plumbing,software,,12/03/2024 23:32,
NP-939,Story,To Do,NP,OpenShift Network Plumbing,software,,12/03/2024 23:25,
NP-938,Story,To Do,NP,OpenShift Network Plumbing,software,,12/03/2024 23:25,
NP-937,Story,To Do,NP,OpenShift Network Plumbing,software,,12/03/2024 23:25,
NP-936,Story,To Do,NP,OpenShift Network Plumbing,software,,12/03/2024 23:25,
NP-935,Story,To Do,NP,OpenShift Network Plumbing,software,,12/03/2024 23:25,
NP-934,Story,To Do,NP,OpenShift Network Plumbing,software,,12/03/2024 23:25,
NP-933,Story,To Do,NP,OpenShift Network Plumbing,software,,12/03/2024 23:25,
NP-932,Story,To Do,NP,OpenShift Network Plumbing,software,,12/03/2024 23:25,
NP-931,Story,To Do,NP,OpenShift Network Plumbing,software,,12/03/2024 23:25,
NP-930,Story,To Do,NP,OpenShift Network Plumbing,software,,12/03/2024 23:23,
NP-929,Story,To Do,NP,OpenShift Network Plumbing,software,,12/03/2024 23:23,
NP-928,Story,To Do,NP,OpenShift Network Plumbing,software,,12/03/2024 23:23,
NP-927,Story,To Do,NP,OpenShift Network Plumbing,software,,12/03/2024 23:14,
NP-926,Story,To Do,NP,OpenShift Network Plumbing,software,,12/03/2024 23:14,
NP-925,Story,To Do,NP,OpenShift Network Plumbing,software,,12/03/2024 23:14,
NP-924,Story,To Do,NP,OpenShift Network Plumbing,software,,12/03/2024 23:13,
NP-923,Story,To Do,NP,OpenShift Network Plumbing,software,,12/03/2024 23:13,
NP-922,Story,To Do,NP,OpenShift Network Plumbing,software,,12/03/2024 23:13,
NP-921,Story,Closed,NP,OpenShift Network Plumbing,software,Done,29/02/2024 23:16,29/04/2024 12:12
NP-920,Story,Closed,NP,OpenShift Network Plumbing,software,Done,29/02/2024 23:16,29/04/2024 12:12
NP-919,Story,Closed,NP,OpenShift Network Plumbing,software,Done,29/02/2024 23:16,29/04/2024 12:12
NP-918,Story,Closed,NP,OpenShift Network Plumbing,software,Done,15/02/2024 16:51,02/07/2024 02:21
NP-917,Story,Closed,NP,OpenShift Network Plumbing,software,Obsolete,15/02/2024 16:51,29/04/2024 14:38
NP-916,Story,Closed,NP,OpenShift Network Plumbing,software,Done,15/02/2024 16:51,05/06/2024 11:39
NP-914,Story,Closed,NP,OpenShift Network Plumbing,software,Done,09/02/2024 09:13,02/04/2024 13:16
NP-913,Story,Closed,NP,OpenShift Network Plumbing,software,Duplicate,08/02/2024 11:48,26/03/2024 09:47
NP-912,Story,Closed,NP,OpenShift Network Plumbing,software,Done,07/02/2024 20:51,07/02/2024 20:51
NP-911,Story,To Do,NP,OpenShift Network Plumbing,software,,07/02/2024 20:50,
NP-910,Story,To Do,NP,OpenShift Network Plumbing,software,,07/02/2024 20:50,
NP-909,Story,To Do,NP,OpenShift Network Plumbing,software,,07/02/2024 20:49,
NP-908,Epic,New,NP,OpenShift Network Plumbing,software,,07/02/2024 20:47,
NP-905,Bug,Closed,NP,OpenShift Network Plumbing,software,Done,01/02/2024 15:09,08/02/2024 09:52
NP-904,Bug,Closed,NP,OpenShift Network Plumbing,software,Done,01/02/2024 09:16,08/02/2024 09:52
NP-903,Story,Closed,NP,OpenShift Network Plumbing,software,Done,26/01/2024 02:46,08/02/2024 09:52
NP-902,Story,Closed,NP,OpenShift Network Plumbing,software,Won't Do,24/01/2024 10:54,24/01/2024 12:29
NP-901,Story,Closed,NP,OpenShift Network Plumbing,software,Done,24/01/2024 09:32,21/06/2024 03:45
NP-900,Story,Closed,NP,OpenShift Network Plumbing,software,Obsolete,23/01/2024 23:13,05/02/2024 15:53
NP-899,Story,Closed,NP,OpenShift Network Plumbing,software,Obsolete,23/01/2024 23:13,05/02/2024 15:53
NP-898,Story,Closed,NP,OpenShift Network Plumbing,software,Obsolete,23/01/2024 23:13,05/02/2024 15:53
NP-897,Story,Closed,NP,OpenShift Network Plumbing,software,Obsolete,23/01/2024 23:13,29/04/2024 14:30
NP-896,Story,Closed,NP,OpenShift Network Plumbing,software,Done,23/01/2024 23:13,11/07/2024 14:51
NP-895,Story,Closed,NP,OpenShift Network Plumbing,software,Done,23/01/2024 23:13,13/06/2024 20:26
NP-894,Story,Closed,NP,OpenShift Network Plumbing,software,Done,23/01/2024 23:12,29/04/2024 14:33
NP-893,Story,Closed,NP,OpenShift Network Plumbing,software,Obsolete,23/01/2024 23:12,29/04/2024 14:32
NP-892,Story,Closed,NP,OpenShift Network Plumbing,software,Done,23/01/2024 23:12,29/04/2024 14:34
NP-891,Story,Closed,NP,OpenShift Network Plumbing,software,Done,23/01/2024 23:12,05/03/2024 20:37
NP-890,Story,Closed,NP,OpenShift Network Plumbing,software,Done,23/01/2024 23:12,05/03/2024 20:38
NP-889,Story,Closed,NP,OpenShift Network Plumbing,software,Done,23/01/2024 23:12,05/03/2024 20:32
NP-888,Epic,Closed,NP,OpenShift Network Plumbing,software,Done,23/01/2024 09:26,28/05/2024 07:50
NP-887,Epic,New,NP,OpenShift Network Plumbing,software,,22/01/2024 08:01,
NP-885,Story,To Do,NP,OpenShift Network Plumbing,software,,17/01/2024 09:30,
NP-884,Bug,To Do,NP,OpenShift Network Plumbing,software,,16/01/2024 14:52,
NP-883,Bug,Closed,NP,OpenShift Network Plumbing,software,Duplicate,16/01/2024 14:04,16/01/2024 14:05
NP-882,Bug,Closed,NP,OpenShift Network Plumbing,software,Duplicate,16/01/2024 14:02,16/01/2024 14:03
NP-881,Epic,Closed,NP,OpenShift Network Plumbing,software,Done,16/01/2024 11:37,01/08/2024 13:40
NP-880,Story,To Do,NP,OpenShift Network Plumbing,software,,15/01/2024 19:31,
NP-879,Story,To Do,NP,OpenShift Network Plumbing,software,,15/01/2024 19:30,
NP-878,Bug,Closed,NP,OpenShift Network Plumbing,software,Done,15/01/2024 10:49,19/01/2024 15:52
NP-877,Story,Closed,NP,OpenShift Network Plumbing,software,Done,11/01/2024 18:58,15/01/2024 10:49
NP-876,Story,To Do,NP,OpenShift Network Plumbing,software,,08/01/2024 20:29,
NP-875,Story,To Do,NP,OpenShift Network Plumbing,software,,03/01/2024 20:11,
NP-874,Story,Closed,NP,OpenShift Network Plumbing,software,Done,03/01/2024 08:48,06/02/2024 08:43
NP-873,Story,Closed,NP,OpenShift Network Plumbing,software,Done,23/12/2023 23:16,04/01/2024 21:10
NP-872,Story,Closed,NP,OpenShift Network Plumbing,software,Obsolete,23/12/2023 23:16,04/01/2024 21:10
NP-871,Story,Closed,NP,OpenShift Network Plumbing,software,Obsolete,23/12/2023 23:16,04/01/2024 21:10
NP-870,Story,To Do,NP,OpenShift Network Plumbing,software,,23/12/2023 23:13,
NP-869,Story,To Do,NP,OpenShift Network Plumbing,software,,23/12/2023 23:13,
NP-868,Story,To Do,NP,OpenShift Network Plumbing,software,,23/12/2023 23:13,
NP-867,Story,Closed,NP,OpenShift Network Plumbing,software,Obsolete,07/12/2023 23:21,16/12/2023 23:41
NP-866,Story,Closed,NP,OpenShift Network Plumbing,software,Obsolete,07/12/2023 23:21,16/12/2023 23:41
NP-865,Story,Closed,NP,OpenShift Network Plumbing,software,Obsolete,07/12/2023 23:21,16/12/2023 23:41
NP-864,Story,Closed,NP,OpenShift Network Plumbing,software,Done,07/12/2023 07:21,19/01/2024 15:44
NP-862,Story,To Do,NP,OpenShift Network Plumbing,software,,27/11/2023 21:19,
NP-861,Task,Closed,NP,OpenShift Network Plumbing,software,Obsolete,21/11/2023 14:10,02/01/2024 13:42
NP-860,Task,Closed,NP,OpenShift Network Plumbing,software,Done,21/11/2023 14:10,02/01/2024 13:41
NP-859,Task,Closed,NP,OpenShift Network Plumbing,software,Done,21/11/2023 14:09,15/12/2023 01:16
NP-858,Task,Closed,NP,OpenShift Network Plumbing,software,Obsolete,21/11/2023 14:08,12/12/2023 00:03
NP-857,Story,Closed,NP,OpenShift Network Plumbing,software,Obsolete,21/11/2023 06:52,07/02/2024 14:15
NP-856,Story,Closed,NP,OpenShift Network Plumbing,software,Done,21/11/2023 06:52,21/12/2023 13:28
NP-855,Story,Closed,NP,OpenShift Network Plumbing,software,Obsolete,21/11/2023 06:52,07/02/2024 14:16
NP-853,Task,Closed,NP,OpenShift Network Plumbing,software,Obsolete,10/11/2023 20:11,30/11/2023 15:07
NP-852,Task,Closed,NP,OpenShift Network Plumbing,software,Obsolete,10/11/2023 20:06,30/11/2023 15:07
NP-851,Task,Closed,NP,OpenShift Network Plumbing,software,Obsolete,10/11/2023 20:06,30/11/2023 15:07
NP-850,Task,Closed,NP,OpenShift Network Plumbing,software,Done,10/11/2023 20:05,26/04/2024 00:56
NP-849,Story,Closed,NP,OpenShift Network Plumbing,software,Done,26/10/2023 14:57,24/11/2023 06:56
NP-820,Story,Closed,NP,OpenShift Network Plumbing,software,Won't Do,23/10/2023 08:50,26/10/2023 14:54
NP-819,Epic,Closed,NP,OpenShift Network Plumbing,software,Done,28/06/2023 11:36,19/12/2023 14:36
NP-818,Story,To Do,NP,OpenShift Network Plumbing,software,,06/10/2023 18:34,
NP-817,Epic,In Progress,NP,OpenShift Network Plumbing,software,,05/10/2023 07:31,
NP-816,Epic,New,NP,OpenShift Network Plumbing,software,,05/10/2023 07:01,
NP-815,Story,To Do,NP,OpenShift Network Plumbing,software,,28/09/2023 17:31,
NP-805,Story,To Do,NP,OpenShift Network Plumbing,software,,31/08/2023 18:19,
NP-804,Epic,New,NP,OpenShift Network Plumbing,software,,06/09/2023 13:45,
NP-795,Epic,New,NP,OpenShift Network Plumbing,software,,16/08/2023 15:10,
NP-794,Story,Closed,NP,OpenShift Network Plumbing,software,Done,04/08/2023 09:03,30/08/2023 16:21
NP-793,Story,Closed,NP,OpenShift Network Plumbing,software,Done,04/08/2023 06:21,30/11/2023 07:38
NP-792,Story,To Do,NP,OpenShift Network Plumbing,software,,03/08/2023 07:23,
NP-791,Story,Closed,NP,OpenShift Network Plumbing,software,Done,03/08/2023 07:02,19/01/2024 15:39
NP-790,Epic,New,NP,OpenShift Network Plumbing,software,,02/08/2023 17:17,
NP-789,Story,To Do,NP,OpenShift Network Plumbing,software,,20/07/2023 16:04,
NP-786,Story,To Do,NP,OpenShift Network Plumbing,software,,08/07/2023 12:48,
NP-785,Story,Closed,NP,OpenShift Network Plumbing,software,Done,05/07/2023 20:40,05/07/2023 20:40
NP-784,Story,Closed,NP,OpenShift Network Plumbing,software,Done,05/07/2023 20:33,05/07/2023 20:38
NP-783,Story,Closed,NP,OpenShift Network Plumbing,software,Done,04/07/2023 05:54,04/07/2023 15:43
NP-782,Story,To Do,NP,OpenShift Network Plumbing,software,,04/07/2023 05:53,
NP-781,Story,To Do,NP,OpenShift Network Plumbing,software,,04/07/2023 05:53,
NP-780,Story,To Do,NP,OpenShift Network Plumbing,software,,04/07/2023 05:53,
NP-779,Epic,New,NP,OpenShift Network Plumbing,software,,28/06/2023 14:20,
NP-778,Story,Closed,NP,OpenShift Network Plumbing,software,Done,27/06/2023 20:22,29/04/2024 13:26
NP-777,Task,Closed,NP,OpenShift Network Plumbing,software,Done,21/06/2023 21:47,17/08/2023 15:16
NP-776,Task,Closed,NP,OpenShift Network Plumbing,software,Done,21/06/2023 21:46,17/08/2023 15:17
NP-775,Task,Closed,NP,OpenShift Network Plumbing,software,Done,21/06/2023 21:45,17/08/2023 15:12
NP-774,Story,To Do,NP,OpenShift Network Plumbing,software,,21/06/2023 20:59,
NP-773,Story,Closed,NP,OpenShift Network Plumbing,software,Done,21/06/2023 06:59,24/01/2024 09:25
NP-772,Spike,Closed,NP,OpenShift Network Plumbing,software,Done,21/06/2023 06:49,03/08/2023 06:55
NP-771,Story,Closed,NP,OpenShift Network Plumbing,software,Done,09/06/2023 03:09,09/06/2023 03:20
NP-770,Story,Closed,NP,OpenShift Network Plumbing,software,Done,06/06/2023 14:39,01/02/2024 04:52
NP-769,Story,Closed,NP,OpenShift Network Plumbing,software,Done,06/06/2023 14:37,06/06/2023 14:37
NP-768,Story,To Do,NP,OpenShift Network Plumbing,software,,31/05/2023 18:18,
NP-767,Task,Closed,NP,OpenShift Network Plumbing,software,Done,23/05/2023 14:45,24/10/2024 12:45
NP-766,Task,Closed,NP,OpenShift Network Plumbing,software,Done,23/05/2023 14:44,24/10/2024 12:45
NP-765,Task,Closed,NP,OpenShift Network Plumbing,software,Obsolete,23/05/2023 14:40,24/10/2024 12:44
NP-764,Story,Closed,NP,OpenShift Network Plumbing,software,Done,19/05/2023 08:48,28/06/2023 05:59
NP-763,Story,Closed,NP,OpenShift Network Plumbing,software,Done,19/05/2023 08:45,26/05/2023 14:46
