Key,ID,Project,IssueType,Status,Resolution,Created Date,Resolved Date
ALOY-1742,175635,ALOY,New Feature,Open,,12/10/2020 15:58,
ALOY-1741,175584,ALOY,Improvement,Resolved,Fixed,30/09/2020 10:58,30/09/2020 14:13
ALOY-1740,175552,ALOY,Bug,Open,,19/09/2020 18:13,
ALOY-1739,175492,ALOY,Story,Resolved,Done,30/08/2020 12:02,08/10/2020 10:08
ALOY-1738,175488,ALOY,Bug,Closed,Fixed,28/08/2020 08:56,14/09/2020 19:27
ALOY-1737,175428,ALOY,Improvement,Closed,Fixed,11/08/2020 20:11,12/08/2020 14:54
ALOY-1736,175421,ALOY,Bug,Closed,Fixed,07/08/2020 15:26,13/08/2020 15:39
ALOY-1735,175417,ALOY,Improvement,Closed,Fixed,07/08/2020 14:02,12/08/2020 16:40
ALOY-1734,175387,ALOY,Bug,Closed,Fixed,30/07/2020 21:48,11/08/2020 21:24
ALOY-1733,175344,ALOY,Improvement,Closed,Fixed,20/07/2020 10:56,12/08/2020 12:22
ALOY-1732,175070,ALOY,New Feature,Closed,Fixed,03/06/2020 03:55,12/08/2020 15:28
ALOY-1731,175065,ALOY,Bug,Open,,02/06/2020 19:12,
ALOY-1730,174886,ALOY,New Feature,Open,,06/04/2020 14:22,
ALOY-1729,153079,ALOY,Improvement,Open,,13/11/2015 14:40,
ALOY-1728,174873,ALOY,Bug,Open,,31/03/2020 09:55,
ALOY-1727,174797,ALOY,New Feature,Open,,10/03/2020 06:06,
ALOY-1726,174795,ALOY,Story,Open,,09/03/2020 11:42,
ALOY-1725,174786,ALOY,New Feature,In Review,,04/03/2020 13:22,
ALOY-1724,174755,ALOY,New Feature,Open,,20/02/2020 16:53,
ALOY-1723,174761,ALOY,Improvement,Open,,24/02/2020 23:00,
ALOY-1722,174760,ALOY,New Feature,Open,,24/02/2020 19:57,
ALOY-1721,174754,ALOY,Bug,Closed,Fixed,20/02/2020 16:25,25/02/2020 18:37
ALOY-1720,174743,ALOY,Bug,Closed,Fixed,15/02/2020 02:52,13/08/2020 16:36
ALOY-1718,166599,ALOY,Bug,Open,,14/03/2017 21:05,
ALOY-1717,168599,ALOY,Story,Open,,24/06/2017 13:22,
ALOY-1716,165607,ALOY,Improvement,Open,,31/01/2017 15:03,
ALOY-1715,162310,ALOY,Improvement,Open,,01/08/2016 13:42,
ALOY-1714,174666,ALOY,New Feature,Open,,23/01/2020 17:25,
ALOY-1713,174585,ALOY,New Feature,Closed,Duplicate,17/12/2019 23:58,18/12/2019 15:10
ALOY-1712,174499,ALOY,Bug,Open,,01/12/2019 05:04,
ALOY-1711,174440,ALOY,Improvement,Open,,18/11/2019 19:17,
ALOY-1710,174436,ALOY,Bug,Closed,Fixed,18/11/2019 14:33,18/11/2019 18:02
ALOY-1709,159618,ALOY,Bug,Open,,16/04/2016 16:35,
ALOY-1708,174331,ALOY,Bug,Open,,31/10/2019 21:48,
ALOY-1707,174246,ALOY,Bug,Resolved,Not Our Bug,11/10/2019 06:42,07/11/2019 22:17
ALOY-1706,174205,ALOY,Bug,Closed,Fixed,01/10/2019 22:42,19/11/2019 13:59
ALOY-1705,174169,ALOY,Bug,Closed,Fixed,24/09/2019 14:43,19/11/2019 11:18
ALOY-1704,174154,ALOY,New Feature,Open,,20/09/2019 14:46,
ALOY-1703,174082,ALOY,Bug,Closed,Won't Fix,30/08/2019 16:55,04/09/2019 21:42
ALOY-1702,174044,ALOY,Improvement,Open,,22/08/2019 10:37,
ALOY-1701,174033,ALOY,Bug,Closed,Fixed,20/08/2019 14:52,19/11/2019 11:30
ALOY-1700,173983,ALOY,New Feature,Open,,06/08/2019 19:17,
ALOY-1699,173982,ALOY,New Feature,Open,,06/08/2019 19:15,
ALOY-1698,173921,ALOY,Bug,Closed,Fixed,22/07/2019 15:48,20/08/2019 22:48
ALOY-1697,173874,ALOY,Improvement,Closed,Fixed,12/07/2019 00:54,16/08/2019 19:32
ALOY-1696,173850,ALOY,Bug,Open,,08/07/2019 18:27,
ALOY-1694,173803,ALOY,Bug,Open,,24/06/2019 18:40,
ALOY-1693,173793,ALOY,Improvement,Closed,Fixed,20/06/2019 23:50,19/11/2019 15:14
ALOY-1692,170933,ALOY,Bug,Open,,25/01/2018 11:41,
ALOY-1691,173735,ALOY,Bug,Closed,Fixed,07/06/2019 16:48,21/06/2019 20:11
ALOY-1690,173670,ALOY,Bug,Closed,Fixed,24/05/2019 13:22,20/06/2019 20:13
ALOY-1689,173666,ALOY,Improvement,Open,,24/05/2019 03:06,
ALOY-1688,173450,ALOY,Bug,Closed,Not Our Bug,09/04/2019 14:12,19/06/2019 13:14
ALOY-1687,167868,ALOY,Bug,Open,,23/05/2017 17:18,
ALOY-1686,173578,ALOY,Bug,Closed,Fixed,02/05/2019 10:27,16/05/2019 14:38
ALOY-1685,173579,ALOY,Improvement,Open,,02/05/2019 15:25,
ALOY-1684,173561,ALOY,Bug,Closed,Fixed,30/04/2019 14:26,19/06/2019 15:21
ALOY-1683,173420,ALOY,Improvement,Closed,Fixed,01/04/2019 07:33,19/06/2019 15:43
ALOY-1682,173419,ALOY,Improvement,Closed,Fixed,01/04/2019 07:27,20/06/2019 14:21
ALOY-1681,173345,ALOY,Bug,Closed,Duplicate,27/03/2019 18:48,27/03/2019 20:09
ALOY-1680,173344,ALOY,Bug,Closed,Duplicate,27/03/2019 18:47,27/03/2019 20:10
ALOY-1679,173343,ALOY,Bug,Closed,Duplicate,27/03/2019 18:47,27/03/2019 20:10
ALOY-1678,173342,ALOY,Bug,Closed,Duplicate,27/03/2019 18:47,27/03/2019 20:10
ALOY-1677,173341,ALOY,Bug,Closed,Duplicate,27/03/2019 18:47,27/03/2019 20:10
ALOY-1676,173340,ALOY,Bug,Closed,Duplicate,27/03/2019 18:46,27/03/2019 20:10
ALOY-1675,173339,ALOY,Bug,Closed,Duplicate,27/03/2019 18:46,27/03/2019 20:10
ALOY-1674,173338,ALOY,Bug,Closed,Duplicate,27/03/2019 18:46,27/03/2019 20:10
ALOY-1673,173337,ALOY,Bug,Closed,Duplicate,27/03/2019 18:46,27/03/2019 20:10
ALOY-1672,173336,ALOY,Bug,Closed,Duplicate,27/03/2019 18:45,27/03/2019 20:10
ALOY-1671,173335,ALOY,Bug,Closed,Duplicate,27/03/2019 18:45,27/03/2019 20:10
ALOY-1670,173334,ALOY,Bug,Closed,Duplicate,27/03/2019 18:45,27/03/2019 20:10
ALOY-1669,173333,ALOY,Bug,Closed,Duplicate,27/03/2019 18:45,27/03/2019 20:10
ALOY-1668,173332,ALOY,Bug,Closed,Duplicate,27/03/2019 18:45,27/03/2019 20:11
ALOY-1667,173331,ALOY,Bug,Closed,Duplicate,27/03/2019 18:44,27/03/2019 20:11
ALOY-1666,173330,ALOY,Bug,Closed,Duplicate,27/03/2019 18:44,27/03/2019 20:11
ALOY-1665,173329,ALOY,Bug,Closed,Duplicate,27/03/2019 18:44,27/03/2019 20:11
ALOY-1664,173328,ALOY,Bug,Closed,Duplicate,27/03/2019 18:44,27/03/2019 20:11
ALOY-1663,173327,ALOY,Bug,Closed,Duplicate,27/03/2019 18:44,27/03/2019 20:08
ALOY-1662,173326,ALOY,Bug,Closed,Duplicate,27/03/2019 18:44,27/03/2019 20:08
ALOY-1661,173325,ALOY,Bug,Closed,Duplicate,27/03/2019 18:43,27/03/2019 20:08
ALOY-1660,173324,ALOY,Bug,Closed,Duplicate,27/03/2019 18:43,27/03/2019 20:08
ALOY-1659,173323,ALOY,Bug,Closed,Duplicate,27/03/2019 18:42,27/03/2019 20:09
ALOY-1658,173322,ALOY,Bug,Closed,Duplicate,27/03/2019 18:42,27/03/2019 20:09
ALOY-1657,173321,ALOY,Bug,Closed,Duplicate,27/03/2019 18:42,27/03/2019 20:09
ALOY-1656,173320,ALOY,Bug,Closed,Duplicate,27/03/2019 18:42,27/03/2019 20:09
ALOY-1655,173319,ALOY,Bug,Closed,Duplicate,27/03/2019 18:41,27/03/2019 20:09
ALOY-1654,173318,ALOY,Bug,Closed,Duplicate,27/03/2019 18:41,27/03/2019 20:09
ALOY-1653,173220,ALOY,Bug,Closed,Fixed,20/03/2019 17:34,19/06/2019 15:49
ALOY-1652,173130,ALOY,Improvement,Closed,Fixed,14/03/2019 17:47,19/06/2019 16:22
ALOY-1651,173128,ALOY,Improvement,Open,,14/03/2019 15:37,
ALOY-1650,173122,ALOY,Bug,Closed,Fixed,13/03/2019 13:58,14/03/2019 14:52
ALOY-1649,173119,ALOY,Bug,Open,,12/03/2019 11:41,
ALOY-1648,173097,ALOY,Improvement,Closed,Fixed,07/03/2019 11:49,19/06/2019 23:30
ALOY-1647,173096,ALOY,New Feature,Resolved,Won't Do,06/03/2019 23:51,15/03/2019 18:03
ALOY-1646,173095,ALOY,New Feature,Closed,Fixed,06/03/2019 23:34,19/06/2019 23:58
ALOY-1645,173083,ALOY,Story,Open,,05/03/2019 15:23,
ALOY-1644,172985,ALOY,Bug,Closed,Fixed,11/02/2019 11:54,12/02/2019 11:16
ALOY-1643,172878,ALOY,Bug,Open,,16/01/2019 10:21,
ALOY-1642,172872,ALOY,Story,Open,,15/01/2019 20:49,
ALOY-1641,172871,ALOY,Bug,Closed,Fixed,15/01/2019 20:39,15/01/2019 20:44
ALOY-1640,172784,ALOY,Improvement,Closed,Fixed,21/12/2018 03:15,15/01/2019 18:04
ALOY-1639,172691,ALOY,Improvement,Closed,Fixed,03/12/2018 12:23,10/01/2019 22:12
ALOY-1638,172641,ALOY,Bug,Closed,Fixed,17/11/2018 15:28,11/01/2019 18:52
ALOY-1637,172562,ALOY,Bug,Closed,Fixed,06/11/2018 09:08,11/01/2019 11:51
ALOY-1636,172542,ALOY,Bug,Resolved,Fixed,02/11/2018 13:42,02/11/2018 20:25
ALOY-1633,172362,ALOY,Bug,Closed,Fixed,27/09/2018 16:53,21/11/2019 14:01
ALOY-1632,172359,ALOY,New Feature,Closed,Fixed,27/09/2018 09:05,21/06/2019 18:31
ALOY-1631,172242,ALOY,Improvement,Closed,Fixed,19/09/2018 12:42,01/11/2018 18:59
ALOY-1630,172210,ALOY,Improvement,Resolved,Fixed,11/09/2018 16:52,14/09/2018 12:35
ALOY-1629,172198,ALOY,Improvement,Closed,Fixed,10/09/2018 10:46,19/06/2019 18:54
ALOY-1627,150692,ALOY,Bug,Closed,Fixed,25/08/2015 23:40,01/11/2018 18:59
ALOY-1626,172144,ALOY,Bug,Closed,Fixed,29/08/2018 09:38,01/11/2018 18:58
ALOY-1625,172074,ALOY,Improvement,Closed,Fixed,16/08/2018 14:48,17/08/2018 17:39
ALOY-1624,171924,ALOY,Bug,Open,,12/07/2018 18:17,
ALOY-1623,171761,ALOY,Bug,Open,,07/06/2018 17:02,
ALOY-1622,171792,ALOY,Bug,Resolved,Fixed,14/06/2018 10:06,18/07/2018 22:44
ALOY-1621,171787,ALOY,Improvement,Resolved,Fixed,12/06/2018 19:33,02/11/2018 20:26
ALOY-1620,171720,ALOY,Bug,Closed,Fixed,31/05/2018 11:19,01/11/2018 18:58
ALOY-1619,171629,ALOY,Sub-task,In Progress,,08/05/2018 20:57,
ALOY-1618,171244,ALOY,Improvement,In Progress,,06/03/2018 06:23,
ALOY-1617,171611,ALOY,Bug,Resolved,Won't Fix,03/05/2018 21:35,09/05/2018 15:19
ALOY-1615,171571,ALOY,Improvement,Closed,Fixed,26/04/2018 11:18,01/11/2018 18:57
ALOY-1613,171555,ALOY,Bug,Resolved,Cannot Reproduce,22/04/2018 15:11,06/09/2018 23:13
ALOY-1612,171402,ALOY,Improvement,Closed,Fixed,26/03/2018 10:35,13/07/2019 00:23
ALOY-1611,171365,ALOY,Story,Resolved,Done,21/03/2018 15:49,21/03/2018 17:17
ALOY-1610,171280,ALOY,New Feature,Open,,09/03/2018 09:33,
ALOY-1609,171253,ALOY,Improvement,Closed,Fixed,07/03/2018 13:01,07/03/2018 18:42
ALOY-1608,171240,ALOY,Bug,Open,,05/03/2018 17:25,
ALOY-1607,171222,ALOY,Bug,Closed,Fixed,01/03/2018 13:36,05/03/2018 18:23
ALOY-1606,170643,ALOY,Bug,Closed,Fixed,18/12/2017 20:18,29/03/2018 16:35
ALOY-1605,171101,ALOY,Bug,Closed,Fixed,13/02/2018 16:55,05/03/2018 11:24
ALOY-1604,171066,ALOY,Bug,Closed,Not Our Bug,08/02/2018 17:07,05/03/2018 21:48
ALOY-1603,171040,ALOY,Improvement,Closed,Fixed,06/02/2018 15:30,29/03/2018 10:57
ALOY-1602,171014,ALOY,Improvement,Closed,Fixed,01/02/2018 15:36,07/02/2018 00:23
ALOY-1600,170819,ALOY,Improvement,Open,,17/01/2018 23:02,
ALOY-1599,170774,ALOY,Bug,Closed,Fixed,11/01/2018 11:21,16/01/2018 23:34
ALOY-1598,170748,ALOY,Bug,Closed,Fixed,08/01/2018 20:58,19/11/2019 15:24
ALOY-1597,170659,ALOY,Improvement,Closed,Fixed,20/12/2017 11:00,08/01/2018 18:17
ALOY-1596,170654,ALOY,Bug,Closed,Fixed,19/12/2017 14:51,05/01/2018 17:24
ALOY-1595,170624,ALOY,Bug,Closed,Fixed,14/12/2017 12:10,30/01/2018 16:46
ALOY-1593,170503,ALOY,Bug,Resolved,Fixed,30/11/2017 10:24,07/12/2017 20:56
ALOY-1592,170558,ALOY,Improvement,Closed,Fixed,07/12/2017 12:31,04/01/2018 22:14
ALOY-1591,170557,ALOY,New Feature,Resolved,Duplicate,07/12/2017 11:22,21/02/2018 19:39
ALOY-1590,170246,ALOY,Bug,Closed,Fixed,07/11/2017 17:36,09/11/2017 22:39
ALOY-1589,169876,ALOY,Bug,Closed,Cannot Reproduce,24/09/2017 07:05,20/11/2017 18:39
ALOY-1588,170165,ALOY,Bug,Closed,Cannot Reproduce,28/10/2017 18:02,09/11/2017 20:54
ALOY-1584,169989,ALOY,Bug,Closed,Fixed,11/10/2017 05:23,06/11/2017 19:16
ALOY-1583,169925,ALOY,Improvement,Resolved,Duplicate,28/09/2017 10:00,07/12/2017 11:17
ALOY-1582,169858,ALOY,Bug,Closed,Fixed,21/09/2017 14:03,22/09/2017 00:14
ALOY-1579,169672,ALOY,New Feature,Resolved,Fixed,30/08/2017 19:17,12/09/2017 23:32
ALOY-1578,169670,ALOY,Improvement,Resolved,Fixed,30/08/2017 18:35,11/09/2017 18:44
ALOY-1577,159499,ALOY,Bug,Open,,12/04/2016 15:46,
ALOY-1575,169644,ALOY,Improvement,Closed,Invalid,27/08/2017 17:54,30/08/2017 19:00
ALOY-1574,169246,ALOY,Bug,Resolved,Fixed,02/08/2017 16:54,21/09/2017 02:00
ALOY-1572,168579,ALOY,Bug,Closed,Fixed,23/06/2017 13:32,10/07/2017 23:40
ALOY-1570,168517,ALOY,Bug,Closed,Fixed,20/06/2017 13:58,22/06/2017 19:18
ALOY-1569,168405,ALOY,Bug,Closed,Fixed,14/06/2017 21:45,20/06/2017 21:03
ALOY-1566,167950,ALOY,Bug,Closed,Fixed,26/05/2017 14:34,30/05/2017 19:43
ALOY-1565,167919,ALOY,Bug,Closed,Fixed,25/05/2017 19:07,25/05/2017 21:59
ALOY-1564,167833,ALOY,Bug,Resolved,Fixed,22/05/2017 13:35,17/08/2017 04:33
ALOY-1562,167208,ALOY,Bug,Closed,Invalid,20/04/2017 13:02,09/05/2017 18:53
ALOY-1560,167248,ALOY,Bug,Open,,23/04/2017 10:59,
ALOY-1558,167181,ALOY,Bug,Closed,Invalid,19/04/2017 04:00,19/04/2017 16:53
ALOY-1557,167161,ALOY,Improvement,Closed,Fixed,18/04/2017 12:11,04/01/2018 20:27
ALOY-1555,167121,ALOY,Story,Closed,Done,16/04/2017 09:48,18/10/2019 17:14
ALOY-1554,167065,ALOY,Bug,Closed,Invalid,12/04/2017 05:39,17/04/2017 22:45
ALOY-1550,166781,ALOY,Bug,Resolved,Fixed,24/03/2017 17:22,24/03/2017 18:51
ALOY-1549,165817,ALOY,Improvement,Open,,07/02/2017 13:09,
ALOY-1548,166590,ALOY,Bug,Closed,Invalid,14/03/2017 05:43,10/04/2017 05:02
ALOY-1547,166589,ALOY,New Feature,Open,,14/03/2017 02:49,
ALOY-1546,166569,ALOY,Story,Closed,Fixed,12/03/2017 17:25,04/12/2018 15:27
ALOY-1545,166413,ALOY,Bug,Resolved,Fixed,03/03/2017 18:13,09/04/2017 06:33
ALOY-1544,166324,ALOY,Improvement,Resolved,Fixed,25/02/2017 01:52,27/02/2017 02:15
ALOY-1543,166322,ALOY,Improvement,Resolved,Fixed,25/02/2017 00:55,25/02/2017 01:02
ALOY-1541,165729,ALOY,Bug,Resolved,Fixed,02/02/2017 10:17,16/02/2017 09:10
ALOY-1540,165606,ALOY,Bug,Reopened,,31/01/2017 14:07,
ALOY-1539,165493,ALOY,Bug,Resolved,Duplicate,27/01/2017 16:26,28/01/2017 02:16
ALOY-1538,162897,ALOY,Bug,Resolved,Duplicate,31/08/2016 03:08,27/01/2017 10:55
