Key,ID,Project,IssueType,Status,Resolution,Created Date,Resolved Date
AMBARI-328,372684,AMBARI,Bug,Open,,19/05/2012 07:34,
AMBARI-327,372685,AMBARI,Bug,Resolved,Fixed,19/05/2012 07:31,02/06/2012 08:41
AMBARI-326,372686,AMBARI,Bug,Resolved,Fixed,19/05/2012 07:13,02/06/2012 08:39
AMBARI-318,372694,AMBARI,Bug,Resolved,Fixed,19/05/2012 05:43,02/06/2012 08:28
AMBARI-317,372695,AMBARI,Bug,Resolved,Fixed,19/05/2012 04:43,06/06/2012 06:50
AMBARI-316,372696,AMBARI,Bug,Resolved,Fixed,19/05/2012 04:33,06/06/2012 05:46
AMBARI-74,372938,AMBARI,Bug,Resolved,Fixed,15/10/2011 00:15,15/10/2011 01:58
AMBARI-73,372939,AMBARI,Bug,Resolved,Invalid,14/10/2011 14:48,21/06/2012 10:14
AMBARI-72,372940,AMBARI,Bug,Resolved,Invalid,14/10/2011 13:18,21/06/2012 10:14
AMBARI-44,372968,AMBARI,Improvement,Resolved,Fixed,07/10/2011 09:26,08/10/2011 04:53
AMBARI-42,372970,AMBARI,Bug,Resolved,Invalid,07/10/2011 04:04,21/06/2012 10:14
AMBARI-40,372972,AMBARI,Improvement,Resolved,Invalid,06/10/2011 07:32,21/06/2012 10:14
AMBARI-3,373009,AMBARI,Task,Resolved,Fixed,23/09/2011 07:06,23/09/2011 07:08
AMBARI-3970,369045,AMBARI,Bug,Resolved,Fixed,04/12/2013 22:05,04/12/2013 22:14
AMBARI-3358,369657,AMBARI,Task,Resolved,Fixed,27/09/2013 20:47,27/09/2013 21:05
AMBARI-3357,369658,AMBARI,Task,Resolved,Fixed,27/09/2013 19:31,27/09/2013 19:36
AMBARI-3356,369659,AMBARI,Bug,Resolved,Fixed,27/09/2013 06:19,27/09/2013 06:52
AMBARI-3339,369676,AMBARI,Bug,Resolved,Fixed,26/09/2013 01:09,26/09/2013 01:32
AMBARI-3338,369677,AMBARI,Bug,Resolved,Fixed,26/09/2013 01:01,26/09/2013 01:25
AMBARI-3144,369870,AMBARI,Task,Resolved,Fixed,09/09/2013 19:57,09/09/2013 20:54
