Key,ID,Project,IssueType,Status,Resolution,Created Date,Resolved Date
IBATISNET-193,186808,IBATISNET,New Feature,Closed,Fixed,03/11/2006 04:42,10/11/2006 04:05
IBATISNET-192,186809,IBATISNET,New Feature,Closed,Fixed,01/11/2006 02:28,01/11/2006 02:50
IBATISNET-162,186839,IBATISNET,New Feature,Closed,Fixed,07/06/2006 09:57,07/06/2006 10:02
IBATISNET-161,186840,IBATISNET,Improvement,Closed,Fixed,07/06/2006 09:49,07/06/2006 09:51
IBATISNET-191,186810,IBATISNET,Bug,Closed,Fixed,31/10/2006 03:28,31/10/2006 03:33
IBATISNET-112,186889,IBATISNET,Improvement,Closed,Fixed,14/09/2005 10:13,14/09/2005 10:18
IBATISNET-228,186773,IBATISNET,Bug,Open,,08/06/2007 23:03,
IBATISNET-238,186763,IBATISNET,Wish,Closed,Won't Fix,07/09/2007 13:05,05/01/2008 23:45
IBATISNET-225,186776,IBATISNET,Bug,Open,,18/05/2007 22:11,
IBATISNET-189,186812,IBATISNET,Bug,Closed,Fixed,26/10/2006 00:26,15/11/2006 02:33
IBATISNET-276,186725,IBATISNET,New Feature,Closed,Fixed,29/06/2008 00:55,29/06/2008 01:20
IBATISNET-267,186734,IBATISNET,Improvement,Closed,Fixed,31/05/2008 21:39,31/05/2008 21:54
IBATISNET-266,186735,IBATISNET,New Feature,Closed,Fixed,31/05/2008 15:18,31/05/2008 15:27
IBATISNET-265,186736,IBATISNET,Bug,Open,,20/05/2008 02:17,
IBATISNET-301,186700,IBATISNET,Bug,Open,,06/02/2010 10:42,
IBATISNET-300,186701,IBATISNET,Improvement,Open,,01/02/2010 13:59,
IBATISNET-299,186702,IBATISNET,Bug,Open,,27/01/2010 12:03,
IBATISNET-298,186703,IBATISNET,Improvement,Open,,24/11/2009 16:59,
IBATISNET-297,186704,IBATISNET,Bug,Open,,24/11/2009 16:46,
IBATISNET-296,186705,IBATISNET,Wish,Open,,05/11/2009 23:23,
IBATISNET-295,186706,IBATISNET,Bug,Open,,22/09/2009 20:52,
IBATISNET-188,186813,IBATISNET,Bug,Closed,Fixed,24/10/2006 01:56,24/10/2006 01:56
IBATISNET-294,186707,IBATISNET,Bug,Open,,21/09/2009 17:12,
IBATISNET-293,186708,IBATISNET,Improvement,In Progress,,19/08/2009 21:52,
IBATISNET-292,186709,IBATISNET,Improvement,Open,,24/04/2009 16:05,
IBATISNET-291,186710,IBATISNET,Bug,Open,,02/04/2009 22:04,
IBATISNET-290,186711,IBATISNET,Bug,Open,,23/12/2008 19:14,
