Key,ID,Project,IssueType,Status,Resolution,Created Date,Resolved Date
MPOM-46,141507,MPOM,Bug,Closed,Fixed,01/07/2013 05:31,01/07/2013 13:34
MPOM-45,141508,MPOM,Improvement,Closed,Invalid,26/06/2013 00:33,26/06/2013 07:57
MPOM-44,141509,MPOM,Bug,Open,,18/06/2013 22:56,
MPOM-43,141510,MPOM,Improvement,Closed,Fixed,21/05/2013 04:21,25/05/2013 08:40
MPOM-42,141511,MPOM,Improvement,Resolved,Fixed,13/05/2013 05:46,25/05/2013 08:41
MPOM-41,141512,MPOM,Improvement,Resolved,Fixed,13/05/2013 05:34,25/05/2013 08:41
MPOM-40,141513,MPOM,Improvement,Open,,08/05/2013 16:31,
MPOM-39,141514,MPOM,Bug,Closed,Fixed,28/11/2012 09:47,28/11/2012 09:58
MPOM-38,141515,MPOM,New Feature,Resolved,Fixed,26/10/2012 00:32,28/10/2012 05:03
MPOM-36,141516,MPOM,Improvement,Closed,Fixed,24/05/2012 22:51,25/05/2013 08:48
MPOM-35,141517,MPOM,Bug,Resolved,Fixed,31/12/2011 05:59,16/03/2012 10:10
MPOM-34,141518,MPOM,Bug,Closed,Invalid,03/12/2011 23:08,05/12/2011 06:48
MPOM-33,141519,MPOM,Bug,Closed,Invalid,20/09/2011 19:21,21/09/2011 02:48
MPOM-32,141520,MPOM,Bug,Closed,Fixed,11/09/2011 01:09,08/01/2013 01:05
MPOM-27,141521,MPOM,Improvement,Closed,Fixed,31/08/2011 06:46,31/08/2011 06:57
MPOM-26,141522,MPOM,Improvement,Closed,Fixed,16/08/2011 04:54,16/08/2011 04:54
MPOM-25,141523,MPOM,New Feature,Closed,Fixed,08/07/2011 03:29,16/08/2011 04:52
MPOM-24,141524,MPOM,Wish,Closed,Fixed,05/07/2011 05:39,05/07/2011 05:40
MPOM-23,141525,MPOM,Wish,Closed,Fixed,03/07/2011 17:20,04/07/2011 06:03
MPOM-21,141526,MPOM,Wish,Closed,Fixed,03/07/2011 01:04,04/07/2011 06:40
MPOM-20,141527,MPOM,Improvement,Closed,Fixed,29/06/2011 05:56,04/07/2011 06:07
MPOM-19,141528,MPOM,Bug,Resolved,Fixed,27/06/2011 17:55,27/06/2011 18:00
MPOM-18,141529,MPOM,Improvement,Closed,Fixed,27/06/2011 06:41,27/06/2011 06:42
MPOM-17,141530,MPOM,Improvement,Closed,Fixed,27/06/2011 06:03,16/08/2011 04:57
MPOM-16,141531,MPOM,Wish,Closed,Fixed,26/06/2011 05:10,26/06/2011 05:49
MPOM-15,141532,MPOM,Improvement,Closed,Fixed,21/06/2011 07:19,16/08/2011 04:51
MPOM-14,141533,MPOM,Improvement,Closed,Fixed,21/06/2011 07:11,16/08/2011 04:52
MPOM-13,141534,MPOM,Bug,Closed,Fixed,21/06/2011 06:31,16/08/2011 04:50
MPOM-12,141535,MPOM,Improvement,Closed,Fixed,15/06/2011 10:41,15/06/2011 10:43
MPOM-11,141536,MPOM,Improvement,Resolved,Fixed,05/06/2011 05:37,05/06/2011 05:38
MPOM-9,141537,MPOM,Bug,Reopened,,26/04/2011 08:10,
