Key,ID,Project,IssueType,Status,Resolution,Created Date,Resolved Date
NET-194,136981,NET,Bug,Closed,Fixed,04/03/2008 10:42,17/05/2008 07:09
NET-395,136781,NET,Improvement,Closed,Fixed,28/03/2011 09:49,29/03/2011 07:41
NET-483,136696,NET,Bug,Closed,Fixed,06/10/2012 23:11,06/10/2012 23:26
NET-520,136659,NET,Bug,Open,,07/12/2013 08:22,
NET-519,136660,NET,Bug,Resolved,Fixed,22/11/2013 08:58,07/12/2013 06:21
NET-518,136661,NET,Bug,Resolved,Fixed,08/10/2013 18:33,07/12/2013 04:47
NET-517,136662,NET,Bug,Resolved,Fixed,08/10/2013 18:29,07/12/2013 06:18
NET-516,136663,NET,Bug,Open,,20/09/2013 14:59,
NET-482,136697,NET,Improvement,Closed,Fixed,06/10/2012 09:23,10/10/2012 06:04
NET-515,136664,NET,Task,Resolved,Fixed,02/09/2013 22:16,07/12/2013 08:14
NET-514,136665,NET,Bug,Resolved,Fixed,31/07/2013 08:03,31/07/2013 08:43
NET-513,136666,NET,Bug,Resolved,Invalid,20/07/2013 05:23,07/12/2013 03:53
NET-512,136667,NET,Bug,Resolved,Fixed,07/07/2013 22:16,07/12/2013 06:12
NET-511,136668,NET,Bug,Resolved,Fixed,22/06/2013 00:12,06/12/2013 23:45
NET-510,136669,NET,Bug,Open,,20/06/2013 04:48,
NET-509,136670,NET,Bug,Closed,Fixed,08/06/2013 01:38,08/06/2013 06:04
NET-508,136671,NET,Improvement,Open,,04/06/2013 18:10,
NET-507,136672,NET,Improvement,Closed,Fixed,17/04/2013 20:45,18/04/2013 03:47
NET-506,136673,NET,Bug,Open,,04/04/2013 18:24,
NET-505,136674,NET,Bug,Closed,Fixed,15/03/2013 21:07,06/06/2013 17:04
NET-504,136675,NET,Bug,Closed,Invalid,05/03/2013 17:27,05/03/2013 19:20
NET-503,136676,NET,Bug,Closed,Fixed,20/02/2013 18:16,20/02/2013 19:07
NET-502,136677,NET,Bug,Closed,Duplicate,12/02/2013 01:39,12/02/2013 03:02
NET-501,136678,NET,Bug,Closed,Fixed,08/02/2013 06:07,06/06/2013 19:33
NET-500,136679,NET,Improvement,Closed,Fixed,03/02/2013 19:05,18/04/2013 06:21
NET-481,136698,NET,Improvement,Open,,26/09/2012 06:21,
NET-480,136699,NET,Bug,Closed,Fixed,11/09/2012 19:08,23/01/2013 08:36
NET-499,136680,NET,Bug,Closed,Fixed,02/02/2013 13:54,18/04/2013 04:05
NET-498,136681,NET,Bug,Closed,Incomplete,02/02/2013 04:07,18/04/2013 06:22
NET-497,136682,NET,Bug,Closed,Not A Problem,26/01/2013 07:08,29/01/2013 09:33
NET-496,136683,NET,Improvement,Closed,Fixed,24/01/2013 03:40,24/01/2013 03:48
NET-495,136684,NET,Bug,Closed,Fixed,10/01/2013 22:04,18/04/2013 06:16
NET-494,136685,NET,Bug,Closed,Fixed,09/01/2013 20:35,09/01/2013 21:05
NET-493,136686,NET,Bug,Closed,Duplicate,12/12/2012 21:20,24/01/2013 08:36
NET-492,136687,NET,Bug,Closed,Fixed,12/12/2012 17:09,23/01/2013 08:56
NET-491,136688,NET,Improvement,Open,,08/12/2012 02:42,
NET-490,136689,NET,Bug,Closed,Cannot Reproduce,05/12/2012 11:17,08/12/2012 10:16
NET-489,136690,NET,Bug,Closed,Invalid,20/11/2012 05:03,09/01/2013 20:50
NET-488,136691,NET,Bug,Closed,Cannot Reproduce,09/11/2012 02:22,18/04/2013 06:17
NET-487,136692,NET,Bug,Closed,Fixed,02/11/2012 13:40,09/01/2013 20:40
NET-486,136693,NET,Bug,Closed,Invalid,11/10/2012 19:28,11/10/2012 19:44
NET-485,136694,NET,Bug,Closed,Fixed,10/10/2012 06:10,10/10/2012 06:16
NET-484,136695,NET,Improvement,Closed,Fixed,06/10/2012 23:43,06/10/2012 23:46
NET-447,136730,NET,Bug,Closed,Cannot Reproduce,02/03/2012 15:12,24/03/2012 01:59
NET-479,136700,NET,Bug,Closed,Not A Problem,04/09/2012 19:49,06/10/2012 02:14
NET-478,136701,NET,Wish,Open,,23/08/2012 03:23,
NET-477,136702,NET,Bug,Open,,21/08/2012 05:17,
NET-476,136703,NET,Bug,Closed,Invalid,24/07/2012 16:12,26/07/2012 16:57
NET-475,136704,NET,Bug,Closed,Fixed,13/07/2012 15:00,14/07/2012 19:15
NET-474,136705,NET,Bug,Closed,Won't Fix,10/07/2012 03:34,11/07/2012 01:01
