Key,ID,Project,IssueType,Status,Resolution,Created Date,Resolved Date
RAMPART-248,101991,RAMPART,Improvement,Closed,Fixed,29/08/2009 03:30,02/09/2009 01:08
RAMPART-408,101834,RAMPART,Bug,Open,,08/10/2013 00:31,
RAMPART-406,101835,RAMPART,Improvement,Open,,12/09/2013 23:07,
RAMPART-405,101836,RAMPART,Bug,Open,,02/09/2013 15:04,
RAMPART-404,101837,RAMPART,Improvement,Open,,24/07/2013 13:38,
RAMPART-403,101838,RAMPART,Bug,Open,,17/07/2013 14:00,
RAMPART-402,101839,RAMPART,Bug,Open,,24/03/2013 11:24,
RAMPART-401,101840,RAMPART,Improvement,Open,,18/03/2013 12:44,
RAMPART-400,101841,RAMPART,Bug,Resolved,Fixed,05/03/2013 13:57,14/03/2013 02:25
RAMPART-399,101842,RAMPART,Improvement,Resolved,Fixed,06/01/2013 18:37,02/09/2013 21:46
RAMPART-398,101843,RAMPART,Bug,Open,,26/11/2012 20:23,
RAMPART-397,101844,RAMPART,Bug,Open,,04/11/2012 08:40,
RAMPART-396,101845,RAMPART,Bug,Open,,27/10/2012 00:50,
RAMPART-395,101846,RAMPART,Question,Resolved,Fixed,19/10/2012 19:24,30/10/2012 22:50
RAMPART-355,101886,RAMPART,Improvement,Resolved,Fixed,03/01/2012 15:49,04/02/2012 03:30
RAMPART-394,101847,RAMPART,Bug,Open,,11/10/2012 20:48,
RAMPART-393,101848,RAMPART,Bug,Resolved,Fixed,29/09/2012 04:46,01/10/2012 03:03
RAMPART-392,101849,RAMPART,Bug,Resolved,Fixed,23/09/2012 19:40,14/11/2012 21:08
RAMPART-391,101850,RAMPART,Improvement,Open,,20/09/2012 16:14,
RAMPART-390,101851,RAMPART,Bug,Open,,19/09/2012 21:26,
RAMPART-389,101852,RAMPART,Bug,Open,,18/09/2012 19:11,
RAMPART-388,101853,RAMPART,Bug,Open,,18/09/2012 16:32,
RAMPART-387,101854,RAMPART,Bug,Open,,09/09/2012 07:36,
RAMPART-386,101855,RAMPART,Improvement,Open,,08/08/2012 15:56,
RAMPART-385,101856,RAMPART,Question,Open,,03/08/2012 20:13,
RAMPART-384,101857,RAMPART,Bug,Resolved,Fixed,19/07/2012 17:49,25/01/2013 10:23
RAMPART-383,101858,RAMPART,Bug,Closed,Invalid,18/07/2012 18:39,19/07/2012 15:55
RAMPART-382,101859,RAMPART,Bug,Open,,12/07/2012 19:45,
RAMPART-381,101860,RAMPART,Bug,Open,,07/07/2012 01:15,
RAMPART-380,101861,RAMPART,Bug,Open,,06/07/2012 15:13,
RAMPART-354,101887,RAMPART,Improvement,Resolved,Fixed,03/01/2012 15:46,24/01/2012 14:07
RAMPART-379,101862,RAMPART,Bug,Open,,28/06/2012 19:10,
RAMPART-378,101863,RAMPART,Bug,Open,,28/06/2012 19:09,
RAMPART-377,101864,RAMPART,Bug,Resolved,Fixed,25/06/2012 20:16,26/06/2012 04:00
RAMPART-376,101865,RAMPART,Bug,Resolved,Fixed,25/06/2012 20:05,26/06/2012 03:53
RAMPART-375,101866,RAMPART,Improvement,Resolved,Fixed,15/06/2012 20:01,28/06/2012 19:03
RAMPART-374,101867,RAMPART,Bug,In Progress,,14/06/2012 18:44,
RAMPART-373,101868,RAMPART,Bug,Resolved,Not A Problem,06/06/2012 20:08,02/07/2012 15:54
RAMPART-320,101920,RAMPART,Bug,Closed,Invalid,12/02/2011 00:53,12/02/2011 01:53
RAMPART-319,101921,RAMPART,Bug,Resolved,Cannot Reproduce,10/02/2011 23:00,25/02/2011 17:32
RAMPART-372,101869,RAMPART,Bug,Resolved,Not A Problem,18/05/2012 01:48,18/05/2012 06:18
RAMPART-371,101870,RAMPART,Bug,Open,,17/05/2012 00:42,
RAMPART-370,101871,RAMPART,Bug,Open,,10/04/2012 23:17,
RAMPART-369,101872,RAMPART,Improvement,Open,,03/05/2012 15:13,
RAMPART-368,101873,RAMPART,Improvement,Open,,30/04/2012 20:39,
RAMPART-367,101874,RAMPART,Improvement,Open,,30/04/2012 13:19,
RAMPART-366,101875,RAMPART,Bug,Open,,26/04/2012 04:09,
RAMPART-365,101876,RAMPART,Bug,Open,,20/04/2012 03:11,
RAMPART-323,101917,RAMPART,Question,Resolved,Duplicate,26/02/2011 16:07,28/02/2011 14:35
RAMPART-364,101877,RAMPART,Bug,Resolved,Cannot Reproduce,19/04/2012 17:03,19/04/2012 19:07
RAMPART-363,101878,RAMPART,Bug,Resolved,Fixed,19/04/2012 14:10,19/04/2012 17:06
RAMPART-362,101879,RAMPART,Bug,Open,,06/04/2012 04:37,
RAMPART-361,101880,RAMPART,Bug,Open,,04/04/2012 22:01,
RAMPART-360,101881,RAMPART,Improvement,Open,,15/03/2012 00:06,
RAMPART-359,101882,RAMPART,Bug,Open,,01/03/2012 17:30,
RAMPART-358,101883,RAMPART,Bug,Resolved,Fixed,21/02/2012 17:43,25/08/2012 18:29
RAMPART-357,101884,RAMPART,Bug,Resolved,Fixed,06/02/2012 15:53,15/02/2012 17:27
RAMPART-356,101885,RAMPART,Bug,Open,,18/01/2012 22:02,
