Key,ID,Project,IssueType,Status,Resolution,Created Date,Resolved Date
RESOURCES-24,100418,RESOURCES,Bug,Resolved,Fixed,29/11/2005 18:24,16/05/2006 20:07
RESOURCES-15,100427,RESOURCES,Bug,Resolved,Won't Fix,29/11/2005 18:13,16/05/2006 20:07
RESOURCES-14,100428,RESOURCES,Bug,Resolved,Fixed,09/12/2005 14:25,16/05/2006 19:51
RESOURCES-41,100401,RESOURCES,Improvement,Open,,03/06/2009 06:00,
RESOURCES-40,100402,RESOURCES,Improvement,Resolved,Fixed,08/08/2003 20:47,16/05/2006 20:36
RESOURCES-28,100414,RESOURCES,Bug,Resolved,Fixed,26/11/2005 16:23,16/05/2006 19:51
RESOURCES-27,100415,RESOURCES,Bug,Resolved,Duplicate,06/01/2006 17:14,16/05/2006 19:51
RESOURCES-26,100416,RESOURCES,Bug,Resolved,Fixed,29/11/2005 18:27,16/05/2006 20:07
RESOURCES-23,100419,RESOURCES,Bug,Resolved,Fixed,05/03/2003 14:21,16/05/2006 20:42
RESOURCES-25,100417,RESOURCES,Bug,Open,,01/12/2005 03:13,
RESOURCES-39,100403,RESOURCES,Improvement,Resolved,Fixed,26/11/2005 14:54,16/05/2006 19:51
RESOURCES-38,100404,RESOURCES,Improvement,Resolved,Won't Fix,10/04/2004 23:24,16/05/2006 19:51
RESOURCES-37,100405,RESOURCES,Improvement,Resolved,Fixed,03/02/2005 16:35,16/05/2006 19:51
RESOURCES-36,100406,RESOURCES,Improvement,Open,,29/11/2005 18:19,
RESOURCES-35,100407,RESOURCES,Improvement,Resolved,Won't Fix,15/03/2005 00:46,16/05/2006 19:51
RESOURCES-34,100408,RESOURCES,Improvement,Resolved,Won't Fix,24/01/2004 07:02,16/05/2006 20:30
RESOURCES-33,100409,RESOURCES,Improvement,Resolved,Won't Fix,20/10/2004 15:32,16/05/2006 19:51
RESOURCES-32,100410,RESOURCES,Improvement,Resolved,Duplicate,10/04/2004 23:09,16/05/2006 19:51
RESOURCES-31,100411,RESOURCES,Improvement,Open,,09/12/2005 16:49,
RESOURCES-30,100412,RESOURCES,Bug,Resolved,Fixed,29/11/2005 18:11,16/05/2006 20:07
RESOURCES-29,100413,RESOURCES,Bug,Resolved,Won't Fix,26/11/2005 16:27,16/05/2006 19:51
RESOURCES-22,100420,RESOURCES,Bug,Open,,06/01/2006 17:59,
RESOURCES-21,100421,RESOURCES,Bug,Resolved,Fixed,23/12/2005 19:08,16/05/2006 19:51
RESOURCES-20,100422,RESOURCES,Bug,Resolved,Fixed,26/11/2005 16:14,16/05/2006 19:51
RESOURCES-19,100423,RESOURCES,Bug,Resolved,Fixed,01/12/2005 04:16,16/05/2006 19:51
RESOURCES-18,100424,RESOURCES,Bug,Open,,01/12/2005 16:37,
RESOURCES-17,100425,RESOURCES,Bug,Resolved,Fixed,01/12/2005 03:56,03/06/2009 05:50
RESOURCES-16,100426,RESOURCES,Bug,Resolved,Fixed,01/12/2005 03:02,16/05/2006 19:51
RESOURCES-13,100429,RESOURCES,Bug,Resolved,Fixed,15/10/2002 14:22,16/05/2006 20:46
RESOURCES-12,100430,RESOURCES,Bug,Resolved,Fixed,06/01/2006 17:13,16/05/2006 19:51
RESOURCES-11,100431,RESOURCES,Bug,Resolved,Fixed,08/12/2005 17:03,16/05/2006 19:51
RESOURCES-10,100432,RESOURCES,Bug,Resolved,Incomplete,27/10/2005 00:19,16/05/2006 19:51
RESOURCES-9,100433,RESOURCES,Bug,Resolved,Incomplete,06/01/2006 18:04,16/05/2006 19:51
RESOURCES-8,100434,RESOURCES,Bug,Resolved,Fixed,06/01/2006 17:34,16/05/2006 19:51
RESOURCES-7,100435,RESOURCES,Bug,Resolved,Fixed,30/11/2005 16:20,19/05/2009 02:13
RESOURCES-6,100436,RESOURCES,Bug,Resolved,Fixed,30/11/2005 15:38,03/06/2009 05:51
RESOURCES-5,100437,RESOURCES,Bug,Resolved,Fixed,10/01/2003 08:49,16/05/2006 20:44
RESOURCES-4,100438,RESOURCES,Bug,Resolved,Fixed,08/12/2005 17:07,16/05/2006 19:51
RESOURCES-3,100439,RESOURCES,Bug,Resolved,Won't Fix,09/12/2005 15:03,16/05/2006 19:51
RESOURCES-2,100440,RESOURCES,Bug,Open,,01/12/2005 04:43,
RESOURCES-1,100441,RESOURCES,Bug,Resolved,Fixed,30/01/2002 06:23,16/05/2006 19:51
