Key,ID,Project,IssueType,Status,Resolution,Created Date,Resolved Date
SHIRO-241,93890,SHIRO,Bug,Closed,Fixed,08/02/2011 06:56,09/02/2011 04:56
SHIRO-199,93931,SHIRO,Bug,Closed,Fixed,14/10/2010 02:35,14/10/2010 03:14
SHIRO-477,93654,SHIRO,Bug,Open,,13/12/2013 01:17,
SHIRO-476,93655,SHIRO,Bug,Open,,13/12/2013 01:07,
SHIRO-475,93656,SHIRO,Improvement,Open,,05/12/2013 18:04,
SHIRO-474,93657,SHIRO,Improvement,Open,,05/12/2013 15:30,
SHIRO-463,93668,SHIRO,Question,Open,,11/10/2013 19:21,
SHIRO-473,93658,SHIRO,Bug,Open,,27/11/2013 00:40,
SHIRO-472,93659,SHIRO,Bug,Open,,25/11/2013 22:35,
SHIRO-471,93660,SHIRO,Bug,Open,,25/11/2013 22:17,
SHIRO-470,93661,SHIRO,New Feature,Open,,07/11/2013 14:27,
SHIRO-469,93662,SHIRO,Bug,Open,,30/10/2013 20:28,
SHIRO-468,93663,SHIRO,Question,Open,,23/10/2013 15:57,
SHIRO-467,93664,SHIRO,Bug,Open,,23/10/2013 15:07,
SHIRO-466,93665,SHIRO,Wish,Open,,16/10/2013 07:18,
SHIRO-465,93666,SHIRO,Improvement,Open,,15/10/2013 12:52,
SHIRO-464,93667,SHIRO,New Feature,Open,,15/10/2013 02:10,
SHIRO-462,93669,SHIRO,Bug,Open,,08/10/2013 16:09,
SHIRO-461,93670,SHIRO,Improvement,Open,,20/09/2013 10:53,
SHIRO-460,93671,SHIRO,Bug,Open,,20/09/2013 01:46,
SHIRO-459,93672,SHIRO,New Feature,Open,,19/09/2013 22:49,
SHIRO-458,93673,SHIRO,Bug,Open,,16/09/2013 17:16,
SHIRO-457,93674,SHIRO,Bug,Open,,16/09/2013 16:38,
SHIRO-456,93675,SHIRO,New Feature,Open,,11/09/2013 00:50,
SHIRO-417,93714,SHIRO,New Feature,Open,,19/02/2013 21:25,
SHIRO-455,93676,SHIRO,Improvement,Open,,31/07/2013 23:31,
SHIRO-454,93677,SHIRO,Improvement,Open,,29/07/2013 17:12,
SHIRO-453,93678,SHIRO,Improvement,Open,,13/07/2013 01:21,
SHIRO-452,93679,SHIRO,Bug,Open,,12/07/2013 21:32,
