Key,ID,Project,IssueType,Status,Resolution,Created Date,Resolved Date
GFX-40,595130,GFX,Bug,Resolved,Won't Fix,31/05/2013 18:59,31/05/2013 20:17
GFX-39,595131,GFX,Bug,Open,,11/05/2013 00:38,
GFX-38,595132,GFX,Bug,Open,,10/03/2013 09:32,
GFX-37,595133,GFX,Bug,Open,,05/03/2013 14:41,
GFX-36,595134,GFX,Bug,Resolved,Fixed,27/02/2013 00:15,19/03/2013 20:51
GFX-35,595135,GFX,Improvement,Open,,03/05/2012 04:51,
GFX-34,595136,GFX,Bug,Closed,Not A Bug,02/05/2012 23:46,12/05/2012 23:22
GFX-16,595204,GFX,Improvement,Open,,30/01/2012 01:27,
GFX-33,595137,GFX,Bug,Open,,30/04/2012 05:22,
GFX-32,595138,GFX,Bug,Open,,12/04/2012 16:31,
GFX-31,595139,GFX,New Feature,Closed,Fixed,23/03/2012 04:58,12/05/2012 23:27
GFX-30,595140,GFX,New Feature,Closed,Fixed,23/03/2012 04:57,12/05/2012 23:29
GFX-29,595141,GFX,Improvement,Closed,Fixed,23/03/2012 04:55,12/05/2012 23:30
GFX-28,595142,GFX,Bug,Closed,Fixed,08/03/2012 23:23,09/03/2012 00:02
GFX-27,595143,GFX,Bug,Closed,Fixed,08/03/2012 18:08,09/03/2012 00:20
GFX-15,595205,GFX,Improvement,Open,,29/01/2012 18:08,
GFX-26,595144,GFX,Bug,Closed,Fixed,08/03/2012 17:26,09/03/2012 00:29
GFX-25,595145,GFX,New Feature,Resolved,Fixed,25/02/2012 18:44,19/03/2013 20:51
GFX-24,595146,GFX,New Feature,Open,,23/02/2012 05:27,
GFX-23,595147,GFX,Bug,Resolved,Fixed,21/02/2012 20:19,21/02/2012 20:57
GFX-22,595148,GFX,Bug,Open,,16/02/2012 22:57,
GFX-21,595149,GFX,Bug,Open,,16/02/2012 22:24,
GFX-20,595200,GFX,Bug,Open,,16/02/2012 22:10,
GFX-19,595201,GFX,Improvement,Open,,16/02/2012 10:17,
GFX-18,595202,GFX,Bug,Resolved,Fixed,10/02/2012 02:53,12/05/2012 23:21
GFX-17,595203,GFX,Bug,Resolved,Fixed,30/01/2012 02:04,08/02/2012 06:38
GFX-14,595206,GFX,Improvement,Open,,29/01/2012 02:04,
GFX-13,595207,GFX,Bug,Open,,29/01/2012 01:52,
GFX-12,595208,GFX,Improvement,Open,,10/08/2011 05:05,
GFX-11,595209,GFX,Improvement,Closed,Fixed,17/11/2011 16:26,12/05/2012 23:35
GFX-10,595210,GFX,Improvement,Closed,Won't Fix,10/08/2011 05:03,12/05/2012 23:34
GFX-9,595211,GFX,Improvement,Resolved,Fixed,10/08/2011 04:59,12/05/2012 23:19
GFX-8,595212,GFX,Improvement,Closed,Fixed,12/08/2011 22:30,12/05/2012 23:30
GFX-7,595213,GFX,Improvement,Open,,10/08/2011 05:06,
GFX-6,595214,GFX,Improvement,Open,,10/08/2011 05:07,
GFX-5,595215,GFX,New Feature,Open,,24/08/2011 02:46,
GFX-4,595216,GFX,New Feature,Open,,10/08/2011 05:05,
GFX-3,595217,GFX,Bug,Closed,Fixed,10/08/2011 05:01,12/05/2012 23:31
GFX-2,595218,GFX,Bug,Open,,10/08/2011 04:35,
GFX-1,595219,GFX,Bug,Open,,14/09/2011 02:19,
