Key,ID,Project,IssueType,Status,Resolution,Created Date,Resolved Date
MJAVADOC-57,500630,MJAVADOC,Bug,Closed,Fixed,10/02/2006 15:49,07/03/2006 15:19
MJAVADOC-225,500312,MJAVADOC,Improvement,Closed,Fixed,05/02/2009 02:11,28/02/2009 22:29
MJAVADOC-327,500115,MJAVADOC,Task,Closed,Fixed,26/09/2011 05:08,26/09/2011 05:21
MJAVADOC-174,500463,MJAVADOC,Task,Closed,Fixed,04/02/2008 04:38,06/02/2008 20:05
MJAVADOC-210,500327,MJAVADOC,Bug,Closed,Fixed,01/08/2008 05:36,01/08/2008 20:33
MJAVADOC-209,500328,MJAVADOC,New Feature,Closed,Fixed,30/07/2008 19:52,30/07/2008 20:50
MJAVADOC-89,500548,MJAVADOC,Improvement,Closed,Fixed,07/09/2006 09:32,07/09/2006 10:47
MJAVADOC-315,500127,MJAVADOC,Improvement,Closed,Fixed,01/04/2011 06:35,18/04/2011 05:24
MJAVADOC-208,500329,MJAVADOC,New Feature,Closed,Fixed,30/07/2008 19:16,30/07/2008 19:29
MJAVADOC-64,500623,MJAVADOC,Bug,Closed,Fixed,17/04/2006 19:21,04/09/2006 21:28
MJAVADOC-63,500624,MJAVADOC,Task,Closed,Fixed,11/04/2006 09:27,25/04/2006 14:46
MJAVADOC-378,500015,MJAVADOC,Bug,Open,,04/10/2013 15:54,
MJAVADOC-381,500012,MJAVADOC,Bug,Open,,15/12/2013 14:20,
MJAVADOC-380,500013,MJAVADOC,Improvement,Closed,Fixed,23/10/2013 20:59,12/11/2013 23:15
MJAVADOC-379,500014,MJAVADOC,Bug,Open,,18/10/2013 14:53,
MJAVADOC-377,500016,MJAVADOC,Bug,Open,,21/09/2013 00:02,
MJAVADOC-376,500017,MJAVADOC,Improvement,Closed,Fixed,17/09/2013 13:43,24/09/2013 19:04
MJAVADOC-375,500018,MJAVADOC,Bug,Open,,29/08/2013 17:10,
MJAVADOC-374,500019,MJAVADOC,New Feature,Closed,Duplicate,09/08/2013 17:20,09/08/2013 19:25
MJAVADOC-373,500020,MJAVADOC,New Feature,Open,,30/07/2013 03:54,
MJAVADOC-372,500021,MJAVADOC,Bug,Closed,Fixed,05/07/2013 00:39,22/07/2013 06:35
MJAVADOC-371,500022,MJAVADOC,Bug,Open,,27/06/2013 00:26,
MJAVADOC-348,500044,MJAVADOC,Improvement,Closed,Fixed,28/07/2012 13:58,15/09/2012 08:45
MJAVADOC-370,500023,MJAVADOC,Improvement,Closed,Fixed,20/06/2013 06:35,24/06/2013 17:50
MJAVADOC-369,500024,MJAVADOC,New Feature,Open,,30/05/2013 05:03,
MJAVADOC-368,500025,MJAVADOC,Bug,Open,,29/05/2013 17:05,
MJAVADOC-367,500026,MJAVADOC,Improvement,Open,,17/05/2013 20:30,
MJAVADOC-366,500027,MJAVADOC,Bug,Open,,17/05/2013 03:23,
MJAVADOC-365,500028,MJAVADOC,Bug,Open,,20/04/2013 05:37,
MJAVADOC-364,500029,MJAVADOC,Task,Closed,Fixed,14/04/2013 02:14,14/04/2013 02:16
MJAVADOC-363,500030,MJAVADOC,Improvement,Closed,Fixed,03/04/2013 19:52,03/04/2013 20:40
MJAVADOC-362,500031,MJAVADOC,Bug,Open,,19/03/2013 22:37,
MJAVADOC-361,500032,MJAVADOC,Improvement,Closed,Fixed,02/03/2013 07:13,04/03/2013 02:10
MJAVADOC-360,500033,MJAVADOC,Bug,Open,,10/01/2013 09:37,
MJAVADOC-359,500034,MJAVADOC,Improvement,Open,,07/01/2013 18:02,
MJAVADOC-358,500035,MJAVADOC,Bug,Closed,Fixed,12/12/2012 03:24,25/01/2013 01:21
MJAVADOC-357,500036,MJAVADOC,Bug,Open,,31/10/2012 16:30,
MJAVADOC-88,500549,MJAVADOC,Bug,Closed,Fixed,01/09/2006 19:52,01/09/2006 20:28
MJAVADOC-356,500037,MJAVADOC,Bug,Open,,10/10/2012 14:52,
MJAVADOC-355,500038,MJAVADOC,Wish,Open,,02/10/2012 16:21,
MJAVADOC-354,500039,MJAVADOC,Bug,Closed,Fixed,29/09/2012 08:27,29/09/2012 08:46
MJAVADOC-352,500040,MJAVADOC,Wish,Open,,21/09/2012 10:06,
MJAVADOC-351,500041,MJAVADOC,Bug,Open,,15/09/2012 02:12,
MJAVADOC-350,500042,MJAVADOC,Improvement,Closed,Fixed,12/09/2012 23:29,14/09/2012 08:38
MJAVADOC-349,500043,MJAVADOC,Bug,Closed,Fixed,15/08/2012 06:28,15/09/2012 08:41
MJAVADOC-347,500045,MJAVADOC,Bug,Open,,18/07/2012 10:13,
MJAVADOC-346,500046,MJAVADOC,Task,Closed,Fixed,11/07/2012 17:53,12/07/2012 00:04
MJAVADOC-345,500047,MJAVADOC,Bug,Open,,20/05/2012 14:26,
MJAVADOC-344,500048,MJAVADOC,Bug,Open,,10/05/2012 02:40,
MJAVADOC-343,500049,MJAVADOC,Improvement,Closed,Fixed,04/04/2012 05:14,15/09/2012 08:31
MJAVADOC-216,500321,MJAVADOC,Improvement,Closed,Fixed,10/09/2008 16:21,17/07/2009 06:03
MJAVADOC-342,500100,MJAVADOC,Bug,Closed,Fixed,16/02/2012 11:53,16/09/2012 07:23
MJAVADOC-341,500101,MJAVADOC,Bug,Open,,11/02/2012 03:50,
MJAVADOC-340,500102,MJAVADOC,Bug,Closed,Cannot Reproduce,17/01/2012 22:20,16/09/2012 07:14
MJAVADOC-339,500103,MJAVADOC,Improvement,Open,,17/01/2012 21:13,
MJAVADOC-338,500104,MJAVADOC,Bug,Open,,17/01/2012 18:45,
MJAVADOC-337,500105,MJAVADOC,Bug,Closed,Not A Bug,29/12/2011 02:35,13/01/2012 01:05
MJAVADOC-336,500106,MJAVADOC,Bug,Closed,Fixed,27/12/2011 02:04,18/01/2012 02:30
MJAVADOC-329,500113,MJAVADOC,Improvement,Open,,29/09/2011 21:22,
MJAVADOC-328,500114,MJAVADOC,Bug,Closed,Not A Bug,29/09/2011 00:53,15/09/2012 23:58
MJAVADOC-335,500107,MJAVADOC,Bug,Closed,Fixed,24/11/2011 23:11,07/04/2013 01:35
MJAVADOC-334,500108,MJAVADOC,Improvement,Closed,Fixed,03/11/2011 05:59,31/07/2012 05:36
MJAVADOC-333,500109,MJAVADOC,Bug,Open,,02/11/2011 07:46,
MJAVADOC-332,500110,MJAVADOC,Bug,Closed,Not A Bug,12/10/2011 04:17,16/09/2012 00:51
MJAVADOC-331,500111,MJAVADOC,Improvement,Closed,Won't Fix,11/10/2011 16:15,16/09/2012 00:00
MJAVADOC-330,500112,MJAVADOC,New Feature,Closed,Duplicate,06/10/2011 09:21,16/09/2012 04:51
MJAVADOC-326,500116,MJAVADOC,Bug,Closed,Fixed,13/09/2011 15:45,13/09/2011 16:31
MJAVADOC-325,500117,MJAVADOC,Bug,Closed,Fixed,02/09/2011 12:27,27/09/2011 05:10
MJAVADOC-324,500118,MJAVADOC,Bug,Open,,19/08/2011 13:05,
MJAVADOC-323,500119,MJAVADOC,Bug,Closed,Not A Bug,09/08/2011 15:54,15/09/2012 08:27
MJAVADOC-316,500126,MJAVADOC,Bug,Closed,Fixed,13/04/2011 20:18,18/04/2011 00:47
MJAVADOC-322,500120,MJAVADOC,New Feature,Closed,Fixed,05/08/2011 06:50,05/08/2011 16:18
MJAVADOC-321,500121,MJAVADOC,Improvement,Closed,Fixed,14/07/2011 05:19,14/07/2011 05:21
MJAVADOC-320,500122,MJAVADOC,Bug,Closed,Fixed,07/07/2011 23:51,08/07/2011 20:59
MJAVADOC-319,500123,MJAVADOC,Bug,Open,,07/06/2011 18:46,
MJAVADOC-318,500124,MJAVADOC,Improvement,Closed,Cannot Reproduce,27/04/2011 05:49,16/09/2012 04:48
MJAVADOC-317,500125,MJAVADOC,Improvement,Closed,Fixed,18/04/2011 04:48,18/04/2011 04:53
MJAVADOC-314,500128,MJAVADOC,New Feature,Open,,30/03/2011 14:37,
MJAVADOC-313,500129,MJAVADOC,Bug,Open,,18/03/2011 16:09,
MJAVADOC-312,500130,MJAVADOC,Bug,Closed,Fixed,12/03/2011 12:29,15/09/2012 08:27
MJAVADOC-311,500131,MJAVADOC,Bug,Open,,26/10/2010 19:45,
MJAVADOC-310,500132,MJAVADOC,Bug,Open,,26/02/2011 21:50,
MJAVADOC-309,500133,MJAVADOC,Bug,Closed,Not A Bug,21/02/2011 19:28,16/09/2012 05:57
MJAVADOC-308,500134,MJAVADOC,Bug,Closed,Cannot Reproduce,21/02/2011 17:51,02/05/2011 04:49
MJAVADOC-307,500135,MJAVADOC,Bug,Closed,Incomplete,20/01/2011 19:49,29/09/2011 05:10
MJAVADOC-306,500136,MJAVADOC,Bug,Closed,Duplicate,14/01/2011 09:00,26/09/2011 05:03
MJAVADOC-305,500137,MJAVADOC,Improvement,Open,,01/01/2011 01:52,
MJAVADOC-304,500138,MJAVADOC,Bug,Closed,Fixed,03/12/2010 02:54,02/05/2011 06:20
MJAVADOC-303,500139,MJAVADOC,Bug,Closed,Not A Bug,13/05/2010 08:46,02/05/2011 06:29
MJAVADOC-302,500140,MJAVADOC,Bug,Closed,Duplicate,12/11/2010 01:32,01/05/2011 22:34
