Key,ID,Project,IssueType,Status,Resolution,Created Date,Resolved Date
MODELLO-193,484434,MODELLO,Improvement,Closed,Duplicate,02/06/2009 23:22,02/06/2009 23:23
MODELLO-261,484319,MODELLO,Bug,Closed,Fixed,04/11/2012 11:39,04/11/2012 11:42
MODELLO-225,484405,MODELLO,Bug,Open,,03/01/2010 00:13,
MODELLO-132,484545,MODELLO,Bug,Closed,Fixed,07/12/2008 05:36,07/12/2008 05:38
MODELLO-131,484546,MODELLO,Task,Closed,Fixed,07/12/2008 04:37,07/12/2008 04:47
MODELLO-271,484309,MODELLO,New Feature,Closed,Fixed,23/05/2013 07:01,21/10/2013 20:32
MODELLO-283,484297,MODELLO,Bug,Closed,Fixed,21/10/2013 20:04,21/10/2013 20:06
MODELLO-282,484298,MODELLO,Bug,Open,,31/08/2013 02:44,
MODELLO-281,484299,MODELLO,Improvement,Closed,Fixed,14/08/2013 01:02,14/08/2013 17:39
MODELLO-280,484300,MODELLO,Improvement,Open,,24/07/2013 16:56,
MODELLO-279,484301,MODELLO,New Feature,Resolved,Fixed,24/06/2013 17:22,24/06/2013 17:24
MODELLO-278,484302,MODELLO,Bug,Resolved,Fixed,18/06/2013 00:58,18/06/2013 01:02
MODELLO-277,484303,MODELLO,New Feature,Resolved,Fixed,16/06/2013 22:05,16/06/2013 22:07
MODELLO-276,484304,MODELLO,Bug,Resolved,Fixed,13/06/2013 23:45,14/06/2013 01:29
MODELLO-275,484305,MODELLO,Bug,Resolved,Fixed,11/06/2013 19:30,11/06/2013 19:33
MODELLO-274,484306,MODELLO,Bug,Resolved,Fixed,11/06/2013 03:14,11/06/2013 03:16
MODELLO-273,484307,MODELLO,Bug,Resolved,Fixed,10/06/2013 21:13,11/06/2013 17:40
MODELLO-272,484308,MODELLO,Bug,Resolved,Fixed,10/06/2013 16:57,11/06/2013 02:47
MODELLO-270,484310,MODELLO,Bug,Open,,03/03/2013 00:21,
MODELLO-269,484311,MODELLO,Bug,Closed,Fixed,02/03/2013 23:35,03/03/2013 21:49
MODELLO-268,484312,MODELLO,Bug,Resolved,Fixed,02/03/2013 23:23,04/03/2013 01:50
MODELLO-267,484313,MODELLO,Bug,Closed,Fixed,19/02/2013 00:37,19/02/2013 06:32
MODELLO-266,484314,MODELLO,Bug,Closed,Fixed,13/02/2013 18:35,17/02/2013 07:02
MODELLO-265,484315,MODELLO,Improvement,Closed,Fixed,20/01/2013 11:58,21/01/2013 00:09
MODELLO-264,484316,MODELLO,New Feature,Open,,30/11/2012 07:00,
MODELLO-263,484317,MODELLO,Improvement,Closed,Fixed,18/11/2012 18:19,18/11/2012 20:47
MODELLO-262,484318,MODELLO,New Feature,Open,,04/11/2012 12:04,
MODELLO-260,484320,MODELLO,New Feature,Closed,Fixed,30/10/2012 10:31,14/11/2012 11:41
MODELLO-259,484321,MODELLO,Improvement,Closed,Fixed,11/09/2012 05:13,11/09/2012 05:42
MODELLO-258,484322,MODELLO,Bug,Closed,Fixed,26/08/2012 04:16,26/08/2012 06:17
MODELLO-257,484323,MODELLO,Bug,Open,,20/10/2011 01:56,
MODELLO-256,484324,MODELLO,Bug,Closed,Fixed,13/09/2011 02:53,18/11/2012 01:22
MODELLO-255,484325,MODELLO,New Feature,Closed,Fixed,14/01/2011 06:45,14/01/2011 07:08
MODELLO-254,484326,MODELLO,Bug,Open,,24/12/2010 16:14,
MODELLO-253,484327,MODELLO,New Feature,Closed,Fixed,23/12/2010 02:12,23/12/2010 02:18
MODELLO-252,484328,MODELLO,Improvement,Closed,Fixed,05/12/2010 23:05,12/09/2012 01:33
MODELLO-251,484329,MODELLO,Bug,Closed,Fixed,05/12/2010 22:54,12/09/2012 01:29
MODELLO-250,484330,MODELLO,Bug,Open,,05/12/2010 20:58,
MODELLO-249,484331,MODELLO,Bug,Closed,Fixed,05/10/2010 17:10,10/10/2010 01:51
MODELLO-248,484332,MODELLO,Bug,Closed,Fixed,02/09/2010 04:00,02/09/2010 04:12
MODELLO-247,484333,MODELLO,New Feature,Open,,08/05/2010 23:00,
MODELLO-246,484334,MODELLO,Improvement,Closed,Fixed,27/04/2010 01:07,27/04/2010 01:11
