Key,ID,Project,IssueType,Status,Resolution,Created Date,Resolved Date
MPARTIFACT-76,481608,MPARTIFACT,Bug,Closed,Fixed,16/05/2007 16:33,17/05/2007 03:46
MPARTIFACT-75,481609,MPARTIFACT,New Feature,Closed,Fixed,14/04/2007 06:22,14/04/2007 07:25
MPARTIFACT-74,481610,MPARTIFACT,Bug,Closed,Cannot Reproduce,23/01/2007 23:02,12/03/2007 19:34
MPARTIFACT-72,481611,MPARTIFACT,Bug,Closed,Fixed,20/09/2006 00:50,07/05/2007 16:49
MPARTIFACT-71,481612,MPARTIFACT,Bug,Closed,Fixed,10/08/2006 20:54,07/05/2007 16:46
MPARTIFACT-70,481613,MPARTIFACT,Bug,Closed,Fixed,09/08/2006 12:29,07/05/2007 16:46
MPARTIFACT-67,481614,MPARTIFACT,Improvement,Closed,Fixed,19/05/2006 06:40,07/05/2007 16:46
MPARTIFACT-66,481615,MPARTIFACT,Task,Closed,Fixed,17/05/2006 06:57,07/05/2007 16:46
MPARTIFACT-65,481616,MPARTIFACT,Improvement,Closed,Fixed,21/09/2005 00:54,17/02/2006 06:41
MPARTIFACT-64,481617,MPARTIFACT,Task,Closed,Fixed,29/01/2006 07:09,01/02/2006 08:44
MPARTIFACT-63,481618,MPARTIFACT,Bug,Closed,Fixed,06/12/2005 04:38,07/12/2005 01:11
MPARTIFACT-62,481619,MPARTIFACT,Wish,Closed,Won't Fix,03/12/2005 05:06,03/12/2005 08:19
MPARTIFACT-61,481620,MPARTIFACT,Bug,Closed,Won't Fix,11/10/2005 18:23,14/04/2007 06:20
MPARTIFACT-60,481621,MPARTIFACT,Improvement,Open,,19/07/2004 19:12,
MPARTIFACT-59,481622,MPARTIFACT,New Feature,Closed,Fixed,26/08/2005 16:42,01/12/2005 08:36
MPARTIFACT-58,481623,MPARTIFACT,Bug,Closed,Fixed,18/08/2005 03:25,19/08/2005 14:47
MPARTIFACT-57,481624,MPARTIFACT,Improvement,Closed,Fixed,05/08/2005 07:09,03/12/2005 08:25
MPARTIFACT-56,481625,MPARTIFACT,Bug,Closed,Fixed,05/08/2005 05:10,01/12/2005 09:06
MPARTIFACT-55,481626,MPARTIFACT,Bug,Closed,Fixed,17/06/2005 07:06,29/07/2005 17:37
MPARTIFACT-54,481627,MPARTIFACT,Bug,Closed,Fixed,17/06/2005 05:25,29/07/2005 15:51
MPARTIFACT-53,481628,MPARTIFACT,Bug,Closed,Fixed,11/06/2005 07:55,11/06/2005 10:44
MPARTIFACT-52,481629,MPARTIFACT,Bug,Closed,Fixed,10/06/2005 11:53,10/06/2005 17:26
MPARTIFACT-51,481630,MPARTIFACT,Bug,Closed,Fixed,06/06/2005 22:27,11/06/2005 08:29
MPARTIFACT-50,481631,MPARTIFACT,Improvement,Closed,Won't Fix,30/05/2005 16:55,30/05/2005 21:10
MPARTIFACT-42,481639,MPARTIFACT,Bug,Closed,Duplicate,05/11/2004 03:08,11/11/2004 04:36
MPARTIFACT-49,481632,MPARTIFACT,Improvement,Closed,Fixed,24/07/2004 00:47,02/06/2005 15:16
MPARTIFACT-48,481633,MPARTIFACT,Bug,Closed,Fixed,20/05/2005 02:38,11/06/2005 07:45
MPARTIFACT-47,481634,MPARTIFACT,Bug,Closed,Fixed,18/02/2005 07:34,18/02/2005 10:43
