Key,ID,Project,IssueType,Status,Resolution,Created Date,Resolved Date
MPDASHBOARD-39,480638,MPDASHBOARD,Bug,Closed,Incomplete,28/05/2008 16:04,28/05/2008 22:57
MPDASHBOARD-38,480639,MPDASHBOARD,Bug,Open,,16/12/2006 05:55,
MPDASHBOARD-37,480640,MPDASHBOARD,Bug,Open,,16/12/2006 03:49,
MPDASHBOARD-36,480641,MPDASHBOARD,New Feature,Open,,28/02/2006 03:10,
MPDASHBOARD-35,480642,MPDASHBOARD,Bug,Closed,Fixed,16/01/2006 22:03,17/01/2006 02:00
MPDASHBOARD-28,480649,MPDASHBOARD,Improvement,Closed,Fixed,27/06/2005 23:27,01/02/2006 04:52
MPDASHBOARD-34,480643,MPDASHBOARD,Bug,Closed,Fixed,01/12/2005 04:44,02/12/2005 18:51
MPDASHBOARD-9,480718,MPDASHBOARD,Improvement,Closed,Fixed,07/08/2004 03:09,24/01/2005 01:51
MPDASHBOARD-33,480644,MPDASHBOARD,Task,Closed,Fixed,06/10/2005 05:51,31/01/2006 03:07
MPDASHBOARD-32,480645,MPDASHBOARD,Bug,Closed,Fixed,06/09/2005 18:34,11/01/2006 09:09
MPDASHBOARD-31,480646,MPDASHBOARD,New Feature,Closed,Fixed,12/08/2005 04:18,01/12/2005 02:30
MPDASHBOARD-30,480647,MPDASHBOARD,Improvement,Closed,Fixed,02/07/2005 10:27,31/01/2006 15:17
MPDASHBOARD-29,480648,MPDASHBOARD,New Feature,Open,,29/06/2005 23:52,
MPDASHBOARD-27,480700,MPDASHBOARD,Bug,Closed,Fixed,03/06/2005 00:13,08/06/2005 18:26
MPDASHBOARD-11,480716,MPDASHBOARD,New Feature,Closed,Fixed,06/09/2004 17:43,07/09/2004 02:04
MPDASHBOARD-26,480701,MPDASHBOARD,Bug,Closed,Fixed,26/05/2005 17:03,31/05/2005 03:26
MPDASHBOARD-25,480702,MPDASHBOARD,Improvement,Closed,Won't Fix,25/05/2005 15:13,31/01/2006 08:43
MPDASHBOARD-24,480703,MPDASHBOARD,Bug,Closed,Fixed,12/05/2005 17:56,12/01/2006 08:07
MPDASHBOARD-23,480704,MPDASHBOARD,New Feature,Closed,Won't Fix,28/04/2005 21:16,31/01/2006 09:08
MPDASHBOARD-22,480705,MPDASHBOARD,New Feature,Closed,Fixed,20/04/2005 07:14,18/05/2005 16:10
MPDASHBOARD-21,480706,MPDASHBOARD,Bug,Closed,Duplicate,02/04/2005 01:23,03/04/2005 02:25
MPDASHBOARD-10,480717,MPDASHBOARD,New Feature,Closed,Duplicate,06/09/2004 17:42,07/09/2004 01:48
MPDASHBOARD-20,480707,MPDASHBOARD,Improvement,Closed,Won't Fix,08/03/2005 00:54,08/03/2005 06:29
MPDASHBOARD-19,480708,MPDASHBOARD,Improvement,Closed,Duplicate,11/02/2005 04:01,11/02/2005 06:09
MPDASHBOARD-18,480709,MPDASHBOARD,New Feature,Closed,Fixed,19/11/2004 22:07,26/11/2004 17:42
MPDASHBOARD-17,480710,MPDASHBOARD,Bug,Closed,Fixed,09/11/2004 21:01,14/03/2005 02:11
MPDASHBOARD-16,480711,MPDASHBOARD,Bug,Closed,Fixed,05/11/2004 23:49,05/11/2004 23:59
MPDASHBOARD-15,480712,MPDASHBOARD,Wish,Closed,Incomplete,13/10/2004 10:36,31/01/2006 09:09
MPDASHBOARD-14,480713,MPDASHBOARD,Bug,Closed,Fixed,11/10/2004 23:13,13/10/2004 18:46
MPDASHBOARD-13,480714,MPDASHBOARD,New Feature,Closed,Fixed,25/09/2004 03:05,28/09/2004 18:03
MPDASHBOARD-12,480715,MPDASHBOARD,New Feature,Closed,Fixed,15/09/2004 22:39,20/09/2004 19:14
MPDASHBOARD-8,480719,MPDASHBOARD,Bug,Closed,Fixed,31/07/2004 23:44,15/08/2004 21:56
MPDASHBOARD-7,480720,MPDASHBOARD,Improvement,Closed,Fixed,25/07/2004 13:26,25/07/2004 16:38
MPDASHBOARD-6,480721,MPDASHBOARD,Bug,Closed,Cannot Reproduce,21/05/2004 11:11,11/02/2005 06:11
MPDASHBOARD-3,480722,MPDASHBOARD,Wish,Closed,Fixed,19/11/2003 01:43,28/09/2004 17:47
MPDASHBOARD-2,480723,MPDASHBOARD,Wish,Open,,19/11/2003 01:41,
