Key,ID,Project,IssueType,Status,Resolution,Created Date,Resolved Date
MPSCM-75,474634,MPSCM,Bug,Closed,Won't Fix,20/01/2006 14:34,24/01/2006 09:16
MPSCM-97,474624,MPSCM,Bug,Open,,05/07/2007 07:24,
MPSCM-94,474625,MPSCM,Bug,Closed,Duplicate,19/12/2006 03:41,19/12/2006 05:33
MPSCM-89,474626,MPSCM,Bug,Closed,Fixed,24/10/2006 14:26,31/10/2006 23:45
MPSCM-87,474627,MPSCM,Bug,Closed,Cannot Reproduce,28/09/2006 03:34,05/11/2006 17:42
MPSCM-86,474628,MPSCM,Bug,Closed,Fixed,31/08/2006 06:01,31/10/2006 22:56
MPSCM-85,474629,MPSCM,Bug,Open,,11/08/2006 09:34,
MPSCM-84,474630,MPSCM,Bug,Open,,11/08/2006 09:24,
MPSCM-78,474631,MPSCM,Improvement,Open,,12/05/2006 07:00,
MPSCM-77,474632,MPSCM,Improvement,Closed,Fixed,06/02/2006 15:31,09/02/2006 02:11
MPSCM-76,474633,MPSCM,Task,Closed,Fixed,30/01/2006 07:34,02/02/2006 08:35
MPSCM-73,474635,MPSCM,Bug,Closed,Cannot Reproduce,19/01/2006 05:48,19/01/2006 06:25
MPSCM-69,474636,MPSCM,Task,Closed,Fixed,27/10/2005 21:01,14/11/2005 08:34
MPSCM-68,474637,MPSCM,Task,Closed,Fixed,27/10/2005 21:00,30/01/2006 07:43
MPSCM-67,474638,MPSCM,Bug,Reopened,,26/09/2005 23:54,
MPSCM-57,474647,MPSCM,Bug,Closed,Fixed,20/06/2005 20:42,31/10/2005 23:41
MPSCM-66,474639,MPSCM,Task,Closed,Fixed,18/09/2005 21:08,27/09/2005 07:05
MPSCM-65,474640,MPSCM,Bug,Closed,Fixed,05/09/2005 15:18,08/12/2005 07:09
MPSCM-63,474641,MPSCM,Bug,Closed,Fixed,12/08/2005 03:33,05/11/2006 19:12
MPSCM-62,474642,MPSCM,Bug,Closed,Incomplete,05/08/2005 09:48,14/01/2006 07:40
MPSCM-61,474643,MPSCM,Bug,Closed,Fixed,20/07/2005 00:25,16/08/2005 21:24
MPSCM-60,474644,MPSCM,Improvement,Closed,Won't Fix,30/06/2005 17:29,14/01/2006 15:17
MPSCM-59,474645,MPSCM,Bug,Closed,Fixed,30/06/2005 14:27,17/07/2005 08:10
MPSCM-58,474646,MPSCM,Bug,Closed,Fixed,27/06/2005 07:12,06/10/2005 17:15
MPSCM-54,474800,MPSCM,New Feature,Closed,Fixed,28/05/2005 06:36,10/06/2005 15:22
MPSCM-56,474648,MPSCM,New Feature,Closed,Fixed,10/06/2005 01:20,19/07/2005 14:06
MPSCM-55,474649,MPSCM,Task,Open,,31/05/2005 14:16,
MPSCM-53,474801,MPSCM,Bug,Closed,Fixed,23/05/2005 16:04,30/05/2005 14:01
MPSCM-52,474802,MPSCM,Bug,Closed,Fixed,10/05/2005 02:30,30/05/2005 14:25
MPSCM-51,474803,MPSCM,Bug,Closed,Fixed,30/04/2005 00:49,30/04/2005 01:42
MPSCM-50,474804,MPSCM,Improvement,Closed,Fixed,28/04/2005 07:05,30/05/2005 14:29
MPSCM-49,474805,MPSCM,Task,Closed,Fixed,29/03/2005 05:57,30/05/2005 13:30
MPSCM-48,474806,MPSCM,Task,Closed,Fixed,29/03/2005 05:55,30/05/2005 14:47
