Key,ID,Project,IssueType,Status,Resolution,Created Date,Resolved Date
MRELEASE-508,471284,MRELEASE,New Feature,Closed,Fixed,26/12/2009 19:45,27/12/2009 04:48
MRELEASE-777,470421,MRELEASE,Improvement,Closed,Not A Bug,27/06/2012 01:44,06/10/2012 05:29
MRELEASE-847,470207,MRELEASE,Bug,Open,,19/09/2013 16:29,
MRELEASE-776,470422,MRELEASE,Task,Closed,Fixed,22/06/2012 05:02,06/07/2012 00:49
MRELEASE-820,470233,MRELEASE,Improvement,Closed,Fixed,14/01/2013 14:03,15/01/2013 02:45
MRELEASE-800,470249,MRELEASE,Bug,Open,,11/11/2012 22:46,
MRELEASE-860,470144,MRELEASE,Bug,Open,,19/12/2013 03:24,
MRELEASE-859,470145,MRELEASE,Bug,Closed,Duplicate,06/12/2013 13:49,07/12/2013 04:59
MRELEASE-858,470146,MRELEASE,Improvement,Closed,Duplicate,04/12/2013 05:42,04/12/2013 06:14
MRELEASE-731,470565,MRELEASE,Task,Closed,Fixed,25/01/2012 05:42,02/03/2012 04:10
MRELEASE-857,470147,MRELEASE,Bug,Open,,01/12/2013 21:24,
MRELEASE-856,470148,MRELEASE,Bug,Open,,25/11/2013 09:34,
MRELEASE-855,470149,MRELEASE,Bug,Closed,Duplicate,13/11/2013 00:18,14/11/2013 02:11
MRELEASE-854,470200,MRELEASE,Improvement,Closed,Duplicate,05/11/2013 22:03,06/11/2013 00:11
MRELEASE-853,470201,MRELEASE,New Feature,Open,,05/11/2013 21:24,
MRELEASE-852,470202,MRELEASE,Bug,Closed,Not A Bug,01/11/2013 05:11,01/11/2013 22:02
MRELEASE-848,470206,MRELEASE,Bug,Closed,Not A Bug,07/10/2013 15:25,08/10/2013 00:57
MRELEASE-851,470203,MRELEASE,Bug,Open,,24/10/2013 06:24,
MRELEASE-850,470204,MRELEASE,Bug,Open,,14/10/2013 18:19,
MRELEASE-849,470205,MRELEASE,Bug,Open,,11/10/2013 19:00,
MRELEASE-846,470208,MRELEASE,Bug,Closed,Fixed,04/09/2013 05:35,07/10/2013 04:27
MRELEASE-845,470209,MRELEASE,Improvement,Open,,13/08/2013 18:33,
MRELEASE-844,470210,MRELEASE,Improvement,Open,,30/07/2013 21:57,
MRELEASE-843,470211,MRELEASE,Bug,Open,,18/07/2013 23:17,
MRELEASE-842,470212,MRELEASE,Improvement,Open,,13/06/2013 16:09,
MRELEASE-754,470443,MRELEASE,Bug,Closed,Duplicate,06/05/2012 04:36,06/05/2012 05:59
MRELEASE-841,470213,MRELEASE,Bug,Open,,11/06/2013 05:28,
MRELEASE-840,470214,MRELEASE,Improvement,Open,,28/05/2013 03:48,
MRELEASE-839,470215,MRELEASE,Bug,Open,,23/05/2013 14:33,
MRELEASE-838,470216,MRELEASE,Bug,Closed,Not A Bug,21/05/2013 00:03,21/05/2013 03:05
MRELEASE-837,470217,MRELEASE,Bug,Closed,Cannot Reproduce,05/05/2013 22:31,09/11/2013 01:53
MRELEASE-836,470218,MRELEASE,Improvement,Open,,16/04/2013 03:18,
MRELEASE-835,470219,MRELEASE,New Feature,Open,,15/04/2013 18:30,
MRELEASE-834,470220,MRELEASE,Bug,Open,,13/04/2013 03:28,
MRELEASE-833,470221,MRELEASE,Bug,Closed,Duplicate,06/04/2013 00:52,06/04/2013 01:03
MRELEASE-832,470222,MRELEASE,Bug,Closed,Fixed,05/04/2013 18:10,17/04/2013 04:26
MRELEASE-831,470223,MRELEASE,Bug,Open,,17/03/2013 19:20,
MRELEASE-830,470224,MRELEASE,Task,Closed,Fixed,17/03/2013 00:14,23/03/2013 02:37
MRELEASE-829,470225,MRELEASE,Bug,Open,,13/03/2013 17:12,
MRELEASE-828,470226,MRELEASE,Bug,Closed,Duplicate,12/03/2013 19:34,13/03/2013 06:20
MRELEASE-733,470563,MRELEASE,Bug,Open,,27/01/2012 20:59,
MRELEASE-827,470227,MRELEASE,Bug,Open,,07/03/2013 21:30,
MRELEASE-826,470228,MRELEASE,Bug,Open,,23/02/2013 20:38,
MRELEASE-825,470229,MRELEASE,Bug,Closed,Incomplete,23/02/2013 03:13,23/02/2013 03:15
MRELEASE-824,470230,MRELEASE,Improvement,Open,,21/02/2013 18:25,
MRELEASE-822,470231,MRELEASE,Bug,Open,,15/02/2013 01:55,
MRELEASE-821,470232,MRELEASE,Bug,Closed,Not A Bug,18/01/2013 04:14,18/01/2013 04:33
MRELEASE-819,470234,MRELEASE,Bug,Closed,Fixed,12/01/2013 01:44,13/01/2013 23:30
MRELEASE-818,470235,MRELEASE,Bug,Closed,Fixed,05/01/2013 15:07,09/01/2013 04:21
MRELEASE-817,470236,MRELEASE,Improvement,Open,,03/01/2013 18:07,
MRELEASE-816,470237,MRELEASE,Bug,Reopened,,01/01/2013 08:31,
MRELEASE-747,470550,MRELEASE,New Feature,Closed,Fixed,13/03/2012 12:44,23/04/2012 15:56
MRELEASE-815,470238,MRELEASE,Bug,Open,,31/12/2012 19:59,
MRELEASE-814,470239,MRELEASE,Bug,Open,,31/12/2012 19:07,
MRELEASE-812,470240,MRELEASE,Bug,Open,,21/12/2012 04:58,
MRELEASE-801,470248,MRELEASE,Bug,Open,,11/11/2012 22:47,
MRELEASE-811,470241,MRELEASE,Bug,Closed,Not A Bug,14/12/2012 00:01,14/12/2012 23:10
MRELEASE-810,470242,MRELEASE,Bug,Open,,07/12/2012 05:03,
MRELEASE-808,470243,MRELEASE,Bug,Closed,Fixed,05/12/2012 06:32,09/12/2012 00:47
MRELEASE-799,470400,MRELEASE,Bug,Open,,09/11/2012 19:22,
MRELEASE-806,470244,MRELEASE,New Feature,Open,,28/11/2012 22:00,
MRELEASE-804,470245,MRELEASE,Bug,Open,,26/11/2012 19:12,
MRELEASE-803,470246,MRELEASE,Bug,Open,,23/11/2012 04:49,
MRELEASE-802,470247,MRELEASE,Bug,Open,,21/11/2012 05:01,
MRELEASE-798,470401,MRELEASE,Improvement,Open,,05/11/2012 14:30,
MRELEASE-797,470402,MRELEASE,Improvement,Closed,Duplicate,23/10/2012 08:35,24/10/2012 01:10
MRELEASE-796,470403,MRELEASE,Improvement,Closed,Fixed,23/09/2012 23:40,23/09/2012 23:59
MRELEASE-795,470404,MRELEASE,Bug,Closed,Fixed,19/09/2012 19:36,28/09/2012 23:14
MRELEASE-794,470405,MRELEASE,New Feature,Open,,10/09/2012 15:19,
MRELEASE-793,470406,MRELEASE,Improvement,Open,,04/09/2012 21:01,
MRELEASE-792,470407,MRELEASE,Task,Open,,04/09/2012 05:44,
MRELEASE-790,470408,MRELEASE,Bug,Closed,Duplicate,29/08/2012 19:16,30/08/2012 03:17
MRELEASE-789,470409,MRELEASE,Improvement,Closed,Fixed,26/08/2012 01:55,26/08/2012 03:12
MRELEASE-788,470410,MRELEASE,Bug,Open,,23/08/2012 02:53,
MRELEASE-787,470411,MRELEASE,Bug,Closed,Fixed,13/08/2012 05:06,02/12/2012 03:15
MRELEASE-786,470412,MRELEASE,Bug,Closed,Fixed,10/08/2012 02:43,30/10/2012 05:11
MRELEASE-785,470413,MRELEASE,Bug,Closed,Fixed,01/08/2012 07:29,03/10/2012 04:55
MRELEASE-784,470414,MRELEASE,Bug,Open,,31/07/2012 00:12,
