Key,ID,Project,IssueType,Status,Resolution,Created Date,Resolved Date
MRETRO-14,469498,MRETRO,Improvement,Closed,Fixed,02/06/2006 12:54,14/07/2006 07:24
MRETRO-38,469476,MRETRO,Bug,Open,,09/06/2010 07:07,
MRETRO-35,469477,MRETRO,Bug,Open,,18/03/2009 16:39,
MRETRO-34,469478,MRETRO,Bug,Open,,26/01/2009 20:51,
MRETRO-12,469500,MRETRO,Improvement,Closed,Fixed,27/01/2007 09:34,27/01/2007 09:35
MRETRO-33,469479,MRETRO,Bug,Open,,24/10/2008 17:32,
MRETRO-32,469480,MRETRO,New Feature,Open,,19/08/2008 07:14,
MRETRO-31,469481,MRETRO,Wish,Closed,Fixed,15/08/2008 00:17,04/09/2008 23:48
MRETRO-30,469482,MRETRO,Improvement,Open,,19/07/2008 20:21,
MRETRO-29,469483,MRETRO,Improvement,Open,,30/01/2008 21:52,
MRETRO-28,469484,MRETRO,Improvement,Open,,25/04/2008 04:58,
MRETRO-27,469485,MRETRO,Improvement,Open,,22/02/2008 18:31,
MRETRO-26,469486,MRETRO,Improvement,Closed,Fixed,22/02/2008 18:26,01/03/2008 16:07
MRETRO-25,469487,MRETRO,Bug,Open,,21/02/2008 22:51,
MRETRO-11,469501,MRETRO,Task,Closed,Fixed,02/02/2007 16:39,07/02/2007 13:46
MRETRO-24,469488,MRETRO,Bug,Open,,21/02/2008 20:21,
MRETRO-8,469504,MRETRO,New Feature,Closed,Fixed,04/03/2007 08:54,06/03/2007 06:42
MRETRO-23,469489,MRETRO,Bug,Closed,Fixed,10/01/2008 17:39,19/01/2008 06:42
MRETRO-22,469490,MRETRO,Improvement,Closed,Fixed,09/12/2007 06:04,09/12/2007 06:04
MRETRO-21,469491,MRETRO,New Feature,Closed,Fixed,09/12/2007 05:45,09/12/2007 05:46
MRETRO-20,469492,MRETRO,Bug,Open,,27/11/2007 17:17,
MRETRO-19,469493,MRETRO,Task,Open,,29/06/2007 15:34,
MRETRO-18,469494,MRETRO,Task,Closed,Fixed,08/06/2007 13:42,08/06/2007 14:14
MRETRO-17,469495,MRETRO,Improvement,Closed,Fixed,16/07/2006 08:49,25/02/2007 08:17
MRETRO-16,469496,MRETRO,Improvement,Closed,Won't Fix,16/07/2006 06:55,18/08/2006 02:06
MRETRO-15,469497,MRETRO,Improvement,Closed,Fixed,25/02/2007 08:40,28/02/2007 16:05
MRETRO-13,469499,MRETRO,Improvement,Closed,Fixed,27/02/2007 05:37,28/02/2007 15:54
MRETRO-10,469502,MRETRO,Task,Closed,Fixed,23/06/2006 06:41,02/10/2006 04:11
MRETRO-9,469503,MRETRO,New Feature,Closed,Fixed,28/06/2006 03:31,25/02/2007 08:16
MRETRO-7,469505,MRETRO,Bug,Closed,Fixed,06/10/2006 04:49,25/02/2007 08:18
MRETRO-6,469506,MRETRO,Bug,Closed,Fixed,03/07/2006 00:34,14/07/2006 08:05
MRETRO-5,469507,MRETRO,Bug,Closed,Fixed,03/07/2006 00:23,14/07/2006 07:17
MRETRO-4,469508,MRETRO,Bug,Closed,Fixed,14/07/2006 16:46,25/02/2007 08:21
MRETRO-3,469509,MRETRO,Bug,Closed,Fixed,26/08/2006 13:45,28/08/2006 15:50
MRETRO-2,469510,MRETRO,Bug,Closed,Fixed,31/05/2006 05:20,17/07/2006 06:28
MRETRO-1,469511,MRETRO,Bug,Closed,Fixed,16/07/2006 06:43,28/08/2006 15:49
