Key,ID,Project,IssueType,Status,Resolution,Created Date,Resolved Date
PROM-23,451262,PROM,Test,Open,,13/05/2007 02:12,
PROM-71,451164,PROM,Improvement,Resolved,Fixed,14/07/2007 15:20,14/07/2007 23:36
PROM-60,451175,PROM,New Feature,Open,,30/06/2007 23:24,
PROM-53,451182,PROM,New Feature,Open,,11/06/2007 01:52,
PROM-37,451198,PROM,Task,Resolved,Fixed,17/05/2007 22:02,19/05/2007 15:43
PROM-54,451181,PROM,New Feature,Open,,11/06/2007 04:08,
PROM-59,451176,PROM,New Feature,Open,,15/06/2007 17:53,
PROM-36,451199,PROM,Task,Resolved,Fixed,17/05/2007 16:33,19/05/2007 15:44
PROM-76,451160,PROM,Improvement,Open,,26/02/2010 00:40,
PROM-74,451161,PROM,New Feature,Open,,22/10/2007 23:04,
PROM-73,451162,PROM,New Feature,Open,,17/07/2007 13:49,
PROM-72,451163,PROM,New Feature,Open,,14/07/2007 15:22,
PROM-70,451165,PROM,New Feature,Open,,12/07/2007 14:29,
PROM-69,451166,PROM,New Feature,Open,,11/07/2007 03:49,
PROM-68,451167,PROM,New Feature,Open,,10/07/2007 21:15,
PROM-67,451168,PROM,New Feature,Open,,10/07/2007 13:45,
PROM-66,451169,PROM,New Feature,Open,,10/07/2007 02:19,
PROM-65,451170,PROM,Bug,Resolved,Fixed,03/07/2007 03:08,09/07/2007 00:17
PROM-63,451172,PROM,New Feature,Open,,01/07/2007 02:07,
PROM-62,451173,PROM,Improvement,Open,,01/07/2007 01:51,
PROM-61,451174,PROM,Improvement,Open,,01/07/2007 00:19,
PROM-11,451274,PROM,Test,Resolved,Fixed,13/05/2007 00:40,22/05/2007 13:50
PROM-58,451177,PROM,New Feature,Resolved,Fixed,14/06/2007 16:03,01/07/2007 00:24
PROM-57,451178,PROM,New Feature,Open,,11/06/2007 04:42,
PROM-56,451179,PROM,New Feature,Resolved,Fixed,11/06/2007 04:17,01/07/2007 00:22
PROM-55,451180,PROM,New Feature,Open,,11/06/2007 04:15,
PROM-52,451183,PROM,New Feature,Open,,11/06/2007 01:47,
PROM-51,451184,PROM,New Feature,Open,,11/06/2007 01:44,
PROM-50,451185,PROM,New Feature,Open,,11/06/2007 01:39,
PROM-49,451186,PROM,New Feature,Open,,11/06/2007 01:36,
PROM-48,451187,PROM,New Feature,Open,,11/06/2007 01:34,
PROM-47,451188,PROM,New Feature,Open,,11/06/2007 01:29,
PROM-45,451190,PROM,New Feature,Open,,23/05/2007 21:33,
PROM-44,451191,PROM,Test,Open,,20/05/2007 22:11,
PROM-43,451192,PROM,Test,Resolved,Fixed,20/05/2007 21:56,12/08/2007 01:37
PROM-42,451193,PROM,Test,Open,,20/05/2007 21:53,
PROM-41,451194,PROM,Task,Open,,19/05/2007 17:14,
PROM-40,451195,PROM,Test,Resolved,Fixed,18/05/2007 01:36,18/05/2007 01:37
PROM-38,451197,PROM,Task,Open,,17/05/2007 22:04,
PROM-35,451250,PROM,Task,Open,,17/05/2007 16:28,
PROM-34,451251,PROM,Task,Open,,17/05/2007 16:27,
PROM-33,451252,PROM,Task,Open,,17/05/2007 16:27,
PROM-24,451261,PROM,Test,Resolved,Fixed,13/05/2007 14:56,13/05/2007 15:34
PROM-32,451253,PROM,Task,Open,,17/05/2007 16:26,
PROM-31,451254,PROM,Test,Resolved,Won't Fix,13/05/2007 18:32,20/05/2007 21:21
PROM-30,451255,PROM,Bug,Open,,13/05/2007 16:13,
PROM-29,451256,PROM,Test,Resolved,Fixed,13/05/2007 16:09,13/05/2007 18:19
PROM-28,451257,PROM,New Feature,Resolved,Fixed,13/05/2007 15:24,01/07/2007 03:22
PROM-27,451258,PROM,New Feature,Resolved,Fixed,13/05/2007 15:21,01/07/2007 00:21
PROM-26,451259,PROM,Test,Open,,13/05/2007 15:11,
PROM-25,451260,PROM,Test,Open,,13/05/2007 15:01,
PROM-22,451263,PROM,Test,Resolved,Fixed,13/05/2007 01:19,11/08/2007 22:34
PROM-21,451264,PROM,Test,Resolved,Fixed,13/05/2007 01:16,11/08/2007 23:19
PROM-20,451265,PROM,Test,Resolved,Fixed,13/05/2007 01:13,13/05/2007 16:28
PROM-19,451266,PROM,Test,Resolved,Duplicate,13/05/2007 01:09,11/08/2007 23:23
PROM-18,451267,PROM,Test,Resolved,Fixed,13/05/2007 01:04,13/05/2007 20:02
PROM-17,451268,PROM,Test,Open,,13/05/2007 01:02,
PROM-16,451269,PROM,Test,Resolved,Fixed,13/05/2007 01:00,20/05/2007 21:47
PROM-15,451270,PROM,Test,Resolved,Fixed,13/05/2007 00:57,20/05/2007 21:16
PROM-14,451271,PROM,Test,Resolved,Fixed,13/05/2007 00:54,21/05/2007 00:31
PROM-13,451272,PROM,Test,Resolved,Fixed,13/05/2007 00:51,13/05/2007 20:39
PROM-12,451273,PROM,Test,Resolved,Fixed,13/05/2007 00:49,18/05/2007 01:33
PROM-10,451275,PROM,Test,Resolved,Fixed,13/05/2007 00:31,14/05/2007 17:41
PROM-9,451276,PROM,Test,Resolved,Fixed,11/05/2007 19:54,09/07/2007 00:19
PROM-8,451277,PROM,New Feature,Open,,05/05/2007 15:26,
PROM-7,451278,PROM,Test,Open,,05/05/2007 15:08,
PROM-6,451279,PROM,Improvement,Open,,05/05/2007 14:54,
PROM-5,451280,PROM,Improvement,Open,,05/05/2007 14:50,
PROM-4,451281,PROM,Improvement,Open,,05/05/2007 14:43,
PROM-3,451282,PROM,Improvement,Resolved,Fixed,05/05/2007 14:39,05/05/2007 14:39
PROM-2,451283,PROM,Wish,Open,,05/05/2007 14:36,
PROM-1,451284,PROM,Improvement,Open,,26/04/2007 03:14,
