Key,ID,Project,IssueType,Status,Resolution,Created Date,Resolved Date
QUAERE-26,450479,QUAERE,Improvement,In Progress,,03/10/2007 05:41,
QUAERE-25,450480,QUAERE,Bug,Closed,Fixed,02/10/2007 04:24,02/10/2007 04:31
QUAERE-21,450484,QUAERE,Bug,Closed,Fixed,27/09/2007 19:07,25/10/2007 17:11
QUAERE-5,450550,QUAERE,New Feature,Closed,Fixed,25/09/2007 21:19,27/09/2007 05:55
QUAERE-43,450462,QUAERE,Bug,Closed,Fixed,06/12/2007 06:04,06/12/2007 06:07
QUAERE-40,450465,QUAERE,Improvement,Closed,Fixed,04/12/2007 02:08,08/01/2008 05:47
QUAERE-49,450457,QUAERE,New Feature,Open,,13/01/2012 03:35,
QUAERE-47,450458,QUAERE,New Feature,Open,,14/05/2009 00:22,
QUAERE-46,450459,QUAERE,Bug,Open,,24/03/2009 02:39,
QUAERE-45,450460,QUAERE,Improvement,Open,,15/01/2008 22:14,
QUAERE-44,450461,QUAERE,Bug,Resolved,Fixed,08/12/2007 05:27,07/01/2008 03:56
QUAERE-42,450463,QUAERE,Improvement,In Progress,,04/12/2007 03:33,
QUAERE-41,450464,QUAERE,Bug,Closed,Fixed,04/12/2007 02:24,04/12/2007 02:36
QUAERE-39,450466,QUAERE,Bug,In Progress,,30/11/2007 08:01,
QUAERE-38,450467,QUAERE,Bug,Closed,Fixed,30/11/2007 07:35,30/11/2007 18:10
QUAERE-37,450468,QUAERE,Bug,Closed,Fixed,30/11/2007 05:26,30/11/2007 17:30
QUAERE-28,450477,QUAERE,Improvement,In Progress,,05/10/2007 12:21,
QUAERE-27,450478,QUAERE,Improvement,Resolved,Fixed,05/10/2007 12:16,09/10/2007 05:55
QUAERE-36,450469,QUAERE,New Feature,In Progress,,30/11/2007 00:22,
QUAERE-35,450470,QUAERE,Bug,Closed,Fixed,29/11/2007 22:58,30/11/2007 04:46
QUAERE-33,450472,QUAERE,Bug,Resolved,Fixed,11/11/2007 09:00,07/01/2008 16:04
QUAERE-32,450473,QUAERE,Improvement,Resolved,Won't Fix,10/11/2007 23:13,04/12/2007 05:19
QUAERE-31,450474,QUAERE,Improvement,Closed,Fixed,10/11/2007 23:01,03/12/2007 04:45
QUAERE-24,450481,QUAERE,New Feature,Open,,02/10/2007 03:02,
QUAERE-23,450482,QUAERE,New Feature,Closed,Fixed,02/10/2007 03:00,02/10/2007 04:36
QUAERE-22,450483,QUAERE,Improvement,Open,,29/09/2007 04:31,
QUAERE-19,450486,QUAERE,Improvement,Open,,26/09/2007 20:59,
QUAERE-18,450487,QUAERE,New Feature,Open,,26/09/2007 20:52,
QUAERE-17,450488,QUAERE,New Feature,In Progress,,26/09/2007 20:49,
QUAERE-16,450489,QUAERE,New Feature,Closed,Fixed,26/09/2007 20:43,28/10/2007 05:49
QUAERE-15,450490,QUAERE,New Feature,Closed,Fixed,26/09/2007 20:42,27/10/2007 04:28
QUAERE-14,450491,QUAERE,New Feature,Closed,Fixed,26/09/2007 20:42,27/10/2007 04:30
QUAERE-13,450492,QUAERE,New Feature,Closed,Fixed,26/09/2007 20:41,28/10/2007 05:49
QUAERE-12,450493,QUAERE,New Feature,Closed,Fixed,26/09/2007 20:39,28/10/2007 05:49
QUAERE-10,450495,QUAERE,New Feature,Closed,Fixed,25/09/2007 21:23,27/09/2007 04:14
QUAERE-9,450496,QUAERE,New Feature,Closed,Fixed,25/09/2007 21:22,26/09/2007 17:20
QUAERE-8,450497,QUAERE,New Feature,Open,,25/09/2007 21:22,
QUAERE-7,450498,QUAERE,New Feature,Closed,Fixed,25/09/2007 21:21,20/11/2007 22:36
QUAERE-6,450499,QUAERE,New Feature,Open,,25/09/2007 21:21,
QUAERE-4,450551,QUAERE,Improvement,Open,,25/09/2007 17:55,
QUAERE-3,450552,QUAERE,Bug,In Progress,,25/09/2007 17:50,
QUAERE-2,450553,QUAERE,Improvement,Closed,Fixed,21/09/2007 21:37,02/10/2007 04:36
QUAERE-1,450554,QUAERE,Improvement,Resolved,Fixed,21/09/2007 21:34,25/09/2007 17:31
