Key,ID,Project,IssueType,Status,Resolution,Created Date,Resolved Date
SONARIDE-96,436457,SONARIDE,New Feature,Closed,Fixed,30/05/2010 18:33,03/06/2010 19:01
SONARIDE-85,436467,SONARIDE,New Feature,Closed,Fixed,22/05/2010 08:36,29/05/2010 09:42
SONARIDE-146,436360,SONARIDE,Improvement,Closed,Fixed,13/09/2010 18:30,21/09/2010 00:33
SONARIDE-91,436461,SONARIDE,Bug,Closed,Fixed,27/05/2010 22:59,27/05/2010 23:03
SONARIDE-71,436481,SONARIDE,Improvement,Closed,Fixed,11/05/2010 08:06,12/10/2010 20:32
SONARIDE-117,436388,SONARIDE,New Feature,Closed,Fixed,10/06/2010 06:44,23/06/2010 20:38
SONARIDE-281,436077,SONARIDE,New Feature,Closed,Fixed,28/11/2011 19:31,07/03/2013 17:47
SONARIDE-264,436094,SONARIDE,Improvement,Closed,Fixed,12/07/2011 16:40,14/11/2011 17:55
SONARIDE-401,435861,SONARIDE,New Feature,Open,,26/08/2013 16:09,
SONARIDE-400,435862,SONARIDE,Improvement,Open,,13/08/2013 20:16,
SONARIDE-94,436459,SONARIDE,Improvement,Closed,Won't Fix,29/05/2010 05:26,11/07/2011 07:07
SONARIDE-418,435794,SONARIDE,Improvement,Open,,25/11/2013 18:40,
SONARIDE-417,435795,SONARIDE,Bug,Open,,25/11/2013 17:03,
SONARIDE-416,435796,SONARIDE,Improvement,Open,,20/11/2013 23:46,
SONARIDE-415,435797,SONARIDE,Improvement,Open,,31/10/2013 22:18,
SONARIDE-370,435891,SONARIDE,Improvement,Closed,Fixed,05/04/2013 23:11,06/05/2013 18:56
SONARIDE-408,435854,SONARIDE,Improvement,Open,,18/10/2013 22:41,
SONARIDE-407,435855,SONARIDE,Improvement,Open,,17/10/2013 23:52,
SONARIDE-406,435856,SONARIDE,Task,Closed,Fixed,14/10/2013 23:26,24/10/2013 17:39
SONARIDE-405,435857,SONARIDE,Improvement,Open,,10/10/2013 16:04,
SONARIDE-404,435858,SONARIDE,Task,Open,,17/09/2013 15:59,
SONARIDE-403,435859,SONARIDE,Improvement,Open,,02/09/2013 18:06,
SONARIDE-402,435860,SONARIDE,Bug,Open,,29/08/2013 22:29,
SONARIDE-399,435863,SONARIDE,Improvement,Open,,08/08/2013 20:51,
SONARIDE-398,435864,SONARIDE,Bug,Open,,07/08/2013 15:41,
SONARIDE-397,435865,SONARIDE,Improvement,Closed,Fixed,07/08/2013 15:21,25/10/2013 00:10
SONARIDE-395,435867,SONARIDE,Improvement,Open,,25/07/2013 16:28,
SONARIDE-394,435868,SONARIDE,Improvement,Open,,25/07/2013 16:24,
SONARIDE-392,435870,SONARIDE,Task,Open,,04/07/2013 15:52,
SONARIDE-391,435871,SONARIDE,Improvement,Closed,Fixed,02/07/2013 00:54,24/10/2013 23:26
SONARIDE-389,435872,SONARIDE,Improvement,Closed,Fixed,26/06/2013 17:10,18/10/2013 15:54
SONARIDE-388,435873,SONARIDE,Improvement,Open,,12/06/2013 17:12,
SONARIDE-387,435874,SONARIDE,Task,Closed,Fixed,12/06/2013 00:36,24/10/2013 21:43
SONARIDE-386,435875,SONARIDE,Improvement,Closed,Fixed,10/06/2013 20:28,14/11/2013 18:23
SONARIDE-385,435876,SONARIDE,Improvement,Open,,07/06/2013 23:30,
SONARIDE-384,435877,SONARIDE,Improvement,Open,,07/06/2013 22:19,
SONARIDE-383,435878,SONARIDE,Improvement,Closed,Fixed,07/06/2013 20:51,03/12/2013 18:53
SONARIDE-382,435879,SONARIDE,New Feature,Closed,Duplicate,22/05/2013 23:14,17/10/2013 22:02
SONARIDE-381,435880,SONARIDE,Improvement,Closed,Fixed,15/05/2013 19:38,16/05/2013 16:10
SONARIDE-380,435881,SONARIDE,Bug,Open,,14/05/2013 19:54,
SONARIDE-379,435882,SONARIDE,Task,Closed,Fixed,07/05/2013 17:19,30/05/2013 23:14
SONARIDE-378,435883,SONARIDE,New Feature,Closed,Duplicate,27/04/2013 22:03,01/05/2013 05:38
SONARIDE-377,435884,SONARIDE,Task,Closed,Fixed,19/04/2013 21:36,16/05/2013 16:14
SONARIDE-376,435885,SONARIDE,Bug,Closed,Not A Bug,16/04/2013 15:09,16/04/2013 15:14
