Key,ID,Project,IssueType,Status,Resolution,Created Date,Resolved Date
SUREFIRE-26,429626,SUREFIRE,Bug,Closed,Fixed,04/01/2006 01:47,04/01/2006 01:59
SUREFIRE-27,429625,SUREFIRE,Improvement,Closed,Fixed,04/01/2006 02:43,04/01/2006 02:52
SUREFIRE-1,429701,SUREFIRE,Task,Closed,Fixed,01/09/2004 06:29,10/08/2005 09:54
SUREFIRE-928,427782,SUREFIRE,Bug,Open,,25/11/2012 04:42,
SUREFIRE-151,429401,SUREFIRE,Bug,Closed,Fixed,28/01/2006 12:07,01/04/2006 20:01
SUREFIRE-102,429500,SUREFIRE,Bug,Closed,Cannot Reproduce,25/05/2006 17:19,23/11/2007 14:46
SUREFIRE-1047,427563,SUREFIRE,Improvement,Open,,19/12/2013 11:58,
SUREFIRE-1046,427564,SUREFIRE,Bug,Closed,Fixed,19/12/2013 01:26,19/12/2013 01:50
SUREFIRE-1045,427565,SUREFIRE,Bug,Closed,Duplicate,07/12/2013 00:47,08/12/2013 02:20
SUREFIRE-1044,427566,SUREFIRE,Bug,Open,,05/12/2013 04:31,
SUREFIRE-1040,427570,SUREFIRE,Bug,Closed,Fixed,14/10/2013 03:08,22/10/2013 02:42
SUREFIRE-1043,427567,SUREFIRE,Improvement,Open,,03/12/2013 19:37,
SUREFIRE-1042,427568,SUREFIRE,Bug,Open,,16/11/2013 15:52,
SUREFIRE-1041,427569,SUREFIRE,Bug,Open,,13/11/2013 08:54,
SUREFIRE-1039,427571,SUREFIRE,Bug,Closed,Not A Bug,13/10/2013 22:54,14/10/2013 02:33
SUREFIRE-1038,427572,SUREFIRE,Bug,Open,,10/10/2013 02:51,
SUREFIRE-1037,427573,SUREFIRE,Bug,Open,,03/10/2013 18:03,
SUREFIRE-1036,427574,SUREFIRE,Bug,Open,,19/09/2013 23:11,
SUREFIRE-1035,427575,SUREFIRE,Improvement,Open,,19/09/2013 17:48,
SUREFIRE-1034,427576,SUREFIRE,Bug,Reopened,,16/09/2013 20:45,
SUREFIRE-1033,427577,SUREFIRE,Bug,Closed,Fixed,12/09/2013 11:32,14/09/2013 17:55
SUREFIRE-1032,427578,SUREFIRE,Improvement,Open,,09/09/2013 21:47,
SUREFIRE-1031,427579,SUREFIRE,Bug,Open,,05/09/2013 17:11,
SUREFIRE-1030,427580,SUREFIRE,Improvement,Closed,Fixed,05/09/2013 13:14,22/10/2013 02:43
SUREFIRE-1029,427581,SUREFIRE,Improvement,Closed,Not A Bug,05/09/2013 05:44,05/09/2013 13:40
SUREFIRE-1028,427582,SUREFIRE,Bug,Open,,04/09/2013 12:56,
SUREFIRE-1027,427583,SUREFIRE,Bug,Closed,Not A Bug,30/08/2013 00:51,30/08/2013 18:07
SUREFIRE-1026,427584,SUREFIRE,Wish,Open,,29/08/2013 17:39,
SUREFIRE-1025,427585,SUREFIRE,Wish,Open,,28/08/2013 21:29,
SUREFIRE-1024,427586,SUREFIRE,Bug,Open,,26/08/2013 20:11,
SUREFIRE-1023,427587,SUREFIRE,Bug,Open,,16/08/2013 15:26,
SUREFIRE-1022,427588,SUREFIRE,Bug,Closed,Duplicate,14/08/2013 00:40,14/08/2013 01:23
SUREFIRE-1021,427589,SUREFIRE,Improvement,Closed,Fixed,10/08/2013 02:32,10/08/2013 03:29
SUREFIRE-1020,427590,SUREFIRE,Bug,Closed,Fixed,26/07/2013 19:59,10/08/2013 05:04
SUREFIRE-1019,427591,SUREFIRE,Bug,Closed,Fixed,26/07/2013 04:13,27/07/2013 02:53
SUREFIRE-1018,427592,SUREFIRE,Bug,Closed,Won't Fix,25/07/2013 20:20,10/08/2013 03:43
SUREFIRE-1017,427593,SUREFIRE,Improvement,Open,,25/07/2013 19:53,
SUREFIRE-1016,427594,SUREFIRE,Bug,Closed,Fixed,13/07/2013 07:33,14/07/2013 07:38
SUREFIRE-1015,427595,SUREFIRE,Bug,Closed,Fixed,13/07/2013 07:06,14/07/2013 04:47
SUREFIRE-1014,427596,SUREFIRE,Bug,Closed,Duplicate,12/07/2013 18:26,10/08/2013 05:00
SUREFIRE-1013,427597,SUREFIRE,Task,Closed,Fixed,07/07/2013 04:47,08/07/2013 23:10
SUREFIRE-1012,427598,SUREFIRE,Bug,Closed,Fixed,05/07/2013 18:20,10/07/2013 06:15
SUREFIRE-1011,427599,SUREFIRE,Bug,Closed,Incomplete,30/06/2013 21:10,26/07/2013 01:18
SUREFIRE-1010,427650,SUREFIRE,Bug,Closed,Duplicate,30/06/2013 20:49,01/07/2013 02:14
SUREFIRE-1009,427651,SUREFIRE,Bug,Closed,Duplicate,28/06/2013 19:17,28/06/2013 19:19
SUREFIRE-1008,427652,SUREFIRE,Bug,Closed,Fixed,28/06/2013 17:01,10/08/2013 04:56
SUREFIRE-1007,427653,SUREFIRE,Bug,Closed,Fixed,27/06/2013 01:46,21/08/2013 14:56
SUREFIRE-1006,427654,SUREFIRE,Bug,Closed,Fixed,23/06/2013 09:30,24/06/2013 23:49
SUREFIRE-1005,427655,SUREFIRE,Bug,Closed,Fixed,14/06/2013 00:44,17/06/2013 04:13
SUREFIRE-1004,427656,SUREFIRE,Improvement,Open,,12/06/2013 03:08,
SUREFIRE-1003,427657,SUREFIRE,Bug,Closed,Fixed,11/06/2013 03:02,11/06/2013 05:17
SUREFIRE-1002,427658,SUREFIRE,Improvement,Closed,Fixed,10/06/2013 04:01,10/06/2013 04:02
SUREFIRE-1001,427659,SUREFIRE,Bug,Open,,07/06/2013 14:26,
SUREFIRE-1000,427660,SUREFIRE,Bug,Open,,04/06/2013 20:41,
SUREFIRE-999,427661,SUREFIRE,Bug,Closed,Fixed,30/05/2013 03:41,04/06/2013 00:32
SUREFIRE-998,427662,SUREFIRE,Bug,Closed,Fixed,29/05/2013 03:24,11/08/2013 05:15
SUREFIRE-997,427663,SUREFIRE,Improvement,Open,,20/05/2013 19:34,
SUREFIRE-989,427671,SUREFIRE,Bug,Closed,Fixed,16/04/2013 14:05,28/04/2013 07:22
SUREFIRE-996,427664,SUREFIRE,Bug,Closed,Fixed,15/05/2013 23:03,29/05/2013 01:16
SUREFIRE-995,427665,SUREFIRE,Improvement,Open,,14/05/2013 02:21,
SUREFIRE-994,427666,SUREFIRE,Bug,Open,,13/05/2013 14:26,
SUREFIRE-993,427667,SUREFIRE,Improvement,Closed,Not A Bug,13/05/2013 09:44,15/05/2013 00:03
SUREFIRE-992,427668,SUREFIRE,Bug,Closed,Fixed,28/04/2013 12:23,01/05/2013 22:55
