Key,ID,Project,IssueType,Status,Resolution,Created Date,Resolved Date
BUILDTRK-10,691873,BUILDTRK,Task,Open,,01/02/2013 23:24,
BUILDTRK-9,691874,BUILDTRK,Task,Open,,31/01/2013 00:46,
BUILDTRK-8,691875,BUILDTRK,Task,Open,,30/01/2013 23:19,
BUILDTRK-7,691876,BUILDTRK,Task,Resolved,Done,30/01/2013 21:57,30/01/2013 23:43
BUILDTRK-2,691881,BUILDTRK,Task,Resolved,Done,30/01/2013 21:44,31/01/2013 00:17
BUILDTRK-6,691877,BUILDTRK,Task,Resolved,Done,30/01/2013 21:55,15/02/2013 02:05
BUILDTRK-5,691878,BUILDTRK,Task,Open,,30/01/2013 21:52,
BUILDTRK-4,691879,BUILDTRK,Task,Open,,30/01/2013 21:49,
BUILDTRK-52,691831,BUILDTRK,Feature Request,Coding In Progress,,04/12/2013 20:21,
BUILDTRK-51,691832,BUILDTRK,Task,Open,,21/11/2013 20:56,
BUILDTRK-33,691850,BUILDTRK,Task,Resolved,Done,10/10/2013 23:12,20/11/2013 21:13
BUILDTRK-3,691880,BUILDTRK,Task,Resolved,Done,30/01/2013 21:48,30/01/2013 21:48
BUILDTRK-1,691882,BUILDTRK,Task,Resolved,Done,30/01/2013 21:42,25/03/2013 21:50
BUILDTRK-50,691833,BUILDTRK,Feature Request,Open,,21/11/2013 20:48,
BUILDTRK-49,691834,BUILDTRK,Feature Request,Resolved,Done,15/11/2013 23:56,21/11/2013 20:58
BUILDTRK-48,691835,BUILDTRK,Feature Request,Open,,12/11/2013 20:09,
BUILDTRK-47,691836,BUILDTRK,Enhancement,Open,,12/11/2013 01:29,
BUILDTRK-46,691837,BUILDTRK,Feature Request,Open,,06/11/2013 22:03,
BUILDTRK-45,691838,BUILDTRK,Task,Resolved,Done,06/11/2013 20:16,21/11/2013 00:31
BUILDTRK-44,691839,BUILDTRK,Bug,Resolved,Done,06/11/2013 20:04,14/11/2013 20:38
BUILDTRK-43,691840,BUILDTRK,Task,Open,,30/10/2013 00:22,
BUILDTRK-42,691841,BUILDTRK,Quality Risk,Open,,29/10/2013 22:38,
BUILDTRK-41,691842,BUILDTRK,Task,Resolved,Done,29/10/2013 21:44,26/11/2013 00:30
BUILDTRK-40,691843,BUILDTRK,Feature Request,Open,,29/10/2013 21:30,
BUILDTRK-39,691844,BUILDTRK,Release,Open,,24/10/2013 17:38,
BUILDTRK-38,691845,BUILDTRK,Quality Risk,Resolved,Done,23/10/2013 23:15,15/11/2013 21:45
BUILDTRK-37,691846,BUILDTRK,Quality Risk,Resolved,Done,23/10/2013 23:08,15/11/2013 21:31
BUILDTRK-36,691847,BUILDTRK,Feature Request,Resolved,Done,23/10/2013 00:19,31/10/2013 17:42
BUILDTRK-35,691848,BUILDTRK,Feature Request,Resolved,Done,23/10/2013 00:17,29/10/2013 20:47
BUILDTRK-34,691849,BUILDTRK,Documentation,Resolved,Done,22/10/2013 23:39,29/10/2013 19:06
BUILDTRK-12,691871,BUILDTRK,Task,Resolved,Done,06/03/2013 23:54,22/03/2013 00:01
BUILDTRK-32,691851,BUILDTRK,Quality Risk,Resolved,Done,10/10/2013 02:00,29/10/2013 20:44
BUILDTRK-31,691852,BUILDTRK,Enhancement,Resolved,Done,08/10/2013 22:17,10/10/2013 21:06
BUILDTRK-30,691853,BUILDTRK,Enhancement,Resolved,Done,27/09/2013 14:45,30/10/2013 00:00
BUILDTRK-29,691854,BUILDTRK,Enhancement,Resolved,Done,24/09/2013 00:13,15/11/2013 21:30
BUILDTRK-28,691855,BUILDTRK,Enhancement,Resolved,Done,19/09/2013 23:39,15/10/2013 21:09
BUILDTRK-27,691856,BUILDTRK,Feature Request,Resolved,Done,19/09/2013 20:43,27/09/2013 20:35
BUILDTRK-26,691857,BUILDTRK,Feature Request,Open,,12/09/2013 22:34,
BUILDTRK-25,691858,BUILDTRK,Feature Request,Resolved,Done,12/09/2013 21:34,10/10/2013 17:31
BUILDTRK-24,691859,BUILDTRK,Feature Request,Open,,12/09/2013 21:32,
BUILDTRK-23,691860,BUILDTRK,Quality Risk,Resolved,Done,09/09/2013 22:16,12/09/2013 16:46
BUILDTRK-22,691861,BUILDTRK,Feature Request,Resolved,Done,05/09/2013 23:32,17/09/2013 23:30
BUILDTRK-21,691862,BUILDTRK,Feature Request,Resolved,Done,05/09/2013 23:26,17/09/2013 23:31
BUILDTRK-20,691863,BUILDTRK,Feature Request,Open,,05/09/2013 23:04,
BUILDTRK-19,691864,BUILDTRK,Feature Request,Open,,05/09/2013 23:03,
BUILDTRK-18,691865,BUILDTRK,Feature Request,Resolved,Done,05/09/2013 22:58,30/10/2013 21:43
BUILDTRK-17,691866,BUILDTRK,Feature Request,Open,,05/09/2013 22:56,
BUILDTRK-16,691867,BUILDTRK,Feature Request,Open,,26/07/2013 00:29,
BUILDTRK-15,691868,BUILDTRK,Task,Resolved,Done,28/03/2013 01:50,03/04/2013 20:54
BUILDTRK-14,691869,BUILDTRK,Task,Resolved,Done,28/03/2013 01:44,23/04/2013 23:13
BUILDTRK-13,691870,BUILDTRK,Feature Request,Open,,14/03/2013 23:48,
BUILDTRK-11,691872,BUILDTRK,Feature Request,Resolved,Done,07/02/2013 21:27,13/05/2013 23:41
