Key,ID,Project,IssueType,Status,Resolution,Created Date,Resolved Date
AMQP-142,414596,AMQP,Task,Closed,Complete,01/04/2011 00:15,12/07/2011 18:11
AMQP-50,414786,AMQP,Task,Open,,06/08/2010 04:46,
AMQP-35,414851,AMQP,Task,Closed,Complete,03/08/2010 02:17,28/06/2011 02:56
AMQP-130,414708,AMQP,Task,Closed,Complete,24/03/2011 02:06,25/03/2011 17:59
AMQP-335,414257,AMQP,Task,Resolved,Complete,25/09/2013 21:29,04/10/2013 17:30
AMQP-47,414789,AMQP,Improvement,Closed,Complete,06/08/2010 04:43,11/11/2010 16:47
AMQP-39,414797,AMQP,New Feature,Open,,06/08/2010 04:20,
AMQP-294,414298,AMQP,Refactoring,Closed,Complete,30/01/2013 11:10,22/03/2013 02:29
AMQP-293,414299,AMQP,Task,Closed,Complete,29/01/2013 23:59,30/01/2013 11:06
AMQP-248,414394,AMQP,Task,Closed,Complete,03/07/2012 22:29,14/07/2012 02:50
AMQP-271,414371,AMQP,Improvement,Closed,Complete,28/09/2012 23:42,30/03/2013 02:18
AMQP-204,414488,AMQP,Improvement,Closed,Complete,26/11/2011 16:09,31/05/2012 01:33
AMQP-284,414358,AMQP,Task,Closed,Complete,19/11/2012 21:48,05/01/2013 05:51
AMQP-115,414723,AMQP,Refactoring,Closed,Complete,14/03/2011 19:40,14/03/2011 19:46
AMQP-283,414359,AMQP,Task,Closed,Complete,19/11/2012 21:43,07/03/2013 07:25
AMQP-315,414277,AMQP,New Feature,Closed,Complete,01/06/2013 04:06,01/06/2013 05:05
AMQP-62,414774,AMQP,New Feature,Closed,Complete,29/09/2010 23:27,20/06/2013 01:36
AMQP-322,414270,AMQP,Improvement,Closed,Invalid,15/06/2013 23:41,28/11/2013 04:43
AMQP-349,414193,AMQP,Bug,Open,,18/12/2013 02:02,
AMQP-348,414194,AMQP,New Feature,In Progress,,17/12/2013 05:56,
AMQP-331,414261,AMQP,Bug,Resolved,Complete,06/09/2013 09:26,06/09/2013 23:46
AMQP-347,414195,AMQP,Improvement,In Progress,,13/12/2013 01:21,
AMQP-346,414196,AMQP,Bug,In Progress,,12/12/2013 22:16,
AMQP-345,414197,AMQP,New Feature,In Progress,,12/12/2013 11:00,
AMQP-344,414198,AMQP,Task,Resolved,Complete,11/12/2013 00:08,11/12/2013 01:19
AMQP-343,414199,AMQP,Bug,Resolved,Complete,10/12/2013 23:51,11/12/2013 02:54
AMQP-342,414250,AMQP,Defect,Resolved,Complete,09/12/2013 17:49,10/12/2013 23:52
AMQP-341,414251,AMQP,Defect,Resolved,Complete,29/11/2013 02:46,03/12/2013 00:01
AMQP-340,414252,AMQP,Bug,Resolved,Complete,19/11/2013 01:41,03/12/2013 04:39
AMQP-339,414253,AMQP,Task,Resolved,Complete,02/11/2013 01:06,05/11/2013 00:02
AMQP-338,414254,AMQP,Bug,Resolved,Complete,29/10/2013 02:18,30/10/2013 18:59
AMQP-337,414255,AMQP,Improvement,Resolved,Complete,16/10/2013 05:15,03/12/2013 19:12
AMQP-336,414256,AMQP,Improvement,Resolved,Complete,27/09/2013 02:37,27/09/2013 05:00
AMQP-334,414258,AMQP,Improvement,Resolved,Complete,24/09/2013 03:43,03/12/2013 04:54
AMQP-333,414259,AMQP,Bug,Closed,Invalid,18/09/2013 16:38,18/09/2013 21:43
AMQP-332,414260,AMQP,Bug,Resolved,Complete,11/09/2013 21:35,21/09/2013 00:08
AMQP-330,414262,AMQP,Bug,Resolved,Complete,30/08/2013 18:30,20/09/2013 22:49
AMQP-329,414263,AMQP,Bug,Open,,20/08/2013 10:46,
AMQP-323,414269,AMQP,Improvement,Closed,Complete,17/06/2013 22:35,20/06/2013 01:38
AMQP-321,414271,AMQP,Task,Closed,Complete,15/06/2013 02:41,20/06/2013 01:37
AMQP-328,414264,AMQP,Bug,Resolved,Duplicate,09/08/2013 03:34,09/08/2013 21:40
AMQP-327,414265,AMQP,Bug,Closed,Complete,28/06/2013 20:13,10/07/2013 22:33
AMQP-326,414266,AMQP,Task,Closed,Complete,24/06/2013 21:22,13/07/2013 01:02
AMQP-325,414267,AMQP,Task,Closed,Complete,20/06/2013 19:25,20/06/2013 22:23
AMQP-324,414268,AMQP,Task,Closed,Complete,20/06/2013 02:31,20/06/2013 04:08
AMQP-296,414296,AMQP,Bug,Closed,Complete,01/03/2013 03:27,23/03/2013 04:50
AMQP-320,414272,AMQP,Improvement,Closed,Complete,14/06/2013 09:08,18/06/2013 22:59
AMQP-319,414273,AMQP,Improvement,Closed,Complete,13/06/2013 16:51,18/06/2013 23:28
AMQP-318,414274,AMQP,New Feature,Open,,13/06/2013 16:04,
AMQP-317,414275,AMQP,Task,Closed,Complete,11/06/2013 20:01,20/06/2013 02:34
AMQP-288,414354,AMQP,Task,Closed,Duplicate,02/01/2013 22:15,01/03/2013 03:39
AMQP-270,414372,AMQP,Bug,Closed,Complete,19/09/2012 17:25,03/03/2013 01:47
AMQP-316,414276,AMQP,Improvement,Open,,06/06/2013 15:52,
AMQP-314,414278,AMQP,Task,Closed,Complete,30/05/2013 00:59,18/06/2013 12:36
AMQP-313,414279,AMQP,Task,Closed,Complete,30/05/2013 00:31,30/05/2013 02:34
AMQP-312,414280,AMQP,New Feature,Open,,10/05/2013 06:38,
