Key,ID,Project,IssueType,Status,Resolution,Created Date,Resolved Date
DATAMONGO-335,405165,DATAMONGO,Task,Closed,Fixed,01/12/2011 23:05,02/12/2011 00:11
DATAMONGO-774,404729,DATAMONGO,Improvement,Closed,Fixed,09/10/2013 16:45,17/10/2013 22:20
DATAMONGO-357,405143,DATAMONGO,Task,Closed,Complete,22/12/2011 23:24,09/02/2012 22:06
DATAMONGO-356,405144,DATAMONGO,New Feature,Closed,Fixed,20/12/2011 21:53,10/03/2012 00:55
DATAMONGO-355,405145,DATAMONGO,Task,Closed,Fixed,20/12/2011 21:46,23/12/2011 15:41
DATAMONGO-634,404868,DATAMONGO,Improvement,Closed,Fixed,26/03/2013 00:15,26/03/2013 00:35
DATAMONGO-633,404869,DATAMONGO,Improvement,Closed,Fixed,26/03/2013 00:10,26/03/2013 00:13
DATAMONGO-632,404870,DATAMONGO,Improvement,Closed,Fixed,25/03/2013 23:43,26/03/2013 01:46
DATAMONGO-529,404971,DATAMONGO,Improvement,Closed,Fixed,06/09/2012 20:29,12/09/2012 16:14
DATAMONGO-528,404972,DATAMONGO,Task,Closed,Fixed,04/09/2012 19:01,17/09/2012 21:05
DATAMONGO-527,404973,DATAMONGO,Bug,Closed,Fixed,04/09/2012 00:30,04/09/2012 13:45
DATAMONGO-14,405480,DATAMONGO,New Feature,Closed,Complete,02/12/2010 05:01,27/01/2011 04:23
DATAMONGO-13,405481,DATAMONGO,Improvement,Closed,Complete,02/12/2010 05:00,03/12/2010 02:43
DATAMONGO-610,404892,DATAMONGO,Bug,Waiting for Feedback,,08/02/2013 19:21,
DATAMONGO-609,404893,DATAMONGO,Task,Closed,Fixed,08/02/2013 18:55,08/02/2013 20:32
DATAMONGO-608,404894,DATAMONGO,Task,Closed,Fixed,08/02/2013 18:54,08/02/2013 20:26
DATAMONGO-597,404905,DATAMONGO,Task,Closed,Fixed,18/01/2013 17:38,02/04/2013 19:22
DATAMONGO-656,404846,DATAMONGO,Improvement,Closed,Fixed,17/04/2013 16:24,17/04/2013 16:43
DATAMONGO-637,404865,DATAMONGO,Improvement,Closed,Fixed,27/03/2013 18:18,27/03/2013 18:33
DATAMONGO-636,404866,DATAMONGO,Improvement,Closed,Fixed,27/03/2013 00:37,27/03/2013 01:17
DATAMONGO-138,405358,DATAMONGO,Improvement,Closed,Complete,17/05/2011 22:33,24/05/2011 12:56
DATAMONGO-334,405166,DATAMONGO,Task,Closed,Fixed,01/12/2011 23:02,02/12/2011 00:11
DATAMONGO-526,404974,DATAMONGO,Improvement,Closed,Fixed,03/09/2012 21:22,04/09/2012 13:46
DATAMONGO-619,404883,DATAMONGO,New Feature,Open,,22/02/2013 23:21,
DATAMONGO-618,404884,DATAMONGO,Improvement,Open,,21/02/2013 03:35,
DATAMONGO-438,405062,DATAMONGO,Improvement,Open,,02/05/2012 20:02,
DATAMONGO-784,404720,DATAMONGO,New Feature,Open,,24/10/2013 22:02,
DATAMONGO-794,404710,DATAMONGO,New Feature,Open,,06/11/2013 05:42,
DATAMONGO-785,404719,DATAMONGO,Improvement,Resolved,Duplicate,25/10/2013 16:26,11/12/2013 22:16
DATAMONGO-816,404688,DATAMONGO,Bug,Open,,18/12/2013 16:36,
DATAMONGO-815,404689,DATAMONGO,Improvement,Open,,13/12/2013 23:20,
DATAMONGO-814,404690,DATAMONGO,Bug,Resolved,Works as Designed,13/12/2013 13:56,13/12/2013 19:26
DATAMONGO-813,404691,DATAMONGO,Improvement,Resolved,Fixed,11/12/2013 06:26,13/12/2013 22:23
DATAMONGO-812,404692,DATAMONGO,Bug,Open,,11/12/2013 00:26,
DATAMONGO-811,404693,DATAMONGO,Bug,Open,,10/12/2013 23:50,
DATAMONGO-810,404694,DATAMONGO,Task,Closed,Fixed,10/12/2013 20:55,12/12/2013 19:46
DATAMONGO-809,404695,DATAMONGO,Improvement,Open,,10/12/2013 00:06,
DATAMONGO-808,404696,DATAMONGO,Bug,Resolved,Fixed,09/12/2013 10:55,13/12/2013 22:02
DATAMONGO-807,404697,DATAMONGO,Bug,Open,,08/12/2013 21:14,
DATAMONGO-732,404771,DATAMONGO,Task,Closed,Fixed,30/07/2013 22:25,06/08/2013 00:02
DATAMONGO-726,404777,DATAMONGO,Bug,Closed,Fixed,16/07/2013 17:38,09/12/2013 17:11
DATAMONGO-806,404698,DATAMONGO,Bug,Closed,Fixed,05/12/2013 00:49,10/12/2013 00:12
DATAMONGO-805,404699,DATAMONGO,Bug,Investigating,,02/12/2013 22:34,
DATAMONGO-804,404700,DATAMONGO,Bug,Closed,Fixed,28/11/2013 18:01,04/12/2013 19:14
DATAMONGO-793,404711,DATAMONGO,Improvement,Closed,Fixed,06/11/2013 00:27,06/11/2013 17:31
DATAMONGO-792,404712,DATAMONGO,New Feature,Closed,Fixed,05/11/2013 19:09,12/11/2013 19:06
DATAMONGO-586,404916,DATAMONGO,New Feature,Closed,Fixed,05/12/2012 23:15,05/08/2013 23:22
DATAMONGO-803,404701,DATAMONGO,Bug,Open,,28/11/2013 14:42,
DATAMONGO-802,404702,DATAMONGO,Improvement,Resolved,Fixed,24/11/2013 04:33,04/12/2013 19:13
DATAMONGO-801,404703,DATAMONGO,Task,Closed,Fixed,19/11/2013 17:17,19/11/2013 20:44
DATAMONGO-800,404704,DATAMONGO,Improvement,Closed,Fixed,18/11/2013 20:48,18/11/2013 20:55
DATAMONGO-728,404775,DATAMONGO,Task,Closed,Fixed,22/07/2013 17:07,23/07/2013 23:12
DATAMONGO-799,404705,DATAMONGO,Improvement,Closed,Fixed,18/11/2013 17:01,04/12/2013 21:06
DATAMONGO-731,404772,DATAMONGO,Task,Closed,Fixed,30/07/2013 21:16,30/07/2013 21:18
DATAMONGO-798,404706,DATAMONGO,New Feature,Open,,14/11/2013 16:26,
DATAMONGO-797,404707,DATAMONGO,Improvement,Resolved,Invalid,07/11/2013 20:31,07/11/2013 20:37
