Key,ID,Project,IssueType,Status,Resolution,Created Date,Resolved Date
MOBILE-88,398256,MOBILE,Task,Resolved,Complete,28/09/2013 04:25,28/09/2013 05:27
MOBILE-87,398257,MOBILE,Task,Resolved,Complete,28/09/2013 04:09,28/09/2013 05:28
MOBILE-86,398258,MOBILE,Task,Resolved,Complete,28/09/2013 04:07,28/09/2013 05:28
MOBILE-85,398259,MOBILE,Task,Open,,28/09/2013 02:54,
MOBILE-29,398314,MOBILE,Task,Closed,Complete,02/02/2012 01:34,16/03/2012 02:40
MOBILE-56,398288,MOBILE,New Feature,Open,,05/01/2013 00:45,
MOBILE-55,398289,MOBILE,Task,Closed,Complete,03/01/2013 05:35,03/01/2013 12:05
MOBILE-54,398290,MOBILE,Task,Closed,Complete,18/12/2012 06:00,20/12/2012 03:06
MOBILE-53,398291,MOBILE,Task,Closed,Complete,06/12/2012 01:44,06/12/2012 01:46
MOBILE-52,398292,MOBILE,Task,Closed,Complete,04/12/2012 06:27,04/12/2012 06:33
MOBILE-89,398255,MOBILE,Bug,In Progress,,12/11/2013 17:07,
MOBILE-84,398260,MOBILE,New Feature,Open,,29/07/2013 00:48,
MOBILE-83,398261,MOBILE,New Feature,Open,,23/07/2013 11:05,
MOBILE-82,398262,MOBILE,Task,Resolved,Complete,13/07/2013 04:59,13/07/2013 05:00
MOBILE-81,398263,MOBILE,Task,Resolved,Complete,13/07/2013 04:12,13/07/2013 04:57
MOBILE-80,398264,MOBILE,Task,Resolved,Complete,12/07/2013 22:53,13/07/2013 05:08
MOBILE-79,398265,MOBILE,Bug,Resolved,Fixed,05/07/2013 17:32,15/07/2013 11:48
MOBILE-78,398266,MOBILE,Bug,Resolved,Duplicate,10/06/2013 20:45,20/07/2013 02:48
MOBILE-77,398267,MOBILE,Bug,Resolved,Works as Designed,05/06/2013 22:40,13/07/2013 03:58
MOBILE-76,398268,MOBILE,Bug,Resolved,Works as Designed,11/05/2013 09:35,22/05/2013 05:47
MOBILE-75,398269,MOBILE,Task,Closed,Complete,11/05/2013 03:44,11/05/2013 03:50
MOBILE-74,398270,MOBILE,Task,Closed,Complete,17/04/2013 22:57,17/04/2013 23:00
MOBILE-73,398271,MOBILE,Improvement,Closed,Complete,04/04/2013 02:26,04/04/2013 03:44
MOBILE-72,398272,MOBILE,Improvement,Closed,Complete,03/04/2013 00:24,04/04/2013 00:09
MOBILE-71,398273,MOBILE,Task,Closed,Complete,30/03/2013 09:28,30/03/2013 09:30
MOBILE-70,398274,MOBILE,Bug,Closed,Fixed,09/03/2013 04:23,20/07/2013 04:39
MOBILE-69,398275,MOBILE,Bug,Closed,Fixed,09/03/2013 01:50,30/03/2013 04:43
MOBILE-68,398276,MOBILE,Bug,Closed,Fixed,09/03/2013 01:17,09/03/2013 01:28
MOBILE-67,398277,MOBILE,Task,Closed,Complete,02/03/2013 05:56,02/03/2013 06:01
MOBILE-66,398278,MOBILE,Task,Closed,Complete,02/03/2013 03:39,02/03/2013 05:42
MOBILE-65,398279,MOBILE,Task,Closed,Complete,02/03/2013 02:54,02/03/2013 03:35
MOBILE-64,398280,MOBILE,Improvement,Closed,Complete,27/02/2013 14:19,24/07/2013 22:00
MOBILE-63,398281,MOBILE,Bug,Closed,Fixed,22/02/2013 01:06,28/02/2013 02:56
MOBILE-62,398282,MOBILE,Bug,Closed,Fixed,12/02/2013 18:43,26/02/2013 05:41
MOBILE-61,398283,MOBILE,Bug,Closed,Fixed,12/02/2013 00:05,23/02/2013 06:31
MOBILE-60,398284,MOBILE,Task,Closed,Complete,03/02/2013 09:27,03/02/2013 10:10
MOBILE-59,398285,MOBILE,New Feature,Closed,Complete,15/01/2013 06:10,15/01/2013 10:22
MOBILE-58,398286,MOBILE,New Feature,Open,,05/01/2013 02:12,
MOBILE-57,398287,MOBILE,New Feature,Open,,05/01/2013 00:48,
MOBILE-51,398293,MOBILE,Bug,Closed,Complete,06/11/2012 19:08,08/11/2012 04:06
MOBILE-50,398294,MOBILE,New Feature,Closed,Complete,25/10/2012 05:00,25/10/2012 05:11
MOBILE-49,398295,MOBILE,New Feature,Closed,Complete,13/10/2012 03:03,15/11/2012 03:15
MOBILE-48,398296,MOBILE,Task,Closed,Complete,12/10/2012 23:18,12/10/2012 23:19
MOBILE-47,398297,MOBILE,New Feature,Closed,Complete,12/10/2012 22:18,15/11/2012 03:16
MOBILE-46,398298,MOBILE,Task,Closed,Complete,12/10/2012 03:51,13/10/2012 03:45
MOBILE-45,398299,MOBILE,Improvement,Closed,Complete,10/10/2012 01:36,13/10/2012 03:01
MOBILE-44,398300,MOBILE,Improvement,Closed,Works as Designed,20/07/2012 08:07,13/10/2012 08:42
MOBILE-43,398301,MOBILE,Improvement,Closed,Complete,06/07/2012 21:24,12/10/2012 03:39
MOBILE-42,398302,MOBILE,Bug,Closed,Works as Designed,02/07/2012 20:55,06/07/2012 12:02
MOBILE-41,398303,MOBILE,New Feature,Closed,Complete,16/06/2012 10:53,10/10/2012 03:42
MOBILE-40,398304,MOBILE,Task,Closed,Complete,12/06/2012 09:34,12/06/2012 14:11
MOBILE-39,398305,MOBILE,Improvement,Closed,Complete,03/06/2012 03:14,08/06/2012 00:15
MOBILE-38,398306,MOBILE,Task,Closed,Complete,11/05/2012 05:21,11/05/2012 05:21
MOBILE-37,398307,MOBILE,Improvement,Closed,Complete,26/04/2012 23:11,27/04/2012 02:59
