 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.52,1.4,1.75,1.4,1.92,0.7,0.7
01:00 - 02:00,0.7,2.27,0.87,1.22,1.57,0.7,0.7
02:00 - 03:00,0.0,0.7,1.05,1.05,0.52,1.05,0.52
03:00 - 04:00,0.0,0.17,0.35,0.17,0.35,0.0,0.35
04:00 - 05:00,0.87,0.52,0.87,0.52,0.7,0.17,0.7
05:00 - 06:00,0.17,0.17,0.35,0.87,0.17,0.35,0.17
06:00 - 07:00,0.52,0.35,0.35,0.17,0.7,0.17,0.17
07:00 - 08:00,0.0,0.35,0.35,0.0,0.35,0.35,0.0
08:00 - 09:00,0.0,0.17,0.35,0.0,0.0,0.52,0.0
09:00 - 10:00,0.17,0.0,0.0,0.0,0.35,0.17,0.0
10:00 - 11:00,0.0,0.0,0.0,0.0,0.17,0.0,0.0
11:00 - 12:00,0.0,0.0,0.17,0.0,0.17,0.0,0.0
12:00 - 13:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13:00 - 14:00,0.0,0.0,0.17,0.17,0.0,0.0,0.0
14:00 - 15:00,0.52,0.17,0.17,0.17,0.17,0.17,0.35
15:00 - 16:00,0.7,0.17,0.35,0.7,0.35,0.0,0.0
16:00 - 17:00,1.22,0.87,0.7,1.75,1.4,0.0,0.0
17:00 - 18:00,1.22,2.45,1.22,0.87,0.7,0.17,0.0
18:00 - 19:00,2.1,1.57,1.75,1.92,0.17,0.0,0.35
19:00 - 20:00,1.22,0.52,1.22,1.05,1.05,0.35,0.0
20:00 - 21:00,1.05,1.05,1.22,1.05,0.87,1.4,0.35
21:00 - 22:00,1.57,2.27,1.75,2.45,1.22,0.35,0.17
22:00 - 23:00,2.97,2.45,1.92,1.57,0.35,0.7,0.0
23:00 - 00:00,0.87,0.52,1.22,2.97,1.22,0.35,0.35
