 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,4,5,0,5,3,11,0
01:00 - 02:00,5,4,1,2,9,14,1
02:00 - 03:00,2,4,1,3,5,2,0
03:00 - 04:00,9,1,3,2,4,2,1
04:00 - 05:00,2,8,4,2,4,0,1
05:00 - 06:00,0,4,3,4,3,1,1
06:00 - 07:00,1,4,5,8,2,0,0
07:00 - 08:00,0,1,8,11,8,1,0
08:00 - 09:00,0,0,4,2,0,1,0
09:00 - 10:00,0,0,0,2,0,0,0
10:00 - 11:00,0,0,0,1,0,0,0
11:00 - 12:00,0,0,0,0,0,0,0
12:00 - 13:00,0,0,4,1,3,0,0
13:00 - 14:00,1,4,0,0,1,0,0
14:00 - 15:00,1,5,5,4,2,4,1
15:00 - 16:00,4,19,9,3,6,6,0
16:00 - 17:00,4,7,10,7,5,3,2
17:00 - 18:00,3,1,5,6,4,5,5
18:00 - 19:00,3,6,2,18,5,6,3
19:00 - 20:00,11,1,9,3,8,3,1
20:00 - 21:00,5,3,1,9,17,4,3
21:00 - 22:00,3,5,2,14,18,2,2
22:00 - 23:00,10,4,2,8,8,5,3
23:00 - 00:00,7,0,8,8,11,1,4
