 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,9,7,5,8,7,5,3
01:00 - 02:00,6,4,4,8,3,1,11
02:00 - 03:00,6,4,13,4,9,3,11
03:00 - 04:00,11,2,9,4,3,3,6
04:00 - 05:00,6,20,7,10,3,5,6
05:00 - 06:00,3,15,5,6,3,7,9
06:00 - 07:00,5,7,6,10,2,0,3
07:00 - 08:00,4,3,2,6,6,1,1
08:00 - 09:00,5,11,2,3,4,3,9
09:00 - 10:00,1,1,2,3,1,1,3
10:00 - 11:00,14,1,0,1,8,1,6
11:00 - 12:00,6,4,0,4,2,0,0
12:00 - 13:00,1,2,0,1,1,5,2
13:00 - 14:00,6,2,2,2,5,9,0
14:00 - 15:00,8,9,9,3,2,0,0
15:00 - 16:00,20,7,5,12,5,1,0
16:00 - 17:00,7,5,11,15,8,0,0
17:00 - 18:00,11,6,9,9,6,2,0
18:00 - 19:00,14,3,6,8,3,3,0
19:00 - 20:00,9,6,6,7,8,2,0
20:00 - 21:00,6,5,12,12,4,2,3
21:00 - 22:00,10,4,8,7,12,2,3
22:00 - 23:00,9,7,3,12,15,1,2
23:00 - 00:00,8,10,16,9,11,4,2
