 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,18,44,47,52,43,45,18
01:00 - 02:00,25,42,51,30,42,40,21
02:00 - 03:00,23,28,39,37,42,28,31
03:00 - 04:00,17,52,41,38,48,35,17
04:00 - 05:00,25,49,33,51,40,29,17
05:00 - 06:00,19,36,45,33,38,33,23
06:00 - 07:00,23,25,32,34,31,28,19
07:00 - 08:00,16,18,18,26,23,12,13
08:00 - 09:00,10,19,11,22,21,15,18
09:00 - 10:00,18,18,9,15,18,13,6
10:00 - 11:00,9,17,13,14,12,7,9
11:00 - 12:00,14,15,20,15,11,6,11
12:00 - 13:00,9,8,14,11,9,7,13
13:00 - 14:00,15,15,15,24,16,8,10
14:00 - 15:00,10,24,22,24,24,14,10
15:00 - 16:00,34,34,44,43,46,14,9
16:00 - 17:00,47,58,54,56,44,9,17
17:00 - 18:00,48,57,66,60,58,17,19
18:00 - 19:00,54,47,56,49,52,23,15
19:00 - 20:00,48,58,58,48,57,15,10
20:00 - 21:00,64,70,47,53,60,24,16
21:00 - 22:00,64,85,60,66,66,18,11
22:00 - 23:00,61,58,72,67,57,26,16
23:00 - 00:00,52,64,66,69,42,26,23
