 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0,1,3,1,1,1,0
01:00 - 02:00,0,7,6,3,0,2,0
02:00 - 03:00,0,2,0,0,3,2,0
03:00 - 04:00,1,2,2,2,5,0,3
04:00 - 05:00,0,9,0,4,1,2,2
05:00 - 06:00,1,6,6,6,2,0,2
06:00 - 07:00,0,3,0,3,1,2,2
07:00 - 08:00,10,3,0,5,1,1,0
08:00 - 09:00,2,1,2,0,0,0,1
09:00 - 10:00,0,0,0,0,0,1,0
10:00 - 11:00,0,1,0,1,0,2,0
11:00 - 12:00,0,1,0,5,0,0,0
12:00 - 13:00,0,2,0,2,0,1,0
13:00 - 14:00,0,1,0,1,1,0,0
14:00 - 15:00,0,0,0,1,1,0,0
15:00 - 16:00,0,1,3,0,0,0,1
16:00 - 17:00,2,4,0,0,1,0,0
17:00 - 18:00,5,0,2,1,1,1,0
18:00 - 19:00,1,3,3,10,2,0,0
19:00 - 20:00,1,5,5,1,3,2,0
20:00 - 21:00,3,11,1,5,4,1,0
21:00 - 22:00,1,15,3,1,5,0,3
22:00 - 23:00,4,0,3,6,2,1,0
23:00 - 00:00,2,2,2,3,1,0,0
