 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,2,5,11,6,7,14,3
01:00 - 02:00,2,9,8,5,4,3,0
02:00 - 03:00,2,3,5,5,8,8,4
03:00 - 04:00,2,7,8,7,5,5,4
04:00 - 05:00,2,6,10,10,6,7,5
05:00 - 06:00,4,13,6,4,2,4,5
06:00 - 07:00,5,1,3,2,6,3,1
07:00 - 08:00,5,12,2,3,3,2,0
08:00 - 09:00,1,5,10,13,4,1,0
09:00 - 10:00,8,10,8,7,5,2,1
10:00 - 11:00,13,5,12,7,9,2,1
11:00 - 12:00,11,8,10,13,29,3,0
12:00 - 13:00,4,11,5,4,4,0,1
13:00 - 14:00,11,15,4,7,7,6,0
14:00 - 15:00,6,22,9,18,5,1,2
15:00 - 16:00,5,22,11,13,10,4,2
16:00 - 17:00,20,14,14,10,11,3,1
17:00 - 18:00,33,9,26,16,8,4,2
18:00 - 19:00,71,22,26,8,12,1,2
19:00 - 20:00,79,28,29,17,17,0,1
20:00 - 21:00,14,10,11,20,13,0,2
21:00 - 22:00,17,12,14,8,14,3,4
22:00 - 23:00,17,11,16,14,7,2,1
23:00 - 00:00,5,14,14,7,7,2,0
