 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.59,1.11,0.52,1.83,0.46,0.46,0.13
01:00 - 02:00,0.26,1.18,0.92,0.98,1.05,0.72,0.07
02:00 - 03:00,0.0,0.72,1.63,0.46,1.11,0.33,0.2
03:00 - 04:00,0.0,0.52,0.92,1.63,1.24,0.59,0.07
04:00 - 05:00,0.07,1.7,0.52,0.98,1.37,1.7,0.13
05:00 - 06:00,0.0,0.52,0.59,0.52,1.05,0.33,0.2
06:00 - 07:00,0.0,0.52,0.59,0.59,1.76,0.26,0.07
07:00 - 08:00,0.0,0.13,0.92,0.33,2.09,0.59,0.07
08:00 - 09:00,0.0,0.26,0.33,0.52,0.07,0.26,0.07
09:00 - 10:00,0.0,0.52,0.39,0.2,0.2,0.2,0.13
10:00 - 11:00,0.26,0.65,0.33,0.33,2.35,0.33,0.13
11:00 - 12:00,0.13,0.26,0.52,0.26,1.05,0.2,0.2
12:00 - 13:00,0.2,0.2,0.46,0.26,0.2,0.98,0.07
13:00 - 14:00,0.07,0.2,0.46,0.78,0.39,0.26,0.07
14:00 - 15:00,0.2,0.46,0.65,0.33,0.59,0.2,0.07
15:00 - 16:00,0.46,0.39,0.85,0.59,0.59,0.07,0.2
16:00 - 17:00,0.39,0.98,1.05,0.72,0.98,0.07,0.0
17:00 - 18:00,0.72,0.26,1.05,0.85,0.59,0.52,0.07
18:00 - 19:00,0.85,0.59,0.65,0.92,1.18,0.26,0.52
19:00 - 20:00,0.46,1.05,0.85,0.65,0.72,0.13,0.33
20:00 - 21:00,1.18,1.37,2.42,1.76,0.72,0.33,0.0
21:00 - 22:00,1.31,1.18,0.33,1.05,1.31,0.13,0.0
22:00 - 23:00,0.98,1.63,1.11,0.78,0.92,0.26,0.26
23:00 - 00:00,1.44,1.18,0.85,1.31,1.05,0.13,0.07
