 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,3,10,12,14,6,13,6
01:00 - 02:00,3,11,13,8,16,11,5
02:00 - 03:00,4,8,9,7,8,5,3
03:00 - 04:00,3,9,12,6,9,6,4
04:00 - 05:00,2,8,10,11,12,14,4
05:00 - 06:00,4,6,20,7,8,4,2
06:00 - 07:00,7,11,10,6,8,3,0
07:00 - 08:00,5,7,7,6,5,3,3
08:00 - 09:00,11,4,13,7,7,4,1
09:00 - 10:00,8,14,14,17,15,3,3
10:00 - 11:00,13,24,18,12,13,6,7
11:00 - 12:00,12,18,11,11,18,5,6
12:00 - 13:00,17,18,8,21,16,1,1
13:00 - 14:00,15,19,22,17,10,7,7
14:00 - 15:00,12,17,18,16,13,5,3
15:00 - 16:00,17,16,30,26,18,4,5
16:00 - 17:00,20,27,22,32,23,6,4
17:00 - 18:00,27,28,41,23,28,9,5
18:00 - 19:00,25,21,25,30,25,6,4
19:00 - 20:00,18,17,18,18,12,6,11
20:00 - 21:00,20,31,22,11,16,4,9
21:00 - 22:00,16,16,15,14,12,2,6
22:00 - 23:00,16,17,23,20,25,0,4
23:00 - 00:00,22,26,23,20,11,3,5
