 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.0,0.24,0.08,0.12,0.24,0.04,0.04
01:00 - 02:00,0.2,0.12,0.08,0.24,0.16,0.0,0.04
02:00 - 03:00,0.36,0.36,0.28,0.08,0.32,0.0,0.0
03:00 - 04:00,0.2,0.16,0.12,0.2,0.08,0.0,0.0
04:00 - 05:00,0.16,0.28,0.28,0.04,0.36,0.0,0.0
05:00 - 06:00,1.51,0.28,0.4,0.75,0.28,0.0,0.0
06:00 - 07:00,1.63,0.67,0.87,0.99,0.87,0.12,0.0
07:00 - 08:00,2.46,1.39,1.59,1.55,2.02,0.0,0.0
08:00 - 09:00,2.02,2.22,1.35,1.75,2.02,0.04,0.04
09:00 - 10:00,2.34,2.06,1.63,1.43,1.9,0.24,0.08
10:00 - 11:00,1.51,1.27,1.35,1.43,1.07,0.08,0.08
11:00 - 12:00,1.11,1.27,1.23,1.07,1.19,0.32,0.12
12:00 - 13:00,1.94,1.19,0.95,1.63,1.39,0.16,0.04
13:00 - 14:00,0.83,0.91,1.15,1.03,1.67,0.48,0.0
14:00 - 15:00,1.07,1.35,2.42,1.67,1.27,0.08,0.0
15:00 - 16:00,0.75,1.63,0.63,1.27,1.15,0.4,0.0
16:00 - 17:00,0.2,1.03,0.83,0.52,0.56,2.14,0.08
17:00 - 18:00,0.4,0.4,0.36,0.52,0.56,0.12,0.04
18:00 - 19:00,0.28,0.48,0.32,0.44,0.44,0.32,0.0
19:00 - 20:00,0.12,0.44,0.04,0.24,0.24,0.04,0.04
20:00 - 21:00,0.44,0.2,0.87,0.32,0.4,0.08,0.04
21:00 - 22:00,0.52,0.48,0.2,0.28,0.2,0.0,0.08
22:00 - 23:00,0.12,0.4,0.12,0.48,0.28,0.0,0.0
23:00 - 00:00,0.36,0.28,0.2,0.28,0.12,0.0,0.67
