 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.19,0.0,0.0,0.19,0.19,0.19,0.0
01:00 - 02:00,0.77,0.19,0.0,0.0,0.19,0.0,2.12
02:00 - 03:00,0.58,0.0,0.39,0.0,0.0,0.0,0.0
03:00 - 04:00,0.0,0.0,0.19,0.0,0.0,0.19,0.19
04:00 - 05:00,0.19,0.39,0.0,0.0,0.58,0.0,0.96
05:00 - 06:00,0.19,0.19,0.0,0.0,0.0,0.0,0.0
06:00 - 07:00,0.39,0.0,0.39,0.0,0.0,0.19,0.0
07:00 - 08:00,0.19,0.39,0.19,0.0,0.19,0.0,0.77
08:00 - 09:00,0.19,0.39,0.0,0.0,0.0,0.19,0.19
09:00 - 10:00,0.39,0.19,0.58,0.58,0.19,0.77,1.16
10:00 - 11:00,0.19,1.16,0.19,0.0,0.19,0.77,0.77
11:00 - 12:00,0.39,1.16,0.19,0.39,1.35,1.93,0.39
12:00 - 13:00,0.58,1.93,0.39,0.58,0.19,0.96,0.77
13:00 - 14:00,0.58,2.31,0.58,0.58,0.39,0.19,0.96
14:00 - 15:00,1.16,10.02,0.39,0.39,1.16,0.0,1.73
15:00 - 16:00,1.35,0.77,0.96,1.35,0.96,0.39,0.39
16:00 - 17:00,0.39,4.82,0.39,0.96,0.0,0.96,1.35
17:00 - 18:00,0.77,0.58,0.19,0.96,0.77,1.54,0.77
18:00 - 19:00,0.39,4.05,0.96,0.58,0.19,0.19,1.16
19:00 - 20:00,0.39,0.39,0.19,0.39,0.19,0.19,0.0
20:00 - 21:00,0.39,1.16,0.39,0.58,0.39,0.0,7.32
21:00 - 22:00,0.58,0.58,0.0,0.0,0.0,0.39,0.39
22:00 - 23:00,0.0,0.19,0.0,0.0,5.59,0.0,0.77
23:00 - 00:00,0.19,0.58,0.0,0.0,0.0,0.0,0.19
