 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,6,41,27,40,31,30,4
01:00 - 02:00,4,34,30,20,21,29,9
02:00 - 03:00,2,19,21,30,22,19,5
03:00 - 04:00,3,22,27,25,26,14,2
04:00 - 05:00,4,29,17,37,16,19,4
05:00 - 06:00,10,16,29,20,19,20,3
06:00 - 07:00,11,18,23,22,19,18,5
07:00 - 08:00,6,24,13,10,17,6,1
08:00 - 09:00,11,16,11,14,17,9,6
09:00 - 10:00,22,19,20,14,19,12,2
10:00 - 11:00,10,24,12,16,15,4,7
11:00 - 12:00,10,16,14,10,14,8,3
12:00 - 13:00,7,15,15,15,18,2,2
13:00 - 14:00,13,17,18,14,15,3,3
14:00 - 15:00,26,29,18,18,15,1,6
15:00 - 16:00,19,19,19,26,23,5,1
16:00 - 17:00,18,22,25,33,15,5,5
17:00 - 18:00,26,19,23,35,30,1,3
18:00 - 19:00,28,25,33,24,27,4,4
19:00 - 20:00,20,22,22,30,23,1,2
20:00 - 21:00,12,27,40,29,29,2,2
21:00 - 22:00,24,33,37,30,15,1,5
22:00 - 23:00,30,34,36,35,38,8,6
23:00 - 00:00,32,32,27,42,30,6,11
