 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.0,0.0,0.0,0.16,0.0,0.16,0.0
01:00 - 02:00,0.16,0.0,0.31,0.0,0.0,0.31,0.0
02:00 - 03:00,0.16,0.0,0.31,0.16,0.0,0.0,0.0
03:00 - 04:00,0.0,0.0,0.0,0.47,0.0,0.0,0.0
04:00 - 05:00,0.16,0.0,0.16,0.0,0.0,0.16,0.0
05:00 - 06:00,0.0,0.16,0.31,0.0,1.25,0.16,0.0
06:00 - 07:00,0.0,0.0,0.78,0.47,0.16,0.0,0.16
07:00 - 08:00,0.31,0.16,0.31,0.47,0.47,0.0,0.0
08:00 - 09:00,0.16,0.16,0.63,0.16,0.31,0.0,0.16
09:00 - 10:00,0.16,0.16,0.63,0.16,0.63,0.0,0.16
10:00 - 11:00,0.47,0.63,0.16,0.0,0.0,0.16,0.63
11:00 - 12:00,0.31,0.31,0.0,0.0,0.16,0.47,0.78
12:00 - 13:00,0.0,0.78,0.16,0.16,1.56,0.47,0.47
13:00 - 14:00,0.47,0.16,0.16,0.31,0.47,0.47,0.0
14:00 - 15:00,0.63,0.0,0.78,0.0,1.1,0.47,0.31
15:00 - 16:00,0.31,1.41,0.0,0.0,1.72,0.47,0.94
16:00 - 17:00,0.47,0.47,0.78,0.47,0.31,0.0,0.63
17:00 - 18:00,0.63,0.0,0.47,0.31,0.31,0.16,0.31
18:00 - 19:00,0.78,0.78,1.25,0.78,0.0,0.63,1.1
19:00 - 20:00,0.78,1.1,0.94,5.63,0.78,1.25,0.47
20:00 - 21:00,1.72,1.25,0.31,5.48,0.47,0.47,0.16
21:00 - 22:00,0.31,1.41,1.1,1.25,0.0,28.17,1.25
22:00 - 23:00,0.47,2.03,0.78,0.16,0.16,0.16,0.16
23:00 - 00:00,0.47,0.31,0.0,0.0,0.47,0.63,0.16
