 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.5,0.34,0.32,0.27,0.29,0.06,0.06
01:00 - 02:00,0.19,0.27,0.24,0.27,0.28,0.13,0.09
02:00 - 03:00,0.25,0.9,0.35,0.3,0.21,0.1,0.12
03:00 - 04:00,0.15,0.29,0.27,0.23,0.19,0.04,0.07
04:00 - 05:00,0.19,0.2,0.3,0.18,0.25,0.06,0.06
05:00 - 06:00,0.22,0.19,0.34,0.24,0.27,0.05,0.04
06:00 - 07:00,0.26,0.24,0.28,0.24,0.38,0.06,0.03
07:00 - 08:00,0.33,0.36,0.39,0.34,0.37,0.06,0.03
08:00 - 09:00,0.45,0.55,0.46,0.55,0.84,0.04,0.15
09:00 - 10:00,0.55,0.47,0.58,1.04,1.13,0.04,0.41
10:00 - 11:00,30.85,1.0,1.15,0.68,0.85,0.07,0.16
11:00 - 12:00,0.96,1.13,0.9,1.09,0.94,0.07,0.06
12:00 - 13:00,0.66,0.63,0.65,0.62,0.53,0.04,0.03
13:00 - 14:00,0.88,1.16,0.91,1.1,1.31,0.09,0.06
14:00 - 15:00,1.48,1.09,1.04,1.11,1.1,0.06,0.15
15:00 - 16:00,1.72,1.07,0.97,1.09,1.33,0.08,0.1
16:00 - 17:00,0.79,0.96,0.84,0.94,1.25,0.08,0.05
17:00 - 18:00,0.77,0.66,0.7,1.02,0.63,0.05,0.03
18:00 - 19:00,0.43,0.44,0.42,0.36,0.28,0.04,0.06
19:00 - 20:00,0.18,0.24,0.3,0.21,0.19,0.07,0.09
20:00 - 21:00,0.18,0.26,0.32,0.18,0.13,0.06,0.2
21:00 - 22:00,0.18,0.24,0.34,0.37,0.12,0.04,0.3
22:00 - 23:00,0.33,0.39,0.37,0.51,0.12,0.06,0.22
23:00 - 00:00,0.34,0.37,0.28,0.51,0.15,0.09,0.3
