 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,14,7,8,3,8,9,13
01:00 - 02:00,5,5,9,4,3,4,11
02:00 - 03:00,15,8,4,9,7,5,9
03:00 - 04:00,12,6,7,18,6,3,10
04:00 - 05:00,8,11,10,12,2,1,11
05:00 - 06:00,11,5,11,16,4,4,4
06:00 - 07:00,7,5,8,9,4,0,3
07:00 - 08:00,2,4,11,1,9,3,3
08:00 - 09:00,1,2,3,5,2,0,3
09:00 - 10:00,2,3,2,2,5,1,0
10:00 - 11:00,5,2,3,5,1,0,0
11:00 - 12:00,4,2,2,5,3,5,2
12:00 - 13:00,12,1,7,2,7,1,6
13:00 - 14:00,7,1,7,6,6,3,6
14:00 - 15:00,6,6,1,5,6,1,2
15:00 - 16:00,13,10,10,7,5,3,3
16:00 - 17:00,7,9,12,4,8,1,2
17:00 - 18:00,20,5,14,2,18,7,5
18:00 - 19:00,20,14,16,12,14,8,11
19:00 - 20:00,14,21,10,19,15,12,21
20:00 - 21:00,13,15,6,3,15,22,13
21:00 - 22:00,15,7,10,9,8,14,7
22:00 - 23:00,11,4,5,7,6,6,7
23:00 - 00:00,8,6,6,6,6,7,13
