 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0,1,0,0,0,0,0
01:00 - 02:00,0,0,0,0,0,0,0
02:00 - 03:00,0,0,1,0,0,2,0
03:00 - 04:00,0,0,0,0,0,0,0
04:00 - 05:00,1,0,0,0,0,0,0
05:00 - 06:00,0,0,0,0,0,0,0
06:00 - 07:00,0,0,0,0,1,0,0
07:00 - 08:00,0,0,0,0,1,0,0
08:00 - 09:00,2,2,3,0,2,2,2
09:00 - 10:00,5,6,5,0,2,6,0
10:00 - 11:00,11,4,5,2,2,3,3
11:00 - 12:00,6,1,1,0,0,5,6
12:00 - 13:00,10,5,1,0,3,4,17
13:00 - 14:00,5,7,4,2,3,3,3
14:00 - 15:00,4,4,2,5,2,4,4
15:00 - 16:00,3,3,6,3,1,5,6
16:00 - 17:00,3,4,2,1,3,3,6
17:00 - 18:00,7,2,1,0,2,4,0
18:00 - 19:00,1,1,3,0,0,3,4
19:00 - 20:00,1,6,1,1,4,1,7
20:00 - 21:00,1,2,0,1,0,0,2
21:00 - 22:00,1,5,1,4,2,0,1
22:00 - 23:00,2,3,0,2,4,0,2
23:00 - 00:00,2,2,3,1,0,0,0
