 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.51,0.46,0.51,0.4,0.61,0.61,0.3
01:00 - 02:00,0.46,0.35,0.4,0.2,0.76,0.0,0.25
02:00 - 03:00,0.66,0.71,0.15,0.3,0.15,0.61,0.1
03:00 - 04:00,0.4,0.61,0.15,0.2,0.35,0.35,0.71
04:00 - 05:00,0.05,0.51,0.4,0.15,0.56,0.4,0.3
05:00 - 06:00,0.4,0.51,0.66,0.1,0.1,0.3,0.56
06:00 - 07:00,0.86,0.46,0.51,0.56,0.25,0.2,0.66
07:00 - 08:00,0.51,0.71,0.76,0.51,0.61,0.35,0.35
08:00 - 09:00,0.76,0.56,0.15,0.71,0.81,0.3,0.35
09:00 - 10:00,0.35,0.4,0.61,0.4,1.06,0.15,0.61
10:00 - 11:00,0.71,0.56,0.56,0.4,0.61,0.71,0.4
11:00 - 12:00,0.46,0.35,0.66,0.35,1.52,0.51,0.91
12:00 - 13:00,0.86,0.86,0.91,0.66,0.76,0.66,0.56
13:00 - 14:00,0.66,0.81,0.81,0.76,0.61,0.25,0.61
14:00 - 15:00,0.61,0.51,0.76,0.76,1.06,0.71,0.56
15:00 - 16:00,1.01,0.81,0.71,0.66,0.61,0.61,0.86
16:00 - 17:00,1.06,0.51,0.3,0.3,0.66,0.91,1.11
17:00 - 18:00,0.86,0.81,1.11,0.61,0.71,1.16,1.16
18:00 - 19:00,0.35,0.81,1.11,0.61,0.66,0.35,0.81
19:00 - 20:00,0.91,0.86,1.52,1.16,0.81,0.71,0.71
20:00 - 21:00,0.4,0.81,1.37,0.46,0.76,0.66,1.21
21:00 - 22:00,0.71,1.11,0.81,0.76,0.71,0.66,0.61
22:00 - 23:00,0.25,0.66,0.76,0.35,0.3,0.2,0.56
23:00 - 00:00,0.51,0.86,0.4,0.46,0.35,0.4,0.71
