 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.12,1.58,1.21,0.61,0.24,0.12,0.24
01:00 - 02:00,0.24,0.0,0.12,0.12,0.24,0.36,0.24
02:00 - 03:00,0.12,0.12,0.0,0.12,0.12,0.0,0.12
03:00 - 04:00,0.0,0.12,0.0,0.0,0.12,0.24,0.12
04:00 - 05:00,0.12,0.0,0.0,0.0,0.48,0.0,0.0
05:00 - 06:00,0.0,0.12,0.0,0.0,0.12,0.0,0.0
06:00 - 07:00,0.0,0.0,0.0,0.12,0.0,0.24,0.12
07:00 - 08:00,0.36,0.36,0.0,0.36,0.48,0.0,0.0
08:00 - 09:00,0.61,0.36,0.24,0.24,0.24,0.12,0.0
09:00 - 10:00,0.61,0.24,0.48,0.97,0.24,0.0,0.0
10:00 - 11:00,0.12,0.12,0.73,0.48,0.61,0.0,0.0
11:00 - 12:00,0.48,0.36,1.21,0.12,0.73,0.0,0.0
12:00 - 13:00,0.97,1.94,0.73,1.33,0.73,0.48,0.73
13:00 - 14:00,1.33,1.58,1.09,1.7,1.7,0.12,0.36
14:00 - 15:00,0.85,1.7,2.42,1.21,1.58,0.48,0.85
15:00 - 16:00,1.09,2.67,0.61,1.09,1.82,0.0,0.12
16:00 - 17:00,0.73,1.21,1.21,1.21,1.09,0.12,0.0
17:00 - 18:00,1.21,2.79,1.45,0.48,0.97,0.36,0.36
18:00 - 19:00,1.21,3.03,0.85,1.45,1.33,0.48,0.24
19:00 - 20:00,1.45,0.85,0.85,0.97,1.58,0.61,0.0
20:00 - 21:00,0.97,0.97,0.85,1.58,0.73,0.0,0.24
21:00 - 22:00,0.48,1.33,1.21,0.48,1.45,0.12,0.12
22:00 - 23:00,1.45,0.97,0.85,0.97,1.45,0.36,0.73
23:00 - 00:00,1.7,0.73,0.73,0.61,0.24,0.24,0.12
