 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.07,0.12,0.22,0.11,0.11,0.1,0.07
01:00 - 02:00,0.04,0.08,0.14,0.11,0.11,0.08,0.04
02:00 - 03:00,0.06,0.1,0.11,0.08,0.11,0.08,0.05
03:00 - 04:00,0.04,0.09,0.05,0.05,0.08,0.01,0.01
04:00 - 05:00,0.07,0.13,0.17,0.15,0.1,0.09,0.01
05:00 - 06:00,0.27,0.24,0.28,0.43,0.3,0.08,0.03
06:00 - 07:00,0.49,0.71,0.58,0.58,0.53,0.09,0.04
07:00 - 08:00,0.69,0.83,1.04,0.87,0.81,0.21,0.08
08:00 - 09:00,1.33,1.31,1.29,1.32,1.18,0.3,0.14
09:00 - 10:00,1.61,1.62,1.73,1.58,1.76,0.33,0.22
10:00 - 11:00,1.42,1.57,1.21,1.51,1.34,0.22,0.36
11:00 - 12:00,1.11,1.24,1.02,1.42,1.25,0.23,0.27
12:00 - 13:00,1.57,1.38,1.4,1.55,1.53,0.19,0.23
13:00 - 14:00,1.57,1.42,1.88,1.73,1.55,0.19,0.31
14:00 - 15:00,1.73,1.77,1.8,1.64,1.71,0.26,0.25
15:00 - 16:00,1.5,2.08,1.3,1.86,1.48,0.18,0.22
16:00 - 17:00,1.14,0.91,1.06,1.02,1.06,0.23,0.16
17:00 - 18:00,0.66,0.64,0.61,0.63,0.54,0.1,0.25
18:00 - 19:00,0.55,0.48,0.58,0.41,0.31,0.12,0.19
19:00 - 20:00,0.6,0.36,0.47,0.52,0.52,0.28,0.17
20:00 - 21:00,0.63,0.54,0.53,0.57,0.42,0.21,0.21
21:00 - 22:00,0.44,0.61,0.58,0.47,0.35,0.15,0.15
22:00 - 23:00,0.26,0.3,0.36,0.27,0.41,0.16,0.17
23:00 - 00:00,0.13,0.25,0.24,0.12,0.25,0.14,0.13
