 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.08,1.25,1.45,1.25,1.82,1.13,0.08
01:00 - 02:00,0.16,0.4,0.85,0.97,0.44,0.69,0.65
02:00 - 03:00,0.0,0.4,0.73,0.24,0.2,0.32,0.16
03:00 - 04:00,0.04,0.08,0.16,0.32,0.08,0.32,0.12
04:00 - 05:00,0.08,0.04,0.08,0.16,0.04,0.12,0.16
05:00 - 06:00,0.04,0.04,0.12,0.08,0.2,0.08,0.08
06:00 - 07:00,1.74,0.44,0.24,0.12,0.2,0.04,0.04
07:00 - 08:00,0.16,0.08,0.24,0.44,0.2,0.04,0.08
08:00 - 09:00,3.67,0.28,0.2,0.52,0.32,0.08,0.08
09:00 - 10:00,0.2,0.2,0.77,0.4,0.28,0.12,0.04
10:00 - 11:00,0.2,0.48,0.12,0.56,0.48,0.04,0.12
11:00 - 12:00,0.12,0.08,0.24,0.36,0.04,0.16,0.12
12:00 - 13:00,0.36,0.28,0.36,0.36,0.32,0.69,0.16
13:00 - 14:00,0.28,1.49,0.52,0.32,0.4,0.2,0.16
14:00 - 15:00,0.56,0.32,0.36,0.4,0.52,0.12,0.24
15:00 - 16:00,0.48,0.81,0.48,0.36,0.81,0.04,0.2
16:00 - 17:00,0.85,1.01,1.13,0.65,1.13,0.16,0.2
17:00 - 18:00,1.01,1.33,1.17,0.73,1.33,0.16,0.48
18:00 - 19:00,0.93,1.37,1.13,1.33,1.61,0.44,0.24
19:00 - 20:00,1.25,0.93,3.71,2.06,0.97,0.48,0.65
20:00 - 21:00,1.25,0.73,1.61,1.17,0.77,0.36,0.48
21:00 - 22:00,1.41,1.25,1.01,1.78,0.85,0.28,0.4
22:00 - 23:00,1.37,1.53,1.53,1.09,1.37,0.16,0.44
23:00 - 00:00,1.98,1.29,1.29,1.98,1.98,0.04,0.32
