 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.0,0.31,0.0,0.0,0.0,0.0,0.0
01:00 - 02:00,0.0,0.31,0.31,0.92,0.0,0.0,0.0
02:00 - 03:00,0.31,1.84,0.0,0.31,0.31,0.0,0.0
03:00 - 04:00,0.0,0.0,3.68,0.61,0.0,0.0,0.0
04:00 - 05:00,0.0,0.0,0.31,0.0,0.0,0.0,0.0
05:00 - 06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06:00 - 07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07:00 - 08:00,0.0,0.0,0.0,0.31,0.0,0.0,0.0
08:00 - 09:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:00 - 10:00,0.0,0.0,0.0,0.31,0.0,0.0,0.0
10:00 - 11:00,0.0,0.0,0.0,0.0,0.61,0.0,0.0
11:00 - 12:00,0.0,0.0,0.0,0.61,0.0,0.0,0.0
12:00 - 13:00,0.31,0.0,0.92,0.0,0.31,0.0,0.0
13:00 - 14:00,0.92,0.61,0.31,1.53,0.0,0.0,0.0
14:00 - 15:00,0.31,1.23,5.52,1.23,0.31,0.0,0.0
15:00 - 16:00,2.76,2.15,5.52,2.76,3.37,0.0,0.0
16:00 - 17:00,2.76,1.84,5.83,1.23,0.92,0.0,0.0
17:00 - 18:00,0.61,0.92,1.84,0.92,0.31,0.0,0.0
18:00 - 19:00,2.15,4.29,2.15,0.92,0.31,0.0,0.0
19:00 - 20:00,1.23,1.53,1.53,0.61,1.53,0.0,0.31
20:00 - 21:00,0.61,2.76,1.53,1.84,0.92,0.0,0.0
21:00 - 22:00,3.68,2.45,1.23,3.99,0.31,0.0,0.0
22:00 - 23:00,1.53,1.53,0.0,0.0,0.31,0.0,0.31
23:00 - 00:00,0.0,0.0,1.84,0.0,0.31,0.0,0.0
