 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.33,0.77,0.73,0.9,0.9,0.65,0.25
01:00 - 02:00,0.21,0.67,0.37,0.44,0.44,0.46,0.31
02:00 - 03:00,0.27,0.42,0.5,0.5,0.35,0.35,0.27
03:00 - 04:00,0.33,0.5,0.4,0.48,0.27,0.31,0.27
04:00 - 05:00,0.29,0.44,0.21,0.27,0.23,0.23,0.19
05:00 - 06:00,0.29,0.44,0.35,0.6,0.31,0.13,0.13
06:00 - 07:00,0.38,0.29,0.37,0.44,0.44,0.25,0.15
07:00 - 08:00,0.27,0.58,0.54,0.5,0.58,0.25,0.17
08:00 - 09:00,0.6,0.6,0.48,0.46,0.67,0.29,0.19
09:00 - 10:00,0.58,0.42,0.52,0.6,0.61,0.42,0.25
10:00 - 11:00,0.77,0.52,0.65,0.77,0.58,0.23,0.21
11:00 - 12:00,0.61,0.46,0.6,0.38,0.37,0.33,0.4
12:00 - 13:00,0.79,0.46,0.75,0.56,0.77,0.37,0.31
13:00 - 14:00,0.58,0.63,0.9,0.81,0.67,0.37,0.58
14:00 - 15:00,0.81,0.67,0.96,0.92,0.81,0.33,0.69
15:00 - 16:00,0.75,0.98,0.79,1.02,1.0,0.35,0.67
16:00 - 17:00,0.85,0.96,1.08,0.96,0.77,0.37,0.5
17:00 - 18:00,1.15,1.11,0.81,0.96,0.85,0.44,0.48
18:00 - 19:00,0.96,0.86,1.0,0.98,0.9,0.4,0.38
19:00 - 20:00,0.86,0.96,1.0,1.02,0.81,0.37,0.42
20:00 - 21:00,1.23,1.36,1.11,1.13,0.94,0.48,0.33
21:00 - 22:00,1.08,0.85,1.35,1.15,0.94,0.44,0.31
22:00 - 23:00,0.79,1.1,1.13,1.21,0.86,0.44,0.27
23:00 - 00:00,0.83,0.79,0.85,0.81,0.69,0.25,0.27
