 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,8,45,42,55,27,25,8
01:00 - 02:00,18,30,32,23,24,21,8
02:00 - 03:00,17,37,29,46,32,25,13
03:00 - 04:00,20,35,35,34,43,24,15
04:00 - 05:00,22,36,18,32,25,15,21
05:00 - 06:00,13,15,22,28,20,5,6
06:00 - 07:00,23,20,17,23,18,9,5
07:00 - 08:00,23,20,26,25,25,8,9
08:00 - 09:00,22,21,20,25,19,14,7
09:00 - 10:00,15,21,26,28,23,6,6
10:00 - 11:00,11,25,14,27,12,6,2
11:00 - 12:00,12,14,18,9,15,15,5
12:00 - 13:00,7,16,17,15,10,12,7
13:00 - 14:00,12,17,13,21,20,7,15
14:00 - 15:00,22,41,41,32,29,27,6
15:00 - 16:00,49,54,53,61,47,16,16
16:00 - 17:00,46,73,61,75,60,22,17
17:00 - 18:00,73,67,59,78,65,15,12
18:00 - 19:00,49,62,58,60,52,12,20
19:00 - 20:00,51,52,46,52,50,9,14
20:00 - 21:00,64,55,57,61,70,17,20
21:00 - 22:00,54,80,67,56,62,10,16
22:00 - 23:00,71,59,72,63,42,11,10
23:00 - 00:00,62,54,57,60,56,15,14
