 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,8,25,18,23,25,15,2
01:00 - 02:00,5,15,14,14,14,17,3
02:00 - 03:00,8,13,16,12,13,10,5
03:00 - 04:00,2,16,7,16,5,7,8
04:00 - 05:00,17,7,15,14,13,10,13
05:00 - 06:00,5,20,16,24,13,10,4
06:00 - 07:00,11,15,23,25,11,8,2
07:00 - 08:00,20,19,25,36,23,11,4
08:00 - 09:00,17,31,34,27,41,12,7
09:00 - 10:00,34,39,50,34,32,11,9
10:00 - 11:00,44,48,41,45,46,2,10
11:00 - 12:00,33,29,39,35,36,5,13
12:00 - 13:00,27,27,43,23,32,4,3
13:00 - 14:00,39,62,60,52,36,7,2
14:00 - 15:00,45,53,40,36,38,11,2
15:00 - 16:00,58,59,34,57,38,4,2
16:00 - 17:00,37,48,46,51,47,7,3
17:00 - 18:00,23,50,56,31,53,7,9
18:00 - 19:00,30,26,40,42,29,9,15
19:00 - 20:00,36,39,32,44,34,4,10
20:00 - 21:00,22,35,44,32,38,8,8
21:00 - 22:00,42,51,42,49,25,7,5
22:00 - 23:00,27,35,37,27,22,8,13
23:00 - 00:00,36,23,25,15,16,4,13
