 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,17,24,25,22,11,3,1
01:00 - 02:00,23,18,9,16,23,1,1
02:00 - 03:00,19,22,20,20,22,7,2
03:00 - 04:00,7,19,27,14,28,2,1
04:00 - 05:00,25,19,41,27,25,3,6
05:00 - 06:00,27,52,56,46,31,6,10
06:00 - 07:00,78,114,69,77,51,9,11
07:00 - 08:00,91,138,95,123,78,4,5
08:00 - 09:00,99,133,112,139,134,12,7
09:00 - 10:00,105,92,77,130,110,6,12
10:00 - 11:00,111,146,145,90,114,13,7
11:00 - 12:00,97,140,134,122,114,7,5
12:00 - 13:00,96,154,149,105,115,12,8
13:00 - 14:00,103,204,158,98,76,8,4
14:00 - 15:00,113,181,109,102,115,4,3
15:00 - 16:00,85,172,98,105,101,11,10
16:00 - 17:00,60,149,95,51,39,6,6
17:00 - 18:00,71,134,23,42,18,1,15
18:00 - 19:00,29,25,25,31,8,5,19
19:00 - 20:00,46,33,36,16,7,1,10
20:00 - 21:00,45,18,11,31,6,7,12
21:00 - 22:00,26,12,19,14,6,0,6
22:00 - 23:00,22,7,15,10,2,2,8
23:00 - 00:00,22,14,23,14,2,1,18
