 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,570,517,548,728,532,15,10
01:00 - 02:00,473,556,437,423,459,16,23
02:00 - 03:00,347,425,391,402,372,22,10
03:00 - 04:00,785,700,415,1071,412,21,21
04:00 - 05:00,586,515,551,1099,642,19,16
05:00 - 06:00,515,968,572,847,668,42,17
06:00 - 07:00,477,458,464,398,506,36,7
07:00 - 08:00,443,403,344,793,308,28,24
08:00 - 09:00,259,292,208,483,931,10,298
09:00 - 10:00,123,163,146,144,409,7,5
10:00 - 11:00,81,556,403,916,70,8,13
11:00 - 12:00,51,216,115,469,54,25,19
12:00 - 13:00,83,998,173,367,55,19,16
13:00 - 14:00,624,115,696,192,160,22,15
14:00 - 15:00,88,268,54,100,43,13,10
15:00 - 16:00,420,46,68,50,64,8,7
16:00 - 17:00,52,56,36,43,166,10,21
17:00 - 18:00,21,30,48,43,20,15,13
18:00 - 19:00,62,33,50,38,22,0,7
19:00 - 20:00,26,41,29,23,20,7,3
20:00 - 21:00,28,328,49,22,5,2,23
21:00 - 22:00,62,82,94,53,18,2,108
22:00 - 23:00,195,177,156,465,12,0,209
23:00 - 00:00,318,293,523,417,13,10,384
