 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.74,0.44,0.15,0.59,0.15,0.3,0.15
01:00 - 02:00,0.44,0.0,0.3,0.15,0.3,0.0,0.0
02:00 - 03:00,0.15,0.0,0.0,0.3,0.15,0.0,0.0
03:00 - 04:00,0.0,0.15,0.44,0.0,0.44,0.15,0.0
04:00 - 05:00,0.59,0.3,0.3,0.15,0.59,0.3,0.3
05:00 - 06:00,0.3,0.74,0.59,0.15,0.3,0.15,0.0
06:00 - 07:00,0.74,1.03,0.59,0.59,1.18,0.15,0.3
07:00 - 08:00,1.48,1.18,0.44,0.44,0.3,0.15,0.15
08:00 - 09:00,1.77,0.89,1.48,0.74,0.74,0.59,0.3
09:00 - 10:00,1.92,1.48,1.18,0.74,1.18,0.15,0.15
10:00 - 11:00,0.59,1.33,1.18,1.18,0.3,0.0,0.0
11:00 - 12:00,1.92,1.18,0.74,1.48,1.18,0.0,0.0
12:00 - 13:00,0.74,1.33,0.44,0.59,0.59,0.15,0.3
13:00 - 14:00,0.89,2.07,1.62,0.74,1.03,0.3,0.0
14:00 - 15:00,1.03,0.74,0.59,1.48,0.89,0.15,0.74
15:00 - 16:00,1.18,1.48,0.15,0.74,1.48,0.3,0.3
16:00 - 17:00,1.48,1.18,0.89,1.03,0.89,0.59,0.3
17:00 - 18:00,1.92,1.18,0.59,1.48,1.03,0.3,0.3
18:00 - 19:00,0.74,0.3,1.33,0.3,0.15,0.3,0.44
19:00 - 20:00,0.59,0.74,0.44,0.89,0.3,0.3,0.3
20:00 - 21:00,0.3,0.74,0.74,1.33,0.44,0.0,0.15
21:00 - 22:00,0.74,0.3,0.89,0.44,0.15,0.3,0.15
22:00 - 23:00,0.3,0.15,1.48,0.59,0.74,0.59,0.15
23:00 - 00:00,1.03,0.59,0.44,1.18,0.15,0.3,0.15
