 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,127,138,114,140,159,127,119
01:00 - 02:00,105,93,113,125,110,124,117
02:00 - 03:00,94,102,130,130,125,131,97
03:00 - 04:00,84,78,105,109,116,105,109
04:00 - 05:00,70,94,112,107,95,106,91
05:00 - 06:00,60,94,78,93,101,98,99
06:00 - 07:00,70,66,66,84,87,63,61
07:00 - 08:00,60,54,56,51,65,69,70
08:00 - 09:00,43,56,57,50,43,60,51
09:00 - 10:00,46,42,41,62,47,72,68
10:00 - 11:00,51,61,58,73,53,75,78
11:00 - 12:00,48,59,53,57,71,91,79
12:00 - 13:00,63,63,68,98,66,110,96
13:00 - 14:00,52,85,88,67,70,97,92
14:00 - 15:00,64,91,86,82,88,93,93
15:00 - 16:00,83,101,86,89,121,121,113
16:00 - 17:00,108,111,116,125,114,124,117
17:00 - 18:00,122,136,120,142,140,141,140
18:00 - 19:00,145,157,155,164,172,168,137
19:00 - 20:00,148,169,150,182,165,173,139
20:00 - 21:00,151,135,171,129,151,163,164
21:00 - 22:00,166,149,158,165,137,171,162
22:00 - 23:00,147,140,127,172,152,145,124
23:00 - 00:00,133,131,141,127,163,134,125
