 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,6,10,10,4,6,0,0
01:00 - 02:00,12,14,18,18,23,1,0
02:00 - 03:00,26,24,24,31,16,0,0
03:00 - 04:00,15,39,23,22,23,0,0
04:00 - 05:00,28,15,11,17,10,1,0
05:00 - 06:00,17,18,28,26,29,0,0
06:00 - 07:00,15,25,37,33,34,0,0
07:00 - 08:00,22,22,25,31,27,0,1
08:00 - 09:00,25,24,28,25,20,1,0
09:00 - 10:00,21,22,31,28,23,0,0
10:00 - 11:00,14,8,11,17,15,2,0
11:00 - 12:00,18,13,9,20,5,0,1
12:00 - 13:00,9,7,9,19,5,0,1
13:00 - 14:00,6,9,9,10,4,1,0
14:00 - 15:00,13,8,7,5,8,0,1
15:00 - 16:00,5,4,10,31,11,0,1
16:00 - 17:00,3,6,2,9,5,0,0
17:00 - 18:00,4,5,1,0,2,0,0
18:00 - 19:00,1,2,0,2,1,0,0
19:00 - 20:00,2,0,0,2,2,1,1
20:00 - 21:00,0,0,2,5,3,0,0
21:00 - 22:00,1,0,2,0,4,0,0
22:00 - 23:00,2,1,1,13,0,0,0
23:00 - 00:00,1,2,2,6,0,0,1
